|dates|Christian_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Christian_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Christian_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Christian_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Christian_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Christian_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Christian_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Christian_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|10093.0|0|10093.0|0|125.0|0|0.0|100
0|2021-10-18|10102.0|0|10102.0|0|125.0|0|0.0|100
0|2021-10-19|10120.0|0|10120.0|0|125.0|0|0.0|100
0|2021-10-20|10139.0|0|10139.0|0|125.0|0|0.0|100
0|2021-10-21|10143.0|0|10143.0|0|125.0|0|0.0|100
0|2021-10-22|10163.0|0|10163.0|0|125.0|0|0.0|100
0|2021-10-23|10163.0|0|10163.0|0|125.0|0|0.0|100
0|2021-10-24|10163.0|0|10163.0|0|125.0|0|0.0|100
0|2021-10-25|10165.0|0|10165.0|0|128.0|0|0.0|100
0|2021-10-26|10194.0|0|10194.0|0|128.0|0|0.0|100
0|2021-10-27|10221.0|0|10221.0|0|128.0|0|0.0|100
0|2021-10-28|10235.0|0|10235.0|0|128.0|0|0.0|100
0|2021-10-29|10249.0|0|10249.0|0|128.0|0|0.0|100
0|2021-10-30|10249.0|0|10249.0|0|128.0|0|0.0|100
0|2021-10-31|10249.0|0|10249.0|0|128.0|0|0.0|100
0|2021-11-01|10254.0|0|10254.0|0|128.0|0|0.0|100
0|2021-11-02|10275.0|0|10275.0|0|128.0|0|0.0|100
0|2021-11-03|10288.0|0|10288.0|0|128.0|0|0.0|100
0|2021-11-04|10294.0|0|10294.0|0|128.0|0|0.0|100
0|2021-11-05|10311.0|0|10311.0|0|129.0|0|0.0|100
0|2021-11-06|10311.0|0|10311.0|0|129.0|0|0.0|100
0|2021-11-07|10311.0|0|10311.0|0|129.0|0|0.0|100
0|2021-11-08|10319.0|0|10319.0|0|132.0|0|0.0|100
0|2021-11-09|10346.0|0|10346.0|0|132.0|0|0.0|100
0|2021-11-10|10346.0|0|10368.0|0|132.0|0|0.0|100
0|2021-11-11|10368.0|0|10368.0|0|132.0|0|0.0|100
0|2021-11-12|10399.0|0|10399.0|0|133.0|0|0.0|100
0|2021-11-13|10399.0|0|10399.0|0|133.0|0|0.0|100
0|2021-11-14|10399.0|0|10399.0|0|133.0|0|0.0|100
0|2021-11-15|10403.0|0|10403.0|0|133.0|0|0.0|100
0|2021-11-16|10410.0|0|10410.0|0|133.0|0|0.0|100
0|2021-11-17|10442.0|0|10442.0|0|133.0|0|0.0|100
0|2021-11-18|10467.0|0|10467.0|0|133.0|0|0.0|100
0|2021-11-19|10488.0|0|10488.0|0|145.0|0|0.0|100
0|2021-11-20|10488.0|0|10488.0|0|145.0|0|0.0|100
0|2021-11-21|10488.0|0|10488.0|0|145.0|0|0.0|100
0|2021-11-22|10498.0|0|10498.0|0|145.0|0|0.0|100
0|2021-11-23|10544.0|0|10544.0|0|147.0|0|0.0|100
0|2021-11-24|10584.0|0|10584.0|0|147.0|0|0.0|100
0|2021-11-25|10584.0|0|10584.0|0|147.0|0|0.0|100
0|2021-11-26|10584.0|0|10584.0|0|147.0|0|0.0|100
0|2021-11-27|10584.0|0|10584.0|0|147.0|0|0.0|100
0|2021-11-28|10584.0|0|10584.0|0|147.0|0|0.0|100
0|2021-11-29|10622.0|0|10622.0|0|149.0|0|0.0|100
0|2021-11-30|10628.0|0|10628.0|0|149.0|0|0.0|100
0|2021-12-01|10666.0|0|10666.0|0|149.0|0|0.0|100
0|2021-12-02|10666.0|0|10703.0|0|149.0|0|0.0|100
0|2021-12-03|10717.0|0|10717.0|0|150.0|0|0.0|100
0|2021-12-04|10717.0|0|10717.0|0|150.0|0|0.0|100
0|2021-12-05|10717.0|0|10717.0|0|150.0|0|0.0|100
0|2021-12-06|10738.0|0|10738.0|0|157.0|0|0.0|100
0|2021-12-07|10742.0|0|10742.0|0|158.0|0|0.0|100
0|2021-12-08|10793.0|0|10793.0|0|159.0|0|0.0|100
0|2021-12-09|10863.0|0|10863.0|0|160.0|0|0.0|100
0|2021-12-10|10912.0|0|10912.0|0|164.0|0|0.0|100
0|2021-12-11|10912.0|0|10912.0|0|164.0|0|0.0|100
0|2021-12-12|10912.0|0|10912.0|0|164.0|0|0.0|100
0|2021-12-13|10923.0|0|10923.0|0|167.0|0|0.0|100
0|2021-12-14|10923.0|0|10926.0|0|167.0|0|0.0|100
0|2021-12-15|10951.0|0|10951.0|0|169.0|0|0.0|100
0|2021-12-16|11002.0|0|11002.0|0|170.0|0|0.0|100
0|2021-12-17|11048.0|0|11048.0|0|170.0|0|0.0|100
0|2021-12-18|11048.0|0|11048.0|0|170.0|0|0.0|100
0|2021-12-19|11048.0|0|11048.0|0|170.0|0|0.0|100
0|2021-12-20|11071.0|0|11071.0|0|172.0|0|0.0|100
0|2021-12-21|11099.0|0|11099.0|0|173.0|0|0.0|100
0|2021-12-22|11143.0|0|11143.0|0|174.0|0|0.0|100
0|2021-12-23|11143.0|0|11143.0|0|174.0|0|0.0|100
0|2021-12-24|11143.0|0|11143.0|0|174.0|0|0.0|100
0|2021-12-25|11143.0|0|11143.0|0|174.0|0|0.0|100
0|2021-12-26|11143.0|0|11143.0|0|174.0|0|0.0|100
0|2021-12-27|11179.0|0|11179.0|0|174.0|0|0.0|100
0|2021-12-28|11212.0|0|11212.0|0|174.0|0|0.0|100
0|2021-12-29|11261.0|0|11261.0|0|174.0|0|0.0|100
0|2021-12-30|11261.0|0|11261.0|0|174.0|0|0.0|100
0|2021-12-31|11261.0|0|11261.0|0|174.0|0|0.0|100
0|2022-01-01|11261.0|0|11261.0|0|174.0|0|0.0|100
0|2022-01-02|11261.0|0|11261.0|0|174.0|0|0.0|100
0|2022-01-03|11365.0|0|11365.0|0|175.0|0|0.0|100
0|2022-01-04|11378.0|0|11378.0|0|175.0|0|0.0|100
0|2022-01-05|11480.0|0|11480.0|0|175.0|0|0.0|100
0|2022-01-06|11581.0|0|11581.0|0|175.0|0|0.0|100
0|2022-01-07|11694.0|0|11694.0|0|175.0|0|0.0|100
0|2022-01-08|11694.0|0|11694.0|0|175.0|0|0.0|100
0|2022-01-09|11694.0|0|11694.0|0|175.0|0|0.0|100
0|2022-01-10|11834.0|0|11834.0|0|176.0|0|0.0|100
0|2022-01-11|11890.0|0|11890.0|0|176.0|0|0.0|100
0|2022-01-12|11969.0|0|11969.0|0|177.0|0|0.0|100
0|2022-01-13|11969.0|0|12075.0|0|177.0|0|0.0|100
0|2022-01-14|12245.0|0|12245.0|0|179.0|0|0.0|100
0|2022-01-15|12245.0|0|12245.0|0|179.0|0|0.0|100
0|2022-01-16|12245.0|0|12245.0|0|179.0|0|0.0|100
0|2022-01-17|12245.0|0|0.0|100|179.0|0|0.0|100
