|dates|Norman_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Norman_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Norman_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Norman_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Norman_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Norman_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Norman_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Norman_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|845.0|0|845.0|0|9.0|0|0.0|100
0|2021-10-18|851.0|0|851.0|0|9.0|0|0.0|100
0|2021-10-19|857.0|0|857.0|0|9.0|0|0.0|100
0|2021-10-20|867.0|0|867.0|0|9.0|0|0.0|100
0|2021-10-21|872.0|0|872.0|0|9.0|0|0.0|100
0|2021-10-22|878.0|0|878.0|0|9.0|0|0.0|100
0|2021-10-23|878.0|0|878.0|0|9.0|0|0.0|100
0|2021-10-24|878.0|0|878.0|0|9.0|0|0.0|100
0|2021-10-25|884.0|0|884.0|0|9.0|0|0.0|100
0|2021-10-26|893.0|0|893.0|0|9.0|0|0.0|100
0|2021-10-27|898.0|0|898.0|0|9.0|0|0.0|100
0|2021-10-28|905.0|0|905.0|0|9.0|0|0.0|100
0|2021-10-29|915.0|0|915.0|0|9.0|0|0.0|100
0|2021-10-30|915.0|0|915.0|0|9.0|0|0.0|100
0|2021-10-31|915.0|0|915.0|0|9.0|0|0.0|100
0|2021-11-01|927.0|0|927.0|0|9.0|0|0.0|100
0|2021-11-02|935.0|0|935.0|0|9.0|0|0.0|100
0|2021-11-03|937.0|0|937.0|0|9.0|0|0.0|100
0|2021-11-04|942.0|0|942.0|0|9.0|0|0.0|100
0|2021-11-05|953.0|0|953.0|0|9.0|0|0.0|100
0|2021-11-06|953.0|0|953.0|0|9.0|0|0.0|100
0|2021-11-07|953.0|0|953.0|0|9.0|0|0.0|100
0|2021-11-08|956.0|0|956.0|0|9.0|0|0.0|100
0|2021-11-09|958.0|0|958.0|0|9.0|0|0.0|100
0|2021-11-10|958.0|0|961.0|0|9.0|0|0.0|100
0|2021-11-11|972.0|0|972.0|0|9.0|0|0.0|100
0|2021-11-12|975.0|0|975.0|0|9.0|0|0.0|100
0|2021-11-13|975.0|0|975.0|0|9.0|0|0.0|100
0|2021-11-14|975.0|0|975.0|0|9.0|0|0.0|100
0|2021-11-15|979.0|0|979.0|0|9.0|0|0.0|100
0|2021-11-16|995.0|0|995.0|0|9.0|0|0.0|100
0|2021-11-17|1004.0|0|1004.0|0|9.0|0|0.0|100
0|2021-11-18|1011.0|0|1011.0|0|9.0|0|0.0|100
0|2021-11-19|1015.0|0|1015.0|0|9.0|0|0.0|100
0|2021-11-20|1015.0|0|1015.0|0|9.0|0|0.0|100
0|2021-11-21|1015.0|0|1015.0|0|9.0|0|0.0|100
0|2021-11-22|1018.0|0|1018.0|0|9.0|0|0.0|100
0|2021-11-23|1026.0|0|1026.0|0|9.0|0|0.0|100
0|2021-11-24|1029.0|0|1029.0|0|9.0|0|0.0|100
0|2021-11-25|1029.0|0|1029.0|0|9.0|0|0.0|100
0|2021-11-26|1038.0|0|1038.0|0|9.0|0|0.0|100
0|2021-11-27|1038.0|0|1038.0|0|9.0|0|0.0|100
0|2021-11-28|1038.0|0|1038.0|0|9.0|0|0.0|100
0|2021-11-29|1042.0|0|1042.0|0|9.0|0|0.0|100
0|2021-11-30|1048.0|0|1048.0|0|9.0|0|0.0|100
0|2021-12-01|1050.0|0|1050.0|0|9.0|0|0.0|100
0|2021-12-02|1050.0|0|1056.0|0|9.0|0|0.0|100
0|2021-12-03|1057.0|0|1057.0|0|9.0|0|0.0|100
0|2021-12-04|1057.0|0|1057.0|0|9.0|0|0.0|100
0|2021-12-05|1057.0|0|1057.0|0|9.0|0|0.0|100
0|2021-12-06|1062.0|0|1062.0|0|10.0|0|0.0|100
0|2021-12-07|1064.0|0|1064.0|0|10.0|0|0.0|100
0|2021-12-08|1065.0|0|1065.0|0|10.0|0|0.0|100
0|2021-12-09|1065.0|0|1065.0|0|10.0|0|0.0|100
0|2021-12-10|1066.0|0|1066.0|0|10.0|0|0.0|100
0|2021-12-11|1066.0|0|1066.0|0|10.0|0|0.0|100
0|2021-12-12|1066.0|0|1066.0|0|10.0|0|0.0|100
0|2021-12-13|1068.0|0|1068.0|0|10.0|0|0.0|100
0|2021-12-14|1068.0|0|1069.0|0|10.0|0|0.0|100
0|2021-12-15|1072.0|0|1072.0|0|10.0|0|0.0|100
0|2021-12-16|1077.0|0|1077.0|0|10.0|0|0.0|100
0|2021-12-17|1079.0|0|1079.0|0|10.0|0|0.0|100
