|dates|Day_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Day_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Day_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Day_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Day_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Day_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Day_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Day_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|800.0|0|800.0|0|30.0|0|0.0|100
0|2021-10-18|800.0|0|801.0|0|30.0|0|0.0|100
0|2021-10-19|800.0|0|803.0|0|30.0|0|0.0|100
0|2021-10-20|804.0|0|804.0|0|30.0|0|0.0|100
0|2021-10-21|804.0|0|804.0|0|30.0|0|0.0|100
0|2021-10-22|805.0|0|805.0|0|30.0|0|0.0|100
0|2021-10-23|805.0|0|805.0|0|30.0|0|0.0|100
0|2021-10-24|805.0|0|805.0|0|30.0|0|0.0|100
0|2021-10-25|805.0|0|805.0|0|30.0|0|0.0|100
0|2021-10-26|806.0|0|806.0|0|30.0|0|0.0|100
0|2021-10-27|811.0|0|811.0|0|30.0|0|0.0|100
0|2021-10-28|815.0|0|815.0|0|30.0|0|0.0|100
0|2021-10-29|818.0|0|818.0|0|30.0|0|0.0|100
0|2021-10-30|818.0|0|818.0|0|30.0|0|0.0|100
0|2021-10-31|818.0|0|818.0|0|30.0|0|0.0|100
0|2021-11-01|818.0|0|818.0|0|30.0|0|0.0|100
0|2021-11-02|821.0|0|821.0|0|30.0|0|0.0|100
0|2021-11-03|824.0|0|824.0|0|30.0|0|0.0|100
0|2021-11-04|825.0|0|825.0|0|30.0|0|0.0|100
0|2021-11-05|826.0|0|826.0|0|30.0|0|0.0|100
0|2021-11-06|826.0|0|826.0|0|30.0|0|0.0|100
0|2021-11-07|826.0|0|826.0|0|30.0|0|0.0|100
0|2021-11-08|827.0|0|827.0|0|30.0|0|0.0|100
0|2021-11-09|833.0|0|833.0|0|30.0|0|0.0|100
0|2021-11-10|833.0|0|835.0|0|30.0|0|0.0|100
0|2021-11-11|835.0|0|835.0|0|30.0|0|0.0|100
0|2021-11-12|837.0|0|837.0|0|30.0|0|0.0|100
0|2021-11-13|837.0|0|837.0|0|30.0|0|0.0|100
0|2021-11-14|837.0|0|837.0|0|30.0|0|0.0|100
0|2021-11-15|838.0|0|838.0|0|30.0|0|0.0|100
0|2021-11-16|842.0|0|842.0|0|30.0|0|0.0|100
0|2021-11-17|842.0|0|842.0|0|30.0|0|0.0|100
