|dates|Windham_Connecticut_UnitedStates.JHU_ConfirmedCases.data|Windham_Connecticut_UnitedStates.JHU_ConfirmedCases.missing|Windham_Connecticut_UnitedStates.NYT_ConfirmedCases.data|Windham_Connecticut_UnitedStates.NYT_ConfirmedCases.missing|Windham_Connecticut_UnitedStates.JHU_ConfirmedDeaths.data|Windham_Connecticut_UnitedStates.JHU_ConfirmedDeaths.missing|Windham_Connecticut_UnitedStates.JHU_ConfirmedRecoveries.data|Windham_Connecticut_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|12987.0|0|12987.0|0|213.0|0|0.0|100
0|2021-10-18|13105.0|0|13105.0|0|213.0|0|0.0|100
0|2021-10-19|13118.0|0|13118.0|0|214.0|0|0.0|100
0|2021-10-20|13155.0|0|13155.0|0|214.0|0|0.0|100
0|2021-10-21|13188.0|0|13188.0|0|214.0|0|0.0|100
0|2021-10-22|13207.0|0|13207.0|0|218.0|0|0.0|100
0|2021-10-23|13207.0|0|13207.0|0|218.0|0|0.0|100
0|2021-10-24|13207.0|0|13207.0|0|218.0|0|0.0|100
0|2021-10-25|13282.0|0|13282.0|0|218.0|0|0.0|100
0|2021-10-26|13292.0|0|13292.0|0|218.0|0|0.0|100
0|2021-10-27|13325.0|0|13325.0|0|218.0|0|0.0|100
0|2021-10-28|13365.0|0|13365.0|0|218.0|0|0.0|100
0|2021-10-29|13392.0|0|13392.0|0|220.0|0|0.0|100
0|2021-10-30|13392.0|0|13392.0|0|220.0|0|0.0|100
0|2021-10-31|13392.0|0|13392.0|0|220.0|0|0.0|100
0|2021-11-01|13454.0|0|13454.0|0|220.0|0|0.0|100
0|2021-11-02|13483.0|0|13483.0|0|220.0|0|0.0|100
0|2021-11-03|13512.0|0|13512.0|0|220.0|0|0.0|100
0|2021-11-04|13552.0|0|13552.0|0|220.0|0|0.0|100
0|2021-11-05|13573.0|0|13573.0|0|220.0|0|0.0|100
0|2021-11-06|13573.0|0|13573.0|0|220.0|0|0.0|100
0|2021-11-07|13573.0|0|13573.0|0|220.0|0|0.0|100
0|2021-11-08|13654.0|0|13654.0|0|220.0|0|0.0|100
0|2021-11-09|13667.0|0|13667.0|0|221.0|0|0.0|100
0|2021-11-10|13700.0|0|13700.0|0|221.0|0|0.0|100
0|2021-11-11|13729.0|0|13729.0|0|221.0|0|0.0|100
0|2021-11-12|13786.0|0|13786.0|0|221.0|0|0.0|100
0|2021-11-13|13786.0|0|13786.0|0|221.0|0|0.0|100
0|2021-11-14|13786.0|0|13786.0|0|221.0|0|0.0|100
0|2021-11-15|13943.0|0|13943.0|0|222.0|0|0.0|100
0|2021-11-16|13976.0|0|13976.0|0|222.0|0|0.0|100
0|2021-11-17|14022.0|0|14022.0|0|223.0|0|0.0|100
0|2021-11-18|14070.0|0|14070.0|0|223.0|0|0.0|100
0|2021-11-19|14149.0|0|14149.0|0|223.0|0|0.0|100
0|2021-11-20|14149.0|0|14149.0|0|223.0|0|0.0|100
0|2021-11-21|14149.0|0|14149.0|0|223.0|0|0.0|100
0|2021-11-22|14301.0|0|14301.0|0|223.0|0|0.0|100
0|2021-11-23|14338.0|0|14338.0|0|223.0|0|0.0|100
0|2021-11-24|14374.0|0|14374.0|0|224.0|0|0.0|100
0|2021-11-25|14374.0|0|14374.0|0|224.0|0|0.0|100
0|2021-11-26|14505.0|0|14505.0|0|224.0|0|0.0|100
0|2021-11-27|14505.0|0|14505.0|0|224.0|0|0.0|100
0|2021-11-28|14505.0|0|14505.0|0|224.0|0|0.0|100
0|2021-11-29|14632.0|0|14632.0|0|224.0|0|0.0|100
0|2021-11-30|14667.0|0|14667.0|0|229.0|0|0.0|100
0|2021-12-01|14819.0|0|14819.0|0|229.0|0|0.0|100
0|2021-12-02|14864.0|0|14864.0|0|229.0|0|0.0|100
0|2021-12-03|14931.0|0|14931.0|0|229.0|0|0.0|100
0|2021-12-04|14931.0|0|14931.0|0|229.0|0|0.0|100
0|2021-12-05|14931.0|0|14931.0|0|229.0|0|0.0|100
0|2021-12-06|15239.0|0|15239.0|0|229.0|0|0.0|100
0|2021-12-07|15314.0|0|15314.0|0|231.0|0|0.0|100
0|2021-12-08|15326.0|0|15326.0|0|231.0|0|0.0|100
0|2021-12-09|15445.0|0|15445.0|0|231.0|0|0.0|100
0|2021-12-10|15669.0|0|15669.0|0|233.0|0|0.0|100
0|2021-12-11|15669.0|0|15669.0|0|233.0|0|0.0|100
0|2021-12-12|15669.0|0|15669.0|0|233.0|0|0.0|100
0|2021-12-13|16000.0|0|16000.0|0|235.0|0|0.0|100
0|2021-12-14|16000.0|0|16130.0|0|235.0|0|0.0|100
0|2021-12-15|16237.0|0|16237.0|0|239.0|0|0.0|100
0|2021-12-16|16345.0|0|16345.0|0|239.0|0|0.0|100
0|2021-12-17|16446.0|0|16446.0|0|239.0|0|0.0|100
0|2021-12-18|16446.0|0|16446.0|0|239.0|0|0.0|100
