|dates|Sangamon_Illinois_UnitedStates.JHU_ConfirmedCases.data|Sangamon_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Sangamon_Illinois_UnitedStates.NYT_ConfirmedCases.data|Sangamon_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Sangamon_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Sangamon_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Sangamon_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Sangamon_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|25613.0|0|25613.0|0|284.0|0|0.0|100
0|2021-10-18|25682.0|0|25682.0|0|284.0|0|0.0|100
0|2021-10-19|25719.0|0|25719.0|0|285.0|0|0.0|100
0|2021-10-20|25754.0|0|25754.0|0|285.0|0|0.0|100
0|2021-10-21|25767.0|0|25767.0|0|287.0|0|0.0|100
0|2021-10-22|25818.0|0|25818.0|0|287.0|0|0.0|100
0|2021-10-23|25818.0|0|25818.0|0|287.0|0|0.0|100
0|2021-10-24|25818.0|0|25818.0|0|287.0|0|0.0|100
0|2021-10-25|25898.0|0|25898.0|0|287.0|0|0.0|100
0|2021-10-26|25919.0|0|25919.0|0|287.0|0|0.0|100
0|2021-10-27|25942.0|0|25942.0|0|288.0|0|0.0|100
0|2021-10-28|25979.0|0|25979.0|0|289.0|0|0.0|100
0|2021-10-29|26008.0|0|26008.0|0|289.0|0|0.0|100
0|2021-10-30|26008.0|0|26008.0|0|289.0|0|0.0|100
0|2021-10-31|26008.0|0|26008.0|0|289.0|0|0.0|100
0|2021-11-01|26083.0|0|26083.0|0|289.0|0|0.0|100
0|2021-11-02|26101.0|0|26101.0|0|290.0|0|0.0|100
0|2021-11-03|26108.0|0|26108.0|0|290.0|0|0.0|100
0|2021-11-04|26154.0|0|26154.0|0|290.0|0|0.0|100
0|2021-11-05|26182.0|0|26182.0|0|290.0|0|0.0|100
0|2021-11-06|26182.0|0|26182.0|0|290.0|0|0.0|100
0|2021-11-07|26182.0|0|26182.0|0|290.0|0|0.0|100
0|2021-11-08|26257.0|0|26257.0|0|290.0|0|0.0|100
0|2021-11-09|26282.0|0|26282.0|0|291.0|0|0.0|100
0|2021-11-10|26282.0|0|26344.0|0|291.0|0|0.0|100
0|2021-11-11|26344.0|0|26344.0|0|291.0|0|0.0|100
0|2021-11-12|26430.0|0|26430.0|0|292.0|0|0.0|100
0|2021-11-13|26430.0|0|26430.0|0|292.0|0|0.0|100
0|2021-11-14|26430.0|0|26430.0|0|292.0|0|0.0|100
0|2021-11-15|26543.0|0|26543.0|0|292.0|0|0.0|100
0|2021-11-16|26563.0|0|26563.0|0|292.0|0|0.0|100
0|2021-11-17|26612.0|0|26612.0|0|293.0|0|0.0|100
0|2021-11-18|26695.0|0|26695.0|0|293.0|0|0.0|100
0|2021-11-19|26783.0|0|26783.0|0|294.0|0|0.0|100
0|2021-11-20|26783.0|0|26783.0|0|294.0|0|0.0|100
0|2021-11-21|26783.0|0|26783.0|0|294.0|0|0.0|100
0|2021-11-22|26919.0|0|26919.0|0|295.0|0|0.0|100
0|2021-11-23|26951.0|0|26951.0|0|295.0|0|0.0|100
0|2021-11-24|27041.0|0|27041.0|0|295.0|0|0.0|100
0|2021-11-25|27041.0|0|27041.0|0|295.0|0|0.0|100
0|2021-11-26|27041.0|0|27041.0|0|295.0|0|0.0|100
0|2021-11-27|27041.0|0|27041.0|0|295.0|0|0.0|100
0|2021-11-28|27041.0|0|27041.0|0|295.0|0|0.0|100
0|2021-11-29|27338.0|0|27338.0|0|296.0|0|0.0|100
0|2021-11-30|27406.0|0|27406.0|0|296.0|0|0.0|100
0|2021-12-01|27539.0|0|27539.0|0|296.0|0|0.0|100
0|2021-12-02|27539.0|0|27749.0|0|296.0|0|0.0|100
0|2021-12-03|27910.0|0|27910.0|0|298.0|0|0.0|100
0|2021-12-04|27910.0|0|27910.0|0|298.0|0|0.0|100
0|2021-12-05|27910.0|0|27910.0|0|298.0|0|0.0|100
0|2021-12-06|28232.0|0|28232.0|0|300.0|0|0.0|100
0|2021-12-07|28353.0|0|28353.0|0|300.0|0|0.0|100
0|2021-12-08|28489.0|0|28489.0|0|300.0|0|0.0|100
0|2021-12-09|28673.0|0|28673.0|0|299.0|0|0.0|100
0|2021-12-10|28814.0|0|28814.0|0|299.0|0|0.0|100
0|2021-12-11|28814.0|0|28814.0|0|299.0|0|0.0|100
0|2021-12-12|28814.0|0|28814.0|0|299.0|0|0.0|100
0|2021-12-13|29193.0|0|29193.0|0|302.0|0|0.0|100
0|2021-12-14|29193.0|0|29323.0|0|302.0|0|0.0|100
0|2021-12-15|29444.0|0|29444.0|0|302.0|0|0.0|100
0|2021-12-16|29661.0|0|29661.0|0|304.0|0|0.0|100
0|2021-12-17|29830.0|0|29830.0|0|304.0|0|0.0|100
0|2021-12-18|29830.0|0|29830.0|0|304.0|0|0.0|100
0|2021-12-19|29830.0|0|29830.0|0|304.0|0|0.0|100
0|2021-12-20|30281.0|0|30281.0|0|305.0|0|0.0|100
0|2021-12-21|30397.0|0|30397.0|0|306.0|0|0.0|100
0|2021-12-22|30639.0|0|30639.0|0|306.0|0|0.0|100
0|2021-12-23|30988.0|0|30988.0|0|307.0|0|0.0|100
0|2021-12-24|30988.0|0|30988.0|0|307.0|0|0.0|100
0|2021-12-25|30988.0|0|30988.0|0|307.0|0|0.0|100
0|2021-12-26|30988.0|0|30988.0|0|307.0|0|0.0|100
0|2021-12-27|31903.0|0|31903.0|0|308.0|0|0.0|100
0|2021-12-28|32363.0|0|32363.0|0|308.0|0|0.0|100
0|2021-12-29|32716.0|0|32716.0|0|309.0|0|0.0|100
0|2021-12-30|33475.0|0|33475.0|0|310.0|0|0.0|100
0|2021-12-31|33475.0|0|33475.0|0|310.0|0|0.0|100
0|2022-01-01|33475.0|0|33475.0|0|310.0|0|0.0|100
0|2022-01-02|33475.0|0|33475.0|0|310.0|0|0.0|100
0|2022-01-03|35050.0|0|35050.0|0|311.0|0|0.0|100
0|2022-01-04|35686.0|0|35686.0|0|312.0|0|0.0|100
0|2022-01-05|36448.0|0|36448.0|0|315.0|0|0.0|100
0|2022-01-06|37373.0|0|37373.0|0|316.0|0|0.0|100
0|2022-01-07|38668.0|0|38668.0|0|317.0|0|0.0|100
0|2022-01-08|38668.0|0|38668.0|0|317.0|0|0.0|100
0|2022-01-09|38668.0|0|38668.0|0|317.0|0|0.0|100
0|2022-01-10|40309.0|0|40309.0|0|317.0|0|0.0|100
0|2022-01-11|40885.0|0|40885.0|0|317.0|0|0.0|100
0|2022-01-12|41958.0|0|41958.0|0|320.0|0|0.0|100
0|2022-01-13|41958.0|0|43303.0|0|320.0|0|0.0|100
0|2022-01-14|44096.0|0|44096.0|0|322.0|0|0.0|100
0|2022-01-15|44096.0|0|44096.0|0|322.0|0|0.0|100
0|2022-01-16|44096.0|0|44096.0|0|322.0|0|0.0|100
0|2022-01-17|44096.0|0|0.0|100|322.0|0|0.0|100
