|dates|Augusta_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Augusta_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Augusta_Virginia_UnitedStates.Male_Total_Population.data|Augusta_Virginia_UnitedStates.Male_Total_Population.missing|Augusta_Virginia_UnitedStates.Female_Total_Population.data|Augusta_Virginia_UnitedStates.Female_Total_Population.missing|Augusta_Virginia_UnitedStates.MaleAndFemale_Under18_Population.data|Augusta_Virginia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-10-18|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-10-19|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-10-20|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-10-21|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-10-22|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-10-23|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-10-24|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-10-25|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-10-26|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-10-27|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-10-28|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-10-29|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-10-30|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-10-31|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-01|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-02|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-03|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-04|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-05|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-06|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-07|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-08|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-09|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-10|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-11|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-12|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-13|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-14|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-15|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-16|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-17|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-18|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-19|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-20|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-21|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-22|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-23|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-24|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-25|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-26|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-27|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-28|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-29|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-11-30|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-01|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-02|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-03|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-04|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-05|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-06|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-07|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-08|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-09|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-10|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-11|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-12|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-13|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-14|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-15|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-16|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-17|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-18|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-19|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-20|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-21|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-22|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-23|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-24|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-25|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-26|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-27|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-28|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-29|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-30|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2021-12-31|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2022-01-01|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2022-01-02|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2022-01-03|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2022-01-04|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2022-01-05|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2022-01-06|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2022-01-07|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2022-01-08|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2022-01-09|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2022-01-10|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2022-01-11|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2022-01-12|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2022-01-13|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2022-01-14|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2022-01-15|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2022-01-16|15877.0|0|38274.0|0|37183.0|0|14362.0|0
0|2022-01-17|15877.0|0|38274.0|0|37183.0|0|14362.0|0
