|dates|Kent_RhodeIsland_UnitedStates.JHU_ConfirmedCases.data|Kent_RhodeIsland_UnitedStates.JHU_ConfirmedCases.missing|Kent_RhodeIsland_UnitedStates.NYT_ConfirmedCases.data|Kent_RhodeIsland_UnitedStates.NYT_ConfirmedCases.missing|Kent_RhodeIsland_UnitedStates.JHU_ConfirmedDeaths.data|Kent_RhodeIsland_UnitedStates.JHU_ConfirmedDeaths.missing|Kent_RhodeIsland_UnitedStates.JHU_ConfirmedRecoveries.data|Kent_RhodeIsland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|22129.0|0|22129.0|0|388.0|0|0.0|100
0|2021-10-18|22129.0|0|22129.0|0|388.0|0|0.0|100
0|2021-10-19|22129.0|0|22129.0|0|388.0|0|0.0|100
0|2021-10-20|22405.0|0|22405.0|0|390.0|0|0.0|100
0|2021-10-21|22405.0|0|22405.0|0|390.0|0|0.0|100
0|2021-10-22|22405.0|0|22405.0|0|390.0|0|0.0|100
0|2021-10-23|22405.0|0|22405.0|0|390.0|0|0.0|100
0|2021-10-24|22405.0|0|22405.0|0|390.0|0|0.0|100
0|2021-10-25|22405.0|0|22405.0|0|390.0|0|0.0|100
0|2021-10-26|22405.0|0|22405.0|0|390.0|0|0.0|100
0|2021-10-27|22641.0|0|22641.0|0|390.0|0|0.0|100
0|2021-10-28|22641.0|0|22641.0|0|390.0|0|0.0|100
0|2021-10-29|22641.0|0|22641.0|0|390.0|0|0.0|100
0|2021-10-30|22641.0|0|22641.0|0|390.0|0|0.0|100
0|2021-10-31|22641.0|0|22641.0|0|390.0|0|0.0|100
0|2021-11-01|22641.0|0|22641.0|0|390.0|0|0.0|100
0|2021-11-02|22641.0|0|22641.0|0|390.0|0|0.0|100
0|2021-11-03|22804.0|0|22804.0|0|391.0|0|0.0|100
0|2021-11-04|22804.0|0|22804.0|0|391.0|0|0.0|100
0|2021-11-05|22804.0|0|22804.0|0|391.0|0|0.0|100
0|2021-11-06|22804.0|0|22804.0|0|391.0|0|0.0|100
0|2021-11-07|22804.0|0|22804.0|0|391.0|0|0.0|100
0|2021-11-08|22804.0|0|22804.0|0|391.0|0|0.0|100
0|2021-11-09|22804.0|0|22804.0|0|391.0|0|0.0|100
0|2021-11-10|23054.0|0|23054.0|0|393.0|0|0.0|100
