|dates|Greene_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Greene_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Greene_Virginia_UnitedStates.Male_Total_Population.data|Greene_Virginia_UnitedStates.Male_Total_Population.missing|Greene_Virginia_UnitedStates.Female_Total_Population.data|Greene_Virginia_UnitedStates.Female_Total_Population.missing|Greene_Virginia_UnitedStates.MaleAndFemale_Under18_Population.data|Greene_Virginia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-10-18|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-10-19|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-10-20|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-10-21|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-10-22|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-10-23|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-10-24|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-10-25|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-10-26|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-10-27|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-10-28|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-10-29|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-10-30|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-10-31|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-01|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-02|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-03|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-04|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-05|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-06|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-07|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-08|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-09|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-10|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-11|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-12|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-13|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-14|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-15|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-16|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-17|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-18|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-19|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-20|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-21|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-22|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-23|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-24|3432.0|0|9632.0|0|10147.0|0|4731.0|0
0|2021-11-25|3432.0|0|9632.0|0|10147.0|0|4731.0|0
