|dates|Georgetown_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Georgetown_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Georgetown_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Georgetown_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Georgetown_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Georgetown_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Georgetown_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Georgetown_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|9547.0|0|9547.0|0|167.0|0|0.0|100
0|2021-10-18|9573.0|0|9573.0|0|167.0|0|0.0|100
0|2021-10-19|9578.0|0|9578.0|0|167.0|0|0.0|100
0|2021-10-20|9584.0|0|9584.0|0|168.0|0|0.0|100
0|2021-10-21|9591.0|0|9591.0|0|170.0|0|0.0|100
0|2021-10-22|9594.0|0|9594.0|0|173.0|0|0.0|100
0|2021-10-23|9594.0|0|9594.0|0|173.0|0|0.0|100
0|2021-10-24|9594.0|0|9594.0|0|173.0|0|0.0|100
0|2021-10-25|9622.0|0|9622.0|0|173.0|0|0.0|100
0|2021-10-26|9628.0|0|9628.0|0|173.0|0|0.0|100
0|2021-10-27|9635.0|0|9635.0|0|173.0|0|0.0|100
0|2021-10-28|9651.0|0|9651.0|0|175.0|0|0.0|100
0|2021-10-29|9667.0|0|9667.0|0|178.0|0|0.0|100
0|2021-10-30|9667.0|0|9667.0|0|178.0|0|0.0|100
0|2021-10-31|9667.0|0|9667.0|0|178.0|0|0.0|100
0|2021-11-01|9699.0|0|9699.0|0|179.0|0|0.0|100
0|2021-11-02|9704.0|0|9704.0|0|179.0|0|0.0|100
0|2021-11-03|9706.0|0|9706.0|0|181.0|0|0.0|100
0|2021-11-04|9715.0|0|9715.0|0|182.0|0|0.0|100
0|2021-11-05|9734.0|0|9734.0|0|182.0|0|0.0|100
0|2021-11-06|9734.0|0|9734.0|0|182.0|0|0.0|100
0|2021-11-07|9734.0|0|9734.0|0|182.0|0|0.0|100
0|2021-11-08|9755.0|0|9755.0|0|182.0|0|0.0|100
0|2021-11-09|9761.0|0|9761.0|0|182.0|0|0.0|100
0|2021-11-10|9763.0|0|9763.0|0|183.0|0|0.0|100
0|2021-11-11|9763.0|0|9763.0|0|183.0|0|0.0|100
0|2021-11-12|9784.0|0|9784.0|0|183.0|0|0.0|100
0|2021-11-13|9784.0|0|9784.0|0|183.0|0|0.0|100
0|2021-11-14|9784.0|0|9784.0|0|183.0|0|0.0|100
0|2021-11-15|9798.0|0|9798.0|0|183.0|0|0.0|100
0|2021-11-16|9802.0|0|9802.0|0|183.0|0|0.0|100
0|2021-11-17|9803.0|0|9803.0|0|183.0|0|0.0|100
0|2021-11-18|9812.0|0|9812.0|0|183.0|0|0.0|100
0|2021-11-19|9821.0|0|9821.0|0|183.0|0|0.0|100
0|2021-11-20|9821.0|0|9821.0|0|183.0|0|0.0|100
0|2021-11-21|9821.0|0|9821.0|0|183.0|0|0.0|100
0|2021-11-22|9849.0|0|9849.0|0|183.0|0|0.0|100
0|2021-11-23|9853.0|0|9853.0|0|183.0|0|0.0|100
0|2021-11-24|9855.0|0|9855.0|0|183.0|0|0.0|100
0|2021-11-25|9855.0|0|9855.0|0|183.0|0|0.0|100
0|2021-11-26|9855.0|0|9863.0|0|183.0|0|0.0|100
0|2021-11-27|9863.0|0|9863.0|0|184.0|0|0.0|100
0|2021-11-28|9863.0|0|9863.0|0|184.0|0|0.0|100
0|2021-11-29|9879.0|0|9879.0|0|184.0|0|0.0|100
0|2021-11-30|9880.0|0|9880.0|0|184.0|0|0.0|100
0|2021-12-01|9878.0|0|9878.0|0|184.0|0|0.0|100
0|2021-12-02|9895.0|0|9895.0|0|185.0|0|0.0|100
