|dates|Polk_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Polk_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Polk_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Polk_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Polk_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Polk_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Polk_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Polk_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2273.0|0|2273.0|0|44.0|0|0.0|100
0|2021-10-18|2285.0|0|2285.0|0|44.0|0|0.0|100
0|2021-10-19|2290.0|0|2290.0|0|44.0|0|0.0|100
0|2021-10-20|2297.0|0|2297.0|0|44.0|0|0.0|100
0|2021-10-21|2305.0|0|2305.0|0|44.0|0|0.0|100
0|2021-10-22|2308.0|0|2308.0|0|44.0|0|0.0|100
0|2021-10-23|2308.0|0|2308.0|0|44.0|0|0.0|100
0|2021-10-24|2308.0|0|2308.0|0|44.0|0|0.0|100
0|2021-10-25|2318.0|0|2318.0|0|44.0|0|0.0|100
0|2021-10-26|2323.0|0|2323.0|0|44.0|0|0.0|100
0|2021-10-27|2329.0|0|2329.0|0|44.0|0|0.0|100
0|2021-10-28|2331.0|0|2331.0|0|44.0|0|0.0|100
0|2021-10-29|2335.0|0|2335.0|0|46.0|0|0.0|100
0|2021-10-30|2335.0|0|2335.0|0|46.0|0|0.0|100
0|2021-10-31|2335.0|0|2335.0|0|46.0|0|0.0|100
0|2021-11-01|2345.0|0|2345.0|0|46.0|0|0.0|100
0|2021-11-02|2346.0|0|2346.0|0|47.0|0|0.0|100
0|2021-11-03|2352.0|0|2352.0|0|47.0|0|0.0|100
0|2021-11-04|2355.0|0|2355.0|0|47.0|0|0.0|100
0|2021-11-05|2358.0|0|2358.0|0|47.0|0|0.0|100
0|2021-11-06|2358.0|0|2358.0|0|47.0|0|0.0|100
0|2021-11-07|2358.0|0|2358.0|0|47.0|0|0.0|100
0|2021-11-08|2369.0|0|2369.0|0|48.0|0|0.0|100
0|2021-11-09|2372.0|0|2372.0|0|48.0|0|0.0|100
0|2021-11-10|2372.0|0|2376.0|0|48.0|0|0.0|100
0|2021-11-11|2376.0|0|2376.0|0|48.0|0|0.0|100
0|2021-11-12|2378.0|0|2378.0|0|48.0|0|0.0|100
0|2021-11-13|2378.0|0|2378.0|0|48.0|0|0.0|100
0|2021-11-14|2378.0|0|2378.0|0|48.0|0|0.0|100
0|2021-11-15|2389.0|0|2389.0|0|48.0|0|0.0|100
0|2021-11-16|2390.0|0|2390.0|0|49.0|0|0.0|100
0|2021-11-17|2394.0|0|2394.0|0|49.0|0|0.0|100
0|2021-11-18|2400.0|0|2400.0|0|49.0|0|0.0|100
0|2021-11-19|2402.0|0|2402.0|0|49.0|0|0.0|100
0|2021-11-20|2402.0|0|2402.0|0|49.0|0|0.0|100
0|2021-11-21|2402.0|0|2402.0|0|49.0|0|0.0|100
0|2021-11-22|2409.0|0|2409.0|0|49.0|0|0.0|100
0|2021-11-23|2411.0|0|2411.0|0|49.0|0|0.0|100
0|2021-11-24|2416.0|0|2416.0|0|49.0|0|0.0|100
