|dates|Cibola_NewMexico_UnitedStates.JHU_ConfirmedCases.data|Cibola_NewMexico_UnitedStates.JHU_ConfirmedCases.missing|Cibola_NewMexico_UnitedStates.NYT_ConfirmedCases.data|Cibola_NewMexico_UnitedStates.NYT_ConfirmedCases.missing|Cibola_NewMexico_UnitedStates.JHU_ConfirmedDeaths.data|Cibola_NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing|Cibola_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.data|Cibola_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3561.0|0|4222.0|0|139.0|0|0.0|100
0|2021-10-18|3582.0|0|4243.0|0|139.0|0|0.0|100
0|2021-10-19|3589.0|0|4250.0|0|139.0|0|0.0|100
0|2021-10-20|3604.0|0|4265.0|0|139.0|0|0.0|100
0|2021-10-21|3619.0|0|4280.0|0|139.0|0|0.0|100
0|2021-10-22|3628.0|0|4289.0|0|139.0|0|0.0|100
0|2021-10-23|3628.0|0|4289.0|0|139.0|0|0.0|100
0|2021-10-24|3628.0|0|4289.0|0|139.0|0|0.0|100
0|2021-10-25|3647.0|0|4308.0|0|139.0|0|0.0|100
0|2021-10-26|3659.0|0|4320.0|0|139.0|0|0.0|100
0|2021-10-27|3676.0|0|4337.0|0|140.0|0|0.0|100
0|2021-10-28|3693.0|0|4354.0|0|141.0|0|0.0|100
0|2021-10-29|3700.0|0|4361.0|0|141.0|0|0.0|100
0|2021-10-30|3700.0|0|4361.0|0|141.0|0|0.0|100
0|2021-10-31|3700.0|0|4361.0|0|141.0|0|0.0|100
0|2021-11-01|3722.0|0|4383.0|0|141.0|0|0.0|100
0|2021-11-02|3728.0|0|4389.0|0|141.0|0|0.0|100
0|2021-11-03|3748.0|0|4409.0|0|143.0|0|0.0|100
0|2021-11-04|3765.0|0|4427.0|0|144.0|0|0.0|100
0|2021-11-05|3776.0|0|4438.0|0|144.0|0|0.0|100
0|2021-11-06|3776.0|0|4438.0|0|144.0|0|0.0|100
0|2021-11-07|3776.0|0|4438.0|0|144.0|0|0.0|100
0|2021-11-08|3856.0|0|4519.0|0|145.0|0|0.0|100
0|2021-11-09|3863.0|0|4526.0|0|145.0|0|0.0|100
0|2021-11-10|3863.0|0|4550.0|0|145.0|0|0.0|100
0|2021-11-11|3887.0|0|4550.0|0|145.0|0|0.0|100
0|2021-11-12|3918.0|0|4581.0|0|145.0|0|0.0|100
0|2021-11-13|3918.0|0|4581.0|0|145.0|0|0.0|100
