|dates|Arapahoe_Colorado_UnitedStates.JHU_ConfirmedCases.data|Arapahoe_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Arapahoe_Colorado_UnitedStates.NYT_ConfirmedCases.data|Arapahoe_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Arapahoe_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Arapahoe_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Arapahoe_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Arapahoe_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|77101.0|0|79122.0|0|824.0|0|0.0|100
0|2021-10-18|77656.0|0|79122.0|0|829.0|0|0.0|100
0|2021-10-19|77828.0|0|79485.0|0|830.0|0|0.0|100
0|2021-10-20|77979.0|0|79629.0|0|831.0|0|0.0|100
0|2021-10-21|78280.0|0|79633.0|0|831.0|0|0.0|100
0|2021-10-22|78521.0|0|79966.0|0|840.0|0|0.0|100
0|2021-10-23|78521.0|0|80204.0|0|840.0|0|0.0|100
0|2021-10-24|78521.0|0|80469.0|0|840.0|0|0.0|100
0|2021-10-25|79153.0|0|80807.0|0|843.0|0|0.0|100
0|2021-10-26|79352.0|0|81064.0|0|844.0|0|0.0|100
0|2021-10-27|79556.0|0|81062.0|0|844.0|0|0.0|100
0|2021-10-28|79941.0|0|81608.0|0|848.0|0|0.0|100
0|2021-10-29|80160.0|0|81884.0|0|851.0|0|0.0|100
0|2021-10-30|80160.0|0|81884.0|0|851.0|0|0.0|100
0|2021-10-31|80160.0|0|82184.0|0|851.0|0|0.0|100
0|2021-11-01|80906.0|0|82184.0|0|859.0|0|0.0|100
0|2021-11-02|81127.0|0|82858.0|0|860.0|0|0.0|100
0|2021-11-03|81326.0|0|82858.0|0|861.0|0|0.0|100
0|2021-11-04|81682.0|0|83043.0|0|862.0|0|0.0|100
0|2021-11-05|82003.0|0|83712.0|0|862.0|0|0.0|100
0|2021-11-06|82003.0|0|84030.0|0|862.0|0|0.0|100
0|2021-11-07|82003.0|0|84029.0|0|862.0|0|0.0|100
0|2021-11-08|82805.0|0|84524.0|0|869.0|0|0.0|100
0|2021-11-09|83061.0|0|84774.0|0|869.0|0|0.0|100
0|2021-11-10|83061.0|0|85101.0|0|869.0|0|0.0|100
0|2021-11-11|83754.0|0|85496.0|0|876.0|0|0.0|100
0|2021-11-12|84020.0|0|85787.0|0|878.0|0|0.0|100
0|2021-11-13|84020.0|0|86127.0|0|878.0|0|0.0|100
0|2021-11-14|84020.0|0|86362.0|0|878.0|0|0.0|100
0|2021-11-15|84823.0|0|86556.0|0|882.0|0|0.0|100
0|2021-11-16|85149.0|0|86694.0|0|884.0|0|0.0|100
0|2021-11-17|85481.0|0|87131.0|0|886.0|0|0.0|100
0|2021-11-18|85986.0|0|87697.0|0|887.0|0|0.0|100
0|2021-11-19|86363.0|0|87698.0|0|890.0|0|0.0|100
0|2021-11-20|86363.0|0|87698.0|0|890.0|0|0.0|100
0|2021-11-21|86363.0|0|88566.0|0|890.0|0|0.0|100
0|2021-11-22|87176.0|0|88980.0|0|896.0|0|0.0|100
0|2021-11-23|87419.0|0|88981.0|0|897.0|0|0.0|100
0|2021-11-24|87703.0|0|89610.0|0|900.0|0|0.0|100
0|2021-11-25|88011.0|0|89610.0|0|902.0|0|0.0|100
0|2021-11-26|88212.0|0|90107.0|0|904.0|0|0.0|100
0|2021-11-27|88212.0|0|90295.0|0|904.0|0|0.0|100
0|2021-11-28|88212.0|0|90295.0|0|904.0|0|0.0|100
0|2021-11-29|88799.0|0|90685.0|0|910.0|0|0.0|100
0|2021-11-30|88799.0|0|90828.0|0|910.0|0|0.0|100
0|2021-12-01|89392.0|0|90970.0|0|915.0|0|0.0|100
0|2021-12-02|89760.0|0|91706.0|0|918.0|0|0.0|100
0|2021-12-03|90063.0|0|91926.0|0|919.0|0|0.0|100
0|2021-12-04|90063.0|0|91926.0|0|919.0|0|0.0|100
0|2021-12-05|90063.0|0|92262.0|0|919.0|0|0.0|100
0|2021-12-06|90722.0|0|92483.0|0|919.0|0|0.0|100
0|2021-12-07|91030.0|0|93000.0|0|929.0|0|0.0|100
0|2021-12-08|91262.0|0|93186.0|0|928.0|0|0.0|100
0|2021-12-09|91507.0|0|93492.0|0|933.0|0|0.0|100
0|2021-12-10|91822.0|0|93807.0|0|939.0|0|0.0|100
0|2021-12-11|91822.0|0|93807.0|0|939.0|0|0.0|100
0|2021-12-12|91822.0|0|93942.0|0|939.0|0|0.0|100
0|2021-12-13|92324.0|0|94137.0|0|941.0|0|0.0|100
0|2021-12-14|92324.0|0|94483.0|0|941.0|0|0.0|100
0|2021-12-15|92686.0|0|94654.0|0|948.0|0|0.0|100
0|2021-12-16|92921.0|0|94895.0|0|952.0|0|0.0|100
0|2021-12-17|93239.0|0|94895.0|0|954.0|0|0.0|100
0|2021-12-18|93239.0|0|95132.0|0|954.0|0|0.0|100
0|2021-12-19|93239.0|0|95419.0|0|954.0|0|0.0|100
0|2021-12-20|93792.0|0|95692.0|0|957.0|0|0.0|100
0|2021-12-21|94197.0|0|95927.0|0|967.0|0|0.0|100
0|2021-12-22|94732.0|0|96291.0|0|966.0|0|0.0|100
0|2021-12-23|95160.0|0|96497.0|0|966.0|0|0.0|100
0|2021-12-24|95866.0|0|97089.0|0|968.0|0|0.0|100
0|2021-12-25|95866.0|0|97697.0|0|968.0|0|0.0|100
0|2021-12-26|95866.0|0|98378.0|0|968.0|0|0.0|100
0|2021-12-27|97359.0|0|99363.0|0|969.0|0|0.0|100
0|2021-12-28|98268.0|0|99363.0|0|972.0|0|0.0|100
0|2021-12-29|99200.0|0|100933.0|0|974.0|0|0.0|100
0|2021-12-30|100392.0|0|101519.0|0|979.0|0|0.0|100
0|2021-12-31|102012.0|0|102828.0|0|983.0|0|0.0|100
0|2022-01-01|102012.0|0|103551.0|0|983.0|0|0.0|100
0|2022-01-02|102012.0|0|105113.0|0|983.0|0|0.0|100
0|2022-01-03|105743.0|0|107561.0|0|984.0|0|0.0|100
0|2022-01-04|107121.0|0|108785.0|0|988.0|0|0.0|100
0|2022-01-05|108374.0|0|109758.0|0|989.0|0|0.0|100
0|2022-01-06|109283.0|0|110390.0|0|994.0|0|0.0|100
0|2022-01-07|110513.0|0|111661.0|0|995.0|0|0.0|100
0|2022-01-08|110513.0|0|112870.0|0|995.0|0|0.0|100
0|2022-01-09|110513.0|0|114003.0|0|995.0|0|0.0|100
0|2022-01-10|117543.0|0|117543.0|0|999.0|0|0.0|100
0|2022-01-11|120448.0|0|120848.0|0|1003.0|0|0.0|100
0|2022-01-12|122006.0|0|123482.0|0|1009.0|0|0.0|100
0|2022-01-13|122006.0|0|124677.0|0|1009.0|0|0.0|100
0|2022-01-14|125467.0|0|126947.0|0|1020.0|0|0.0|100
0|2022-01-15|125467.0|0|126947.0|0|1020.0|0|0.0|100
0|2022-01-16|125467.0|0|128732.0|0|1020.0|0|0.0|100
0|2022-01-17|129259.0|0|0.0|100|1025.0|0|0.0|100
