|dates|Henry_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Henry_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Henry_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Henry_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Henry_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Henry_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Henry_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Henry_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2510.0|0|2510.0|0|24.0|0|0.0|100
0|2021-10-18|2530.0|0|2530.0|0|25.0|0|0.0|100
0|2021-10-19|2536.0|0|2536.0|0|25.0|0|0.0|100
0|2021-10-20|2543.0|0|2543.0|0|26.0|0|0.0|100
0|2021-10-21|2550.0|0|2550.0|0|26.0|0|0.0|100
0|2021-10-22|2554.0|0|2554.0|0|26.0|0|0.0|100
0|2021-10-23|2554.0|0|2554.0|0|26.0|0|0.0|100
0|2021-10-24|2554.0|0|2554.0|0|26.0|0|0.0|100
0|2021-10-25|2572.0|0|2572.0|0|26.0|0|0.0|100
0|2021-10-26|2577.0|0|2577.0|0|26.0|0|0.0|100
0|2021-10-27|2588.0|0|2588.0|0|26.0|0|0.0|100
0|2021-10-28|2597.0|0|2597.0|0|27.0|0|0.0|100
0|2021-10-29|2612.0|0|2612.0|0|29.0|0|0.0|100
0|2021-10-30|2612.0|0|2612.0|0|29.0|0|0.0|100
0|2021-10-31|2612.0|0|2612.0|0|29.0|0|0.0|100
0|2021-11-01|2617.0|0|2617.0|0|29.0|0|0.0|100
0|2021-11-02|2622.0|0|2622.0|0|29.0|0|0.0|100
0|2021-11-03|2626.0|0|2626.0|0|29.0|0|0.0|100
0|2021-11-04|2627.0|0|2627.0|0|29.0|0|0.0|100
0|2021-11-05|2628.0|0|2628.0|0|29.0|0|0.0|100
0|2021-11-06|2628.0|0|2628.0|0|29.0|0|0.0|100
0|2021-11-07|2628.0|0|2628.0|0|29.0|0|0.0|100
0|2021-11-08|2646.0|0|2646.0|0|31.0|0|0.0|100
