|dates|Greenbrier_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Greenbrier_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Greenbrier_WestVirginia_UnitedStates.NYT_ConfirmedCases.data|Greenbrier_WestVirginia_UnitedStates.NYT_ConfirmedCases.missing|Greenbrier_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Greenbrier_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Greenbrier_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Greenbrier_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4757.0|0|4757.0|0|88.0|0|0.0|100
0|2021-10-18|4765.0|0|4765.0|0|88.0|0|0.0|100
0|2021-10-19|4777.0|0|4777.0|0|88.0|0|0.0|100
0|2021-10-20|4791.0|0|4791.0|0|90.0|0|0.0|100
0|2021-10-21|4807.0|0|4807.0|0|90.0|0|0.0|100
0|2021-10-22|4833.0|0|4833.0|0|90.0|0|0.0|100
0|2021-10-23|4850.0|0|4850.0|0|90.0|0|0.0|100
0|2021-10-24|4859.0|0|4859.0|0|90.0|0|0.0|100
0|2021-10-25|4865.0|0|4865.0|0|91.0|0|0.0|100
0|2021-10-26|4870.0|0|4870.0|0|91.0|0|0.0|100
0|2021-10-27|4876.0|0|4876.0|0|93.0|0|0.0|100
0|2021-10-28|4902.0|0|4902.0|0|95.0|0|0.0|100
0|2021-10-29|4925.0|0|4925.0|0|95.0|0|0.0|100
0|2021-10-30|4936.0|0|4936.0|0|95.0|0|0.0|100
0|2021-10-31|4944.0|0|4944.0|0|95.0|0|0.0|100
0|2021-11-01|4955.0|0|4955.0|0|95.0|0|0.0|100
0|2021-11-02|4967.0|0|4967.0|0|96.0|0|0.0|100
0|2021-11-03|4979.0|0|4979.0|0|97.0|0|0.0|100
0|2021-11-04|4991.0|0|4991.0|0|98.0|0|0.0|100
0|2021-11-05|5002.0|0|5002.0|0|98.0|0|0.0|100
0|2021-11-06|5014.0|0|5014.0|0|98.0|0|0.0|100
0|2021-11-07|5031.0|0|5031.0|0|98.0|0|0.0|100
0|2021-11-08|5036.0|0|5036.0|0|98.0|0|0.0|100
0|2021-11-09|5043.0|0|5043.0|0|98.0|0|0.0|100
0|2021-11-10|5053.0|0|5053.0|0|100.0|0|0.0|100
0|2021-11-11|5067.0|0|5067.0|0|100.0|0|0.0|100
0|2021-11-12|5076.0|0|5076.0|0|100.0|0|0.0|100
0|2021-11-13|5088.0|0|5088.0|0|100.0|0|0.0|100
0|2021-11-14|5097.0|0|5097.0|0|100.0|0|0.0|100
0|2021-11-15|5106.0|0|5106.0|0|100.0|0|0.0|100
0|2021-11-16|5112.0|0|5112.0|0|100.0|0|0.0|100
0|2021-11-17|5122.0|0|5122.0|0|101.0|0|0.0|100
0|2021-11-18|5132.0|0|5132.0|0|102.0|0|0.0|100
0|2021-11-19|5142.0|0|5142.0|0|102.0|0|0.0|100
0|2021-11-20|5153.0|0|5153.0|0|102.0|0|0.0|100
0|2021-11-21|5159.0|0|5159.0|0|102.0|0|0.0|100
0|2021-11-22|5169.0|0|5169.0|0|103.0|0|0.0|100
0|2021-11-23|5172.0|0|5172.0|0|102.0|0|0.0|100
0|2021-11-24|5188.0|0|5188.0|0|105.0|0|0.0|100
0|2021-11-25|5188.0|0|5188.0|0|105.0|0|0.0|100
0|2021-11-26|5188.0|0|5188.0|0|105.0|0|0.0|100
0|2021-11-27|5188.0|0|5188.0|0|105.0|0|0.0|100
0|2021-11-28|5188.0|0|5188.0|0|105.0|0|0.0|100
0|2021-11-29|5230.0|0|5230.0|0|106.0|0|0.0|100
0|2021-11-30|5233.0|0|5233.0|0|106.0|0|0.0|100
0|2021-12-01|5248.0|0|5248.0|0|107.0|0|0.0|100
0|2021-12-02|5278.0|0|5278.0|0|109.0|0|0.0|100
0|2021-12-03|5286.0|0|5286.0|0|109.0|0|0.0|100
0|2021-12-04|5304.0|0|5304.0|0|109.0|0|0.0|100
0|2021-12-05|5315.0|0|5315.0|0|109.0|0|0.0|100
0|2021-12-06|5328.0|0|5328.0|0|109.0|0|0.0|100
0|2021-12-07|5340.0|0|5340.0|0|110.0|0|0.0|100
0|2021-12-08|5354.0|0|5354.0|0|112.0|0|0.0|100
0|2021-12-09|5371.0|0|5371.0|0|112.0|0|0.0|100
0|2021-12-10|5394.0|0|5394.0|0|112.0|0|0.0|100
0|2021-12-11|5423.0|0|5423.0|0|112.0|0|0.0|100
0|2021-12-12|5427.0|0|5427.0|0|112.0|0|0.0|100
