|dates|Chatham_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Chatham_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Chatham_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Chatham_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Chatham_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Chatham_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Chatham_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Chatham_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6649.0|0|6649.0|0|91.0|0|0.0|100
0|2021-10-18|6672.0|0|6672.0|0|91.0|0|0.0|100
0|2021-10-19|6675.0|0|6675.0|0|91.0|0|0.0|100
0|2021-10-20|6682.0|0|6682.0|0|91.0|0|0.0|100
0|2021-10-21|6697.0|0|6697.0|0|91.0|0|0.0|100
0|2021-10-22|6712.0|0|6712.0|0|91.0|0|0.0|100
0|2021-10-23|6712.0|0|6712.0|0|91.0|0|0.0|100
0|2021-10-24|6712.0|0|6712.0|0|91.0|0|0.0|100
0|2021-10-25|6732.0|0|6732.0|0|91.0|0|0.0|100
0|2021-10-26|6737.0|0|6737.0|0|91.0|0|0.0|100
0|2021-10-27|6749.0|0|6749.0|0|91.0|0|0.0|100
0|2021-10-28|6761.0|0|6761.0|0|91.0|0|0.0|100
0|2021-10-29|6771.0|0|6771.0|0|91.0|0|0.0|100
0|2021-10-30|6771.0|0|6771.0|0|91.0|0|0.0|100
0|2021-10-31|6771.0|0|6771.0|0|91.0|0|0.0|100
0|2021-11-01|6788.0|0|6788.0|0|91.0|0|0.0|100
0|2021-11-02|6787.0|0|6787.0|0|91.0|0|0.0|100
0|2021-11-03|6794.0|0|6794.0|0|91.0|0|0.0|100
0|2021-11-04|6811.0|0|6811.0|0|91.0|0|0.0|100
0|2021-11-05|6817.0|0|6817.0|0|93.0|0|0.0|100
0|2021-11-06|6817.0|0|6817.0|0|93.0|0|0.0|100
0|2021-11-07|6817.0|0|6817.0|0|93.0|0|0.0|100
0|2021-11-08|6840.0|0|6840.0|0|93.0|0|0.0|100
0|2021-11-09|6838.0|0|6838.0|0|93.0|0|0.0|100
0|2021-11-10|6850.0|0|6850.0|0|93.0|0|0.0|100
0|2021-11-11|6850.0|0|6850.0|0|93.0|0|0.0|100
0|2021-11-12|6866.0|0|6866.0|0|93.0|0|0.0|100
0|2021-11-13|6866.0|0|6866.0|0|93.0|0|0.0|100
0|2021-11-14|6866.0|0|6866.0|0|93.0|0|0.0|100
0|2021-11-15|6886.0|0|6886.0|0|98.0|0|0.0|100
0|2021-11-16|6886.0|0|6886.0|0|98.0|0|0.0|100
0|2021-11-17|6892.0|0|6892.0|0|98.0|0|0.0|100
0|2021-11-18|6900.0|0|6900.0|0|98.0|0|0.0|100
0|2021-11-19|6914.0|0|6914.0|0|98.0|0|0.0|100
0|2021-11-20|6914.0|0|6914.0|0|98.0|0|0.0|100
0|2021-11-21|6914.0|0|6914.0|0|98.0|0|0.0|100
0|2021-11-22|6945.0|0|6945.0|0|98.0|0|0.0|100
0|2021-11-23|6947.0|0|6947.0|0|98.0|0|0.0|100
0|2021-11-24|6960.0|0|6960.0|0|98.0|0|0.0|100
0|2021-11-25|6960.0|0|6960.0|0|98.0|0|0.0|100
0|2021-11-26|6960.0|0|6960.0|0|98.0|0|0.0|100
0|2021-11-27|6960.0|0|6960.0|0|98.0|0|0.0|100
0|2021-11-28|6960.0|0|6960.0|0|98.0|0|0.0|100
0|2021-11-29|7015.0|0|7015.0|0|98.0|0|0.0|100
0|2021-11-30|7015.0|0|7015.0|0|98.0|0|0.0|100
0|2021-12-01|7036.0|0|7036.0|0|99.0|0|0.0|100
0|2021-12-02|7066.0|0|7066.0|0|99.0|0|0.0|100
0|2021-12-03|7084.0|0|7084.0|0|99.0|0|0.0|100
0|2021-12-04|7084.0|0|7084.0|0|99.0|0|0.0|100
0|2021-12-05|7084.0|0|7084.0|0|99.0|0|0.0|100
0|2021-12-06|7120.0|0|7120.0|0|99.0|0|0.0|100
