|dates|Montgomery_Maryland_UnitedStates.JHU_ConfirmedCases.data|Montgomery_Maryland_UnitedStates.JHU_ConfirmedCases.missing|Montgomery_Maryland_UnitedStates.NYT_ConfirmedCases.data|Montgomery_Maryland_UnitedStates.NYT_ConfirmedCases.missing|Montgomery_Maryland_UnitedStates.JHU_ConfirmedDeaths.data|Montgomery_Maryland_UnitedStates.JHU_ConfirmedDeaths.missing|Montgomery_Maryland_UnitedStates.JHU_ConfirmedRecoveries.data|Montgomery_Maryland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|81487.0|0|81538.0|0|1697.0|0|0.0|100
0|2021-10-18|81557.0|0|81608.0|0|1697.0|0|0.0|100
0|2021-10-19|81618.0|0|81669.0|0|1697.0|0|0.0|100
0|2021-10-20|81691.0|0|81742.0|0|1699.0|0|0.0|100
0|2021-10-21|81768.0|0|81819.0|0|1702.0|0|0.0|100
0|2021-10-22|81833.0|0|81884.0|0|1702.0|0|0.0|100
0|2021-10-23|81913.0|0|81964.0|0|1704.0|0|0.0|100
0|2021-10-24|81988.0|0|82039.0|0|1705.0|0|0.0|100
0|2021-10-25|82037.0|0|82088.0|0|1706.0|0|0.0|100
0|2021-10-26|82095.0|0|82146.0|0|1708.0|0|0.0|100
0|2021-10-27|82162.0|0|82213.0|0|1709.0|0|0.0|100
0|2021-10-28|82270.0|0|82321.0|0|1710.0|0|0.0|100
0|2021-10-29|82365.0|0|82416.0|0|1711.0|0|0.0|100
0|2021-10-30|82473.0|0|82524.0|0|1712.0|0|0.0|100
0|2021-10-31|82532.0|0|82583.0|0|1714.0|0|0.0|100
0|2021-11-01|82575.0|0|82626.0|0|1714.0|0|0.0|100
0|2021-11-02|82633.0|0|82684.0|0|1716.0|0|0.0|100
0|2021-11-03|82696.0|0|82747.0|0|1716.0|0|0.0|100
0|2021-11-04|82790.0|0|82841.0|0|1717.0|0|0.0|100
0|2021-11-05|82890.0|0|82941.0|0|1718.0|0|0.0|100
0|2021-11-06|82960.0|0|83011.0|0|1721.0|0|0.0|100
0|2021-11-07|83051.0|0|83102.0|0|1722.0|0|0.0|100
0|2021-11-08|83097.0|0|83148.0|0|1722.0|0|0.0|100
0|2021-11-09|83163.0|0|83214.0|0|1723.0|0|0.0|100
0|2021-11-10|83259.0|0|83310.0|0|1723.0|0|0.0|100
0|2021-11-11|83349.0|0|83400.0|0|1723.0|0|0.0|100
