|dates|Franklin_Massachusetts_UnitedStates.JHU_ConfirmedCases.data|Franklin_Massachusetts_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Massachusetts_UnitedStates.NYT_ConfirmedCases.data|Franklin_Massachusetts_UnitedStates.NYT_ConfirmedCases.missing|Franklin_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3356.0|0|3356.0|0|122.0|0|0.0|100
0|2021-10-18|3371.0|0|3371.0|0|122.0|0|0.0|100
0|2021-10-19|3378.0|0|3378.0|0|122.0|0|0.0|100
0|2021-10-20|3390.0|0|3390.0|0|122.0|0|0.0|100
0|2021-10-21|3397.0|0|3397.0|0|122.0|0|0.0|100
0|2021-10-22|3409.0|0|3409.0|0|122.0|0|0.0|100
0|2021-10-23|3409.0|0|3409.0|0|122.0|0|0.0|100
0|2021-10-24|3409.0|0|3409.0|0|122.0|0|0.0|100
0|2021-10-25|3431.0|0|3431.0|0|122.0|0|0.0|100
0|2021-10-26|3434.0|0|3434.0|0|122.0|0|0.0|100
0|2021-10-27|3440.0|0|3440.0|0|122.0|0|0.0|100
0|2021-10-28|3440.0|0|3449.0|0|122.0|0|0.0|100
0|2021-10-29|3459.0|0|3459.0|0|122.0|0|0.0|100
0|2021-10-30|3459.0|0|3459.0|0|122.0|0|0.0|100
0|2021-10-31|3459.0|0|3459.0|0|122.0|0|0.0|100
0|2021-11-01|3478.0|0|3478.0|0|122.0|0|0.0|100
0|2021-11-02|3484.0|0|3484.0|0|122.0|0|0.0|100
0|2021-11-03|3489.0|0|3489.0|0|122.0|0|0.0|100
0|2021-11-04|3495.0|0|3495.0|0|122.0|0|0.0|100
0|2021-11-05|3511.0|0|3511.0|0|123.0|0|0.0|100
0|2021-11-06|3511.0|0|3511.0|0|123.0|0|0.0|100
0|2021-11-07|3511.0|0|3511.0|0|123.0|0|0.0|100
0|2021-11-08|3529.0|0|3529.0|0|123.0|0|0.0|100
0|2021-11-09|3539.0|0|3539.0|0|123.0|0|0.0|100
0|2021-11-10|3539.0|0|3552.0|0|123.0|0|0.0|100
0|2021-11-11|3552.0|0|3552.0|0|123.0|0|0.0|100
0|2021-11-12|3597.0|0|3597.0|0|123.0|0|0.0|100
0|2021-11-13|3597.0|0|3597.0|0|123.0|0|0.0|100
0|2021-11-14|3597.0|0|3597.0|0|123.0|0|0.0|100
0|2021-11-15|3643.0|0|3643.0|0|123.0|0|0.0|100
0|2021-11-16|3652.0|0|3652.0|0|123.0|0|0.0|100
0|2021-11-17|3678.0|0|3678.0|0|123.0|0|0.0|100
0|2021-11-18|3699.0|0|3699.0|0|123.0|0|0.0|100
0|2021-11-19|3717.0|0|3717.0|0|123.0|0|0.0|100
0|2021-11-20|3717.0|0|3717.0|0|123.0|0|0.0|100
