|dates|Collier_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Collier_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Collier_Florida_UnitedStates.Male_Total_Population.data|Collier_Florida_UnitedStates.Male_Total_Population.missing|Collier_Florida_UnitedStates.Female_Total_Population.data|Collier_Florida_UnitedStates.Female_Total_Population.missing|Collier_Florida_UnitedStates.MaleAndFemale_Under18_Population.data|Collier_Florida_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-10-18|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-10-19|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-10-20|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-10-21|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-10-22|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-10-23|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-10-24|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-10-25|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-10-26|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-10-27|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-10-28|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-10-29|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-10-30|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-10-31|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-01|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-02|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-03|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-04|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-05|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-06|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-07|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-08|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-09|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-10|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-11|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-12|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-13|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-14|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-15|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-16|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-17|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-18|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-19|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-20|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-21|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-22|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-23|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-24|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-25|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-26|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-27|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-28|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-29|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-11-30|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-01|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-02|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-03|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-04|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-05|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-06|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-07|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-08|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-09|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-10|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-11|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-12|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-13|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-14|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-15|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-16|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-17|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-18|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-19|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-20|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-21|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-22|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-23|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-24|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-25|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-26|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-27|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-28|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-29|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-30|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2021-12-31|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2022-01-01|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2022-01-02|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2022-01-03|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2022-01-04|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2022-01-05|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2022-01-06|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2022-01-07|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2022-01-08|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2022-01-09|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2022-01-10|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2022-01-11|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2022-01-12|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2022-01-13|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2022-01-14|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2022-01-15|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2022-01-16|121935.0|0|186769.0|0|191719.0|0|64794.0|0
0|2022-01-17|121935.0|0|186769.0|0|191719.0|0|64794.0|0
