|dates|Clay_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Clay_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Clay_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Clay_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Clay_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Clay_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Clay_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Clay_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2689.0|0|2689.0|0|66.0|0|0.0|100
0|2021-10-18|2690.0|0|2690.0|0|66.0|0|0.0|100
0|2021-10-19|2693.0|0|2693.0|0|66.0|0|0.0|100
0|2021-10-20|2695.0|0|2695.0|0|67.0|0|0.0|100
0|2021-10-21|2700.0|0|2700.0|0|68.0|0|0.0|100
0|2021-10-22|2701.0|0|2701.0|0|68.0|0|0.0|100
0|2021-10-23|2704.0|0|2704.0|0|68.0|0|0.0|100
0|2021-10-24|2706.0|0|2706.0|0|69.0|0|0.0|100
0|2021-10-25|2706.0|0|2706.0|0|69.0|0|0.0|100
0|2021-10-26|2708.0|0|2708.0|0|70.0|0|0.0|100
0|2021-10-27|2708.0|0|2708.0|0|70.0|0|0.0|100
0|2021-10-28|2708.0|0|2708.0|0|70.0|0|0.0|100
0|2021-10-29|2708.0|0|2708.0|0|70.0|0|0.0|100
0|2021-10-30|2708.0|0|2708.0|0|70.0|0|0.0|100
0|2021-10-31|2708.0|0|2708.0|0|70.0|0|0.0|100
0|2021-11-01|2708.0|0|2708.0|0|70.0|0|0.0|100
0|2021-11-02|2712.0|0|2712.0|0|71.0|0|0.0|100
0|2021-11-03|2714.0|0|2714.0|0|71.0|0|0.0|100
0|2021-11-04|2714.0|0|2714.0|0|72.0|0|0.0|100
0|2021-11-05|2718.0|0|2718.0|0|72.0|0|0.0|100
0|2021-11-06|2727.0|0|2727.0|0|73.0|0|0.0|100
0|2021-11-07|2727.0|0|2727.0|0|73.0|0|0.0|100
0|2021-11-08|2727.0|0|2727.0|0|73.0|0|0.0|100
0|2021-11-09|2732.0|0|2732.0|0|73.0|0|0.0|100
0|2021-11-10|2732.0|0|2737.0|0|73.0|0|0.0|100
0|2021-11-11|2741.0|0|2741.0|0|73.0|0|0.0|100
0|2021-11-12|2746.0|0|2746.0|0|73.0|0|0.0|100
0|2021-11-13|2745.0|0|2745.0|0|73.0|0|0.0|100
0|2021-11-14|2748.0|0|2748.0|0|74.0|0|0.0|100
0|2021-11-15|2750.0|0|2750.0|0|74.0|0|0.0|100
0|2021-11-16|2753.0|0|2753.0|0|74.0|0|0.0|100
0|2021-11-17|2754.0|0|2754.0|0|74.0|0|0.0|100
0|2021-11-18|2764.0|0|2764.0|0|74.0|0|0.0|100
0|2021-11-19|2773.0|0|2773.0|0|74.0|0|0.0|100
0|2021-11-20|2777.0|0|2777.0|0|74.0|0|0.0|100
0|2021-11-21|2779.0|0|2779.0|0|74.0|0|0.0|100
0|2021-11-22|2780.0|0|2780.0|0|74.0|0|0.0|100
0|2021-11-23|2786.0|0|2786.0|0|74.0|0|0.0|100
0|2021-11-24|2793.0|0|2793.0|0|74.0|0|0.0|100
0|2021-11-25|2798.0|0|2798.0|0|74.0|0|0.0|100
0|2021-11-26|2799.0|0|2799.0|0|74.0|0|0.0|100
0|2021-11-27|2801.0|0|2801.0|0|74.0|0|0.0|100
0|2021-11-28|2802.0|0|2802.0|0|74.0|0|0.0|100
0|2021-11-29|2803.0|0|2803.0|0|74.0|0|0.0|100
0|2021-11-30|2803.0|0|2809.0|0|74.0|0|0.0|100
0|2021-12-01|2814.0|0|2814.0|0|74.0|0|0.0|100
0|2021-12-02|2820.0|0|2820.0|0|74.0|0|0.0|100
0|2021-12-03|2823.0|0|2823.0|0|74.0|0|0.0|100
0|2021-12-04|2831.0|0|2831.0|0|75.0|0|0.0|100
0|2021-12-05|2831.0|0|2831.0|0|76.0|0|0.0|100
0|2021-12-06|2832.0|0|2832.0|0|76.0|0|0.0|100
0|2021-12-07|2848.0|0|2848.0|0|77.0|0|0.0|100
0|2021-12-08|2852.0|0|2852.0|0|77.0|0|0.0|100
0|2021-12-09|2862.0|0|2862.0|0|77.0|0|0.0|100
0|2021-12-10|2865.0|0|2865.0|0|77.0|0|0.0|100
0|2021-12-11|2866.0|0|2866.0|0|77.0|0|0.0|100
0|2021-12-12|2867.0|0|2867.0|0|77.0|0|0.0|100
0|2021-12-13|2867.0|0|2867.0|0|77.0|0|0.0|100
0|2021-12-14|2867.0|0|2874.0|0|77.0|0|0.0|100
0|2021-12-15|2879.0|0|2879.0|0|77.0|0|0.0|100
0|2021-12-16|2883.0|0|2883.0|0|77.0|0|0.0|100
0|2021-12-17|2886.0|0|2886.0|0|77.0|0|0.0|100
0|2021-12-18|2894.0|0|2894.0|0|77.0|0|0.0|100
0|2021-12-19|2898.0|0|2898.0|0|77.0|0|0.0|100
0|2021-12-20|2900.0|0|2900.0|0|77.0|0|0.0|100
0|2021-12-21|2904.0|0|2904.0|0|77.0|0|0.0|100
0|2021-12-22|2905.0|0|2905.0|0|77.0|0|0.0|100
0|2021-12-23|2915.0|0|2915.0|0|77.0|0|0.0|100
0|2021-12-24|2919.0|0|2919.0|0|77.0|0|0.0|100
0|2021-12-25|2920.0|0|2920.0|0|77.0|0|0.0|100
0|2021-12-26|2921.0|0|2921.0|0|77.0|0|0.0|100
0|2021-12-27|2923.0|0|2923.0|0|77.0|0|0.0|100
0|2021-12-28|2941.0|0|2941.0|0|77.0|0|0.0|100
0|2021-12-29|2947.0|0|2947.0|0|77.0|0|0.0|100
0|2021-12-30|2963.0|0|2963.0|0|77.0|0|0.0|100
0|2021-12-31|2970.0|0|2970.0|0|77.0|0|0.0|100
0|2022-01-01|2975.0|0|2975.0|0|77.0|0|0.0|100
0|2022-01-02|2977.0|0|2977.0|0|77.0|0|0.0|100
0|2022-01-03|2980.0|0|2980.0|0|77.0|0|0.0|100
0|2022-01-04|2995.0|0|2995.0|0|77.0|0|0.0|100
0|2022-01-05|3009.0|0|3009.0|0|77.0|0|0.0|100
0|2022-01-06|3035.0|0|3035.0|0|77.0|0|0.0|100
0|2022-01-07|3057.0|0|3057.0|0|77.0|0|0.0|100
0|2022-01-08|3077.0|0|3077.0|0|77.0|0|0.0|100
0|2022-01-09|3077.0|0|3077.0|0|77.0|0|0.0|100
0|2022-01-10|3120.0|0|3120.0|0|77.0|0|0.0|100
0|2022-01-11|3155.0|0|3155.0|0|77.0|0|0.0|100
