|dates|JeffersonDavis_Mississippi_UnitedStates.JHU_ConfirmedCases.data|JeffersonDavis_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|JeffersonDavis_Mississippi_UnitedStates.NYT_ConfirmedCases.data|JeffersonDavis_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|JeffersonDavis_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|JeffersonDavis_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|JeffersonDavis_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|JeffersonDavis_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1706.0|0|1706.0|0|42.0|0|0.0|100
0|2021-10-18|1709.0|0|1709.0|0|42.0|0|0.0|100
0|2021-10-19|1713.0|0|1713.0|0|42.0|0|0.0|100
0|2021-10-20|1714.0|0|1714.0|0|42.0|0|0.0|100
0|2021-10-21|1715.0|0|1715.0|0|42.0|0|0.0|100
0|2021-10-22|1717.0|0|1717.0|0|43.0|0|0.0|100
0|2021-10-23|1717.0|0|1717.0|0|43.0|0|0.0|100
0|2021-10-24|1717.0|0|1717.0|0|43.0|0|0.0|100
0|2021-10-25|1722.0|0|1722.0|0|43.0|0|0.0|100
0|2021-10-26|1722.0|0|1722.0|0|43.0|0|0.0|100
0|2021-10-27|1724.0|0|1724.0|0|43.0|0|0.0|100
0|2021-10-28|1725.0|0|1725.0|0|43.0|0|0.0|100
0|2021-10-29|1725.0|0|1725.0|0|43.0|0|0.0|100
0|2021-10-30|1725.0|0|1725.0|0|43.0|0|0.0|100
0|2021-10-31|1725.0|0|1725.0|0|43.0|0|0.0|100
0|2021-11-01|1725.0|0|1725.0|0|43.0|0|0.0|100
0|2021-11-02|1725.0|0|1725.0|0|43.0|0|0.0|100
0|2021-11-03|1725.0|0|1725.0|0|43.0|0|0.0|100
0|2021-11-04|1725.0|0|1725.0|0|43.0|0|0.0|100
0|2021-11-05|1725.0|0|1725.0|0|43.0|0|0.0|100
0|2021-11-06|1725.0|0|1725.0|0|43.0|0|0.0|100
0|2021-11-07|1725.0|0|1725.0|0|43.0|0|0.0|100
0|2021-11-08|1725.0|0|1725.0|0|43.0|0|0.0|100
0|2021-11-09|1725.0|0|1725.0|0|43.0|0|0.0|100
0|2021-11-10|1725.0|0|1725.0|0|43.0|0|0.0|100
0|2021-11-11|1725.0|0|1725.0|0|43.0|0|0.0|100
0|2021-11-12|1725.0|0|1725.0|0|43.0|0|0.0|100
0|2021-11-13|1725.0|0|1725.0|0|43.0|0|0.0|100
0|2021-11-14|1725.0|0|1725.0|0|43.0|0|0.0|100
0|2021-11-15|1729.0|0|1729.0|0|43.0|0|0.0|100
0|2021-11-16|1729.0|0|1729.0|0|43.0|0|0.0|100
0|2021-11-17|1730.0|0|1730.0|0|43.0|0|0.0|100
0|2021-11-18|1730.0|0|1730.0|0|43.0|0|0.0|100
0|2021-11-19|1730.0|0|1730.0|0|43.0|0|0.0|100
0|2021-11-20|1730.0|0|1730.0|0|43.0|0|0.0|100
0|2021-11-21|1730.0|0|1730.0|0|43.0|0|0.0|100
0|2021-11-22|1733.0|0|1733.0|0|43.0|0|0.0|100
0|2021-11-23|1733.0|0|1733.0|0|43.0|0|0.0|100
0|2021-11-24|1736.0|0|1736.0|0|43.0|0|0.0|100
0|2021-11-25|1736.0|0|1736.0|0|43.0|0|0.0|100
