|dates|Northampton_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Northampton_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Northampton_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Northampton_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Northampton_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Northampton_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Northampton_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Northampton_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|43670.0|0|43670.0|0|778.0|0|0.0|100
0|2021-10-18|43715.0|0|43715.0|0|779.0|0|0.0|100
0|2021-10-19|43804.0|0|43804.0|0|781.0|0|0.0|100
0|2021-10-20|43861.0|0|43861.0|0|783.0|0|0.0|100
0|2021-10-21|43966.0|0|43966.0|0|783.0|0|0.0|100
0|2021-10-22|44049.0|0|44049.0|0|786.0|0|0.0|100
0|2021-10-23|44138.0|0|44138.0|0|790.0|0|0.0|100
0|2021-10-24|44191.0|0|44191.0|0|790.0|0|0.0|100
0|2021-10-25|44225.0|0|44225.0|0|790.0|0|0.0|100
0|2021-10-26|44320.0|0|44320.0|0|790.0|0|0.0|100
0|2021-10-27|44377.0|0|44377.0|0|793.0|0|0.0|100
0|2021-10-28|44490.0|0|44490.0|0|794.0|0|0.0|100
0|2021-10-29|44571.0|0|44571.0|0|794.0|0|0.0|100
0|2021-10-30|44645.0|0|44645.0|0|794.0|0|0.0|100
0|2021-10-31|44694.0|0|44694.0|0|795.0|0|0.0|100
0|2021-11-01|44694.0|0|44694.0|0|795.0|0|0.0|100
0|2021-11-02|44856.0|0|44856.0|0|795.0|0|0.0|100
0|2021-11-03|44897.0|0|44897.0|0|798.0|0|0.0|100
0|2021-11-04|44996.0|0|44996.0|0|798.0|0|0.0|100
0|2021-11-05|45082.0|0|45082.0|0|801.0|0|0.0|100
0|2021-11-06|45199.0|0|45199.0|0|801.0|0|0.0|100
0|2021-11-07|45260.0|0|45260.0|0|801.0|0|0.0|100
0|2021-11-08|45319.0|0|45319.0|0|801.0|0|0.0|100
0|2021-11-09|45441.0|0|45441.0|0|802.0|0|0.0|100
0|2021-11-10|45441.0|0|45510.0|0|802.0|0|0.0|100
0|2021-11-11|45639.0|0|45639.0|0|805.0|0|0.0|100
0|2021-11-12|45756.0|0|45756.0|0|805.0|0|0.0|100
0|2021-11-13|46286.0|0|46286.0|0|805.0|0|0.0|100
0|2021-11-14|46375.0|0|46375.0|0|806.0|0|0.0|100
0|2021-11-15|46424.0|0|46424.0|0|806.0|0|0.0|100
0|2021-11-16|46580.0|0|46580.0|0|807.0|0|0.0|100
0|2021-11-17|46724.0|0|46724.0|0|807.0|0|0.0|100
0|2021-11-18|46886.0|0|46886.0|0|808.0|0|0.0|100
0|2021-11-19|47038.0|0|47038.0|0|809.0|0|0.0|100
0|2021-11-20|47162.0|0|47162.0|0|809.0|0|0.0|100
0|2021-11-21|47261.0|0|47261.0|0|809.0|0|0.0|100
0|2021-11-22|47373.0|0|47373.0|0|809.0|0|0.0|100
0|2021-11-23|47586.0|0|47586.0|0|809.0|0|0.0|100
0|2021-11-24|47741.0|0|47741.0|0|813.0|0|0.0|100
0|2021-11-25|47879.0|0|47879.0|0|815.0|0|0.0|100
0|2021-11-26|48053.0|0|48053.0|0|815.0|0|0.0|100
0|2021-11-27|48147.0|0|48147.0|0|815.0|0|0.0|100
0|2021-11-28|48274.0|0|48274.0|0|815.0|0|0.0|100
0|2021-11-29|48397.0|0|48397.0|0|815.0|0|0.0|100
0|2021-11-30|48548.0|0|48548.0|0|816.0|0|0.0|100
0|2021-12-01|48668.0|0|48668.0|0|819.0|0|0.0|100
0|2021-12-02|48992.0|0|48992.0|0|821.0|0|0.0|100
0|2021-12-03|48992.0|0|49326.0|0|821.0|0|0.0|100
0|2021-12-04|49658.0|0|49658.0|0|824.0|0|0.0|100
0|2021-12-05|49958.0|0|49958.0|0|824.0|0|0.0|100
0|2021-12-06|50144.0|0|50144.0|0|825.0|0|0.0|100
0|2021-12-07|50386.0|0|50386.0|0|828.0|0|0.0|100
0|2021-12-08|50581.0|0|50581.0|0|829.0|0|0.0|100
0|2021-12-09|50768.0|0|50768.0|0|831.0|0|0.0|100
0|2021-12-10|51178.0|0|51178.0|0|834.0|0|0.0|100
0|2021-12-11|51563.0|0|51563.0|0|836.0|0|0.0|100
0|2021-12-12|51917.0|0|51917.0|0|836.0|0|0.0|100
0|2021-12-13|52131.0|0|52131.0|0|836.0|0|0.0|100
0|2021-12-14|52131.0|0|52376.0|0|836.0|0|0.0|100
0|2021-12-15|52581.0|0|52581.0|0|842.0|0|0.0|100
0|2021-12-16|52929.0|0|52929.0|0|845.0|0|0.0|100
0|2021-12-17|53179.0|0|53179.0|0|847.0|0|0.0|100
0|2021-12-18|53535.0|0|53535.0|0|852.0|0|0.0|100
0|2021-12-19|53806.0|0|53806.0|0|852.0|0|0.0|100
0|2021-12-20|54047.0|0|54047.0|0|852.0|0|0.0|100
0|2021-12-21|54387.0|0|54387.0|0|854.0|0|0.0|100
0|2021-12-22|54646.0|0|54646.0|0|859.0|0|0.0|100
0|2021-12-23|54959.0|0|54959.0|0|861.0|0|0.0|100
0|2021-12-24|55301.0|0|55301.0|0|863.0|0|0.0|100
0|2021-12-25|55726.0|0|55726.0|0|863.0|0|0.0|100
0|2021-12-26|56143.0|0|56143.0|0|863.0|0|0.0|100
0|2021-12-27|56419.0|0|56419.0|0|863.0|0|0.0|100
0|2021-12-28|57047.0|0|57047.0|0|865.0|0|0.0|100
0|2021-12-29|57463.0|0|57463.0|0|865.0|0|0.0|100
0|2021-12-30|57829.0|0|57829.0|0|879.0|0|0.0|100
0|2021-12-31|58875.0|0|58875.0|0|882.0|0|0.0|100
0|2022-01-01|59540.0|0|59540.0|0|882.0|0|0.0|100
0|2022-01-02|60175.0|0|60175.0|0|882.0|0|0.0|100
0|2022-01-03|61091.0|0|61091.0|0|884.0|0|0.0|100
0|2022-01-04|61669.0|0|61669.0|0|886.0|0|0.0|100
0|2022-01-05|62242.0|0|62242.0|0|890.0|0|0.0|100
0|2022-01-06|63189.0|0|63189.0|0|899.0|0|0.0|100
0|2022-01-07|64193.0|0|64193.0|0|903.0|0|0.0|100
0|2022-01-08|65337.0|0|65337.0|0|906.0|0|0.0|100
0|2022-01-09|66238.0|0|66238.0|0|907.0|0|0.0|100
0|2022-01-10|67302.0|0|67302.0|0|907.0|0|0.0|100
0|2022-01-11|68678.0|0|68678.0|0|915.0|0|0.0|100
0|2022-01-12|69717.0|0|69717.0|0|923.0|0|0.0|100
0|2022-01-13|69717.0|0|70436.0|0|923.0|0|0.0|100
0|2022-01-14|71205.0|0|71205.0|0|931.0|0|0.0|100
0|2022-01-15|71600.0|0|71600.0|0|935.0|0|0.0|100
0|2022-01-16|72729.0|0|72729.0|0|935.0|0|0.0|100
0|2022-01-17|73080.0|0|0.0|100|935.0|0|0.0|100
