|dates|Mason_Illinois_UnitedStates.JHU_ConfirmedCases.data|Mason_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Mason_Illinois_UnitedStates.NYT_ConfirmedCases.data|Mason_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Mason_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Mason_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Mason_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Mason_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2116.0|0|2116.0|0|52.0|0|0.0|100
0|2021-10-18|2127.0|0|2127.0|0|52.0|0|0.0|100
0|2021-10-19|2140.0|0|2140.0|0|52.0|0|0.0|100
0|2021-10-20|2142.0|0|2142.0|0|52.0|0|0.0|100
0|2021-10-21|2144.0|0|2144.0|0|52.0|0|0.0|100
0|2021-10-22|2144.0|0|2144.0|0|52.0|0|0.0|100
0|2021-10-23|2144.0|0|2144.0|0|52.0|0|0.0|100
0|2021-10-24|2144.0|0|2144.0|0|52.0|0|0.0|100
0|2021-10-25|2145.0|0|2145.0|0|53.0|0|0.0|100
0|2021-10-26|2147.0|0|2147.0|0|53.0|0|0.0|100
0|2021-10-27|2149.0|0|2149.0|0|53.0|0|0.0|100
0|2021-10-28|2157.0|0|2157.0|0|53.0|0|0.0|100
0|2021-10-29|2161.0|0|2161.0|0|53.0|0|0.0|100
0|2021-10-30|2161.0|0|2161.0|0|53.0|0|0.0|100
0|2021-10-31|2161.0|0|2161.0|0|53.0|0|0.0|100
0|2021-11-01|2167.0|0|2167.0|0|53.0|0|0.0|100
0|2021-11-02|2174.0|0|2174.0|0|53.0|0|0.0|100
0|2021-11-03|2174.0|0|2174.0|0|53.0|0|0.0|100
0|2021-11-04|2178.0|0|2178.0|0|53.0|0|0.0|100
0|2021-11-05|2178.0|0|2178.0|0|53.0|0|0.0|100
0|2021-11-06|2178.0|0|2178.0|0|53.0|0|0.0|100
0|2021-11-07|2178.0|0|2178.0|0|53.0|0|0.0|100
0|2021-11-08|2194.0|0|2194.0|0|53.0|0|0.0|100
0|2021-11-09|2197.0|0|2197.0|0|53.0|0|0.0|100
0|2021-11-10|2197.0|0|2199.0|0|53.0|0|0.0|100
0|2021-11-11|2199.0|0|2199.0|0|53.0|0|0.0|100
0|2021-11-12|2203.0|0|2203.0|0|53.0|0|0.0|100
0|2021-11-13|2203.0|0|2203.0|0|53.0|0|0.0|100
0|2021-11-14|2203.0|0|2203.0|0|53.0|0|0.0|100
0|2021-11-15|2205.0|0|2205.0|0|53.0|0|0.0|100
0|2021-11-16|2211.0|0|2211.0|0|53.0|0|0.0|100
0|2021-11-17|2212.0|0|2212.0|0|53.0|0|0.0|100
0|2021-11-18|2221.0|0|2221.0|0|53.0|0|0.0|100
0|2021-11-19|2227.0|0|2227.0|0|53.0|0|0.0|100
0|2021-11-20|2227.0|0|2227.0|0|53.0|0|0.0|100
0|2021-11-21|2227.0|0|2227.0|0|53.0|0|0.0|100
0|2021-11-22|2232.0|0|2232.0|0|53.0|0|0.0|100
0|2021-11-23|2240.0|0|2240.0|0|53.0|0|0.0|100
0|2021-11-24|2249.0|0|2249.0|0|53.0|0|0.0|100
0|2021-11-25|2249.0|0|2249.0|0|53.0|0|0.0|100
0|2021-11-26|2249.0|0|2249.0|0|53.0|0|0.0|100
0|2021-11-27|2249.0|0|2249.0|0|53.0|0|0.0|100
0|2021-11-28|2249.0|0|2249.0|0|53.0|0|0.0|100
0|2021-11-29|2263.0|0|2263.0|0|53.0|0|0.0|100
0|2021-11-30|2276.0|0|2276.0|0|53.0|0|0.0|100
0|2021-12-01|2289.0|0|2289.0|0|53.0|0|0.0|100
0|2021-12-02|2289.0|0|2308.0|0|53.0|0|0.0|100
0|2021-12-03|2323.0|0|2323.0|0|53.0|0|0.0|100
0|2021-12-04|2323.0|0|2323.0|0|53.0|0|0.0|100
0|2021-12-05|2323.0|0|2323.0|0|53.0|0|0.0|100
0|2021-12-06|2342.0|0|2342.0|0|53.0|0|0.0|100
0|2021-12-07|2366.0|0|2366.0|0|53.0|0|0.0|100
0|2021-12-08|2386.0|0|2386.0|0|53.0|0|0.0|100
0|2021-12-09|2411.0|0|2411.0|0|53.0|0|0.0|100
0|2021-12-10|2432.0|0|2432.0|0|53.0|0|0.0|100
0|2021-12-11|2432.0|0|2432.0|0|53.0|0|0.0|100
0|2021-12-12|2432.0|0|2432.0|0|53.0|0|0.0|100
