|dates|Tunica_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Tunica_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Tunica_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Tunica_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Tunica_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Tunica_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Tunica_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Tunica_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1586.0|0|1586.0|0|39.0|0|0.0|100
0|2021-10-18|1590.0|0|1590.0|0|39.0|0|0.0|100
0|2021-10-19|1594.0|0|1594.0|0|39.0|0|0.0|100
0|2021-10-20|1594.0|0|1594.0|0|39.0|0|0.0|100
0|2021-10-21|1594.0|0|1594.0|0|39.0|0|0.0|100
0|2021-10-22|1598.0|0|1598.0|0|39.0|0|0.0|100
0|2021-10-23|1598.0|0|1598.0|0|39.0|0|0.0|100
0|2021-10-24|1598.0|0|1598.0|0|39.0|0|0.0|100
0|2021-10-25|1600.0|0|1600.0|0|39.0|0|0.0|100
0|2021-10-26|1601.0|0|1601.0|0|39.0|0|0.0|100
0|2021-10-27|1605.0|0|1605.0|0|39.0|0|0.0|100
0|2021-10-28|1606.0|0|1606.0|0|39.0|0|0.0|100
0|2021-10-29|1608.0|0|1608.0|0|39.0|0|0.0|100
0|2021-10-30|1608.0|0|1608.0|0|39.0|0|0.0|100
0|2021-10-31|1608.0|0|1608.0|0|39.0|0|0.0|100
0|2021-11-01|1610.0|0|1610.0|0|39.0|0|0.0|100
0|2021-11-02|1610.0|0|1610.0|0|39.0|0|0.0|100
0|2021-11-03|1611.0|0|1611.0|0|39.0|0|0.0|100
0|2021-11-04|1611.0|0|1611.0|0|39.0|0|0.0|100
0|2021-11-05|1612.0|0|1612.0|0|39.0|0|0.0|100
0|2021-11-06|1612.0|0|1612.0|0|39.0|0|0.0|100
0|2021-11-07|1612.0|0|1612.0|0|39.0|0|0.0|100
0|2021-11-08|1612.0|0|1612.0|0|39.0|0|0.0|100
0|2021-11-09|1612.0|0|1612.0|0|39.0|0|0.0|100
0|2021-11-10|1612.0|0|1612.0|0|39.0|0|0.0|100
0|2021-11-11|1612.0|0|1612.0|0|39.0|0|0.0|100
0|2021-11-12|1613.0|0|1613.0|0|39.0|0|0.0|100
0|2021-11-13|1613.0|0|1613.0|0|39.0|0|0.0|100
0|2021-11-14|1613.0|0|1613.0|0|39.0|0|0.0|100
0|2021-11-15|1616.0|0|1616.0|0|39.0|0|0.0|100
0|2021-11-16|1622.0|0|1622.0|0|39.0|0|0.0|100
0|2021-11-17|1622.0|0|1622.0|0|39.0|0|0.0|100
0|2021-11-18|1623.0|0|1623.0|0|39.0|0|0.0|100
0|2021-11-19|1623.0|0|1623.0|0|39.0|0|0.0|100
0|2021-11-20|1623.0|0|1623.0|0|39.0|0|0.0|100
0|2021-11-21|1623.0|0|1623.0|0|39.0|0|0.0|100
0|2021-11-22|1629.0|0|1629.0|0|39.0|0|0.0|100
0|2021-11-23|1630.0|0|1630.0|0|39.0|0|0.0|100
0|2021-11-24|1632.0|0|1632.0|0|39.0|0|0.0|100
0|2021-11-25|1632.0|0|1632.0|0|39.0|0|0.0|100
0|2021-11-26|1632.0|0|1632.0|0|39.0|0|0.0|100
0|2021-11-27|1632.0|0|1632.0|0|39.0|0|0.0|100
0|2021-11-28|1632.0|0|1632.0|0|39.0|0|0.0|100
0|2021-11-29|1632.0|0|1632.0|0|39.0|0|0.0|100
0|2021-11-30|1633.0|0|1633.0|0|39.0|0|0.0|100
0|2021-12-01|1633.0|0|1633.0|0|39.0|0|0.0|100
0|2021-12-02|1633.0|0|1635.0|0|39.0|0|0.0|100
0|2021-12-03|1635.0|0|1635.0|0|39.0|0|0.0|100
0|2021-12-04|1635.0|0|1635.0|0|39.0|0|0.0|100
0|2021-12-05|1635.0|0|1635.0|0|39.0|0|0.0|100
0|2021-12-06|1639.0|0|1639.0|0|39.0|0|0.0|100
0|2021-12-07|1641.0|0|1641.0|0|39.0|0|0.0|100
0|2021-12-08|1642.0|0|1642.0|0|39.0|0|0.0|100
0|2021-12-09|1649.0|0|1649.0|0|39.0|0|0.0|100
0|2021-12-10|1650.0|0|1650.0|0|39.0|0|0.0|100
0|2021-12-11|1650.0|0|1650.0|0|39.0|0|0.0|100
0|2021-12-12|1650.0|0|1650.0|0|39.0|0|0.0|100
0|2021-12-13|1652.0|0|1652.0|0|39.0|0|0.0|100
0|2021-12-14|1652.0|0|1654.0|0|39.0|0|0.0|100
0|2021-12-15|1657.0|0|1657.0|0|39.0|0|0.0|100
0|2021-12-16|1661.0|0|1661.0|0|39.0|0|0.0|100
0|2021-12-17|1665.0|0|1665.0|0|39.0|0|0.0|100
0|2021-12-18|1665.0|0|1665.0|0|39.0|0|0.0|100
