|dates|Kusilvak_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Kusilvak_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Kusilvak_Alaska_UnitedStates.Male_Total_Population.data|Kusilvak_Alaska_UnitedStates.Male_Total_Population.missing|Kusilvak_Alaska_UnitedStates.Female_Total_Population.data|Kusilvak_Alaska_UnitedStates.Female_Total_Population.missing|Kusilvak_Alaska_UnitedStates.MaleAndFemale_Under18_Population.data|Kusilvak_Alaska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|496.0|0|4374.0|0|3929.0|0|3391.0|0
0|2021-10-18|496.0|0|4374.0|0|3929.0|0|3391.0|0
0|2021-10-19|496.0|0|4374.0|0|3929.0|0|3391.0|0
0|2021-10-20|496.0|0|4374.0|0|3929.0|0|3391.0|0
0|2021-10-21|496.0|0|4374.0|0|3929.0|0|3391.0|0
0|2021-10-22|496.0|0|4374.0|0|3929.0|0|3391.0|0
0|2021-10-23|496.0|0|4374.0|0|3929.0|0|3391.0|0
0|2021-10-24|496.0|0|4374.0|0|3929.0|0|3391.0|0
0|2021-10-25|496.0|0|4374.0|0|3929.0|0|3391.0|0
0|2021-10-26|496.0|0|4374.0|0|3929.0|0|3391.0|0
0|2021-10-27|496.0|0|4374.0|0|3929.0|0|3391.0|0
0|2021-10-28|496.0|0|4374.0|0|3929.0|0|3391.0|0
0|2021-10-29|496.0|0|4374.0|0|3929.0|0|3391.0|0
0|2021-10-30|496.0|0|4374.0|0|3929.0|0|3391.0|0
0|2021-10-31|496.0|0|4374.0|0|3929.0|0|3391.0|0
0|2021-11-01|496.0|0|4374.0|0|3929.0|0|3391.0|0
0|2021-11-02|496.0|0|4374.0|0|3929.0|0|3391.0|0
0|2021-11-03|496.0|0|4374.0|0|3929.0|0|3391.0|0
0|2021-11-04|496.0|0|4374.0|0|3929.0|0|3391.0|0
0|2021-11-05|496.0|0|4374.0|0|3929.0|0|3391.0|0
0|2021-11-06|496.0|0|4374.0|0|3929.0|0|3391.0|0
