|dates|Bergen_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Bergen_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Bergen_NewJersey_UnitedStates.Male_Total_Population.data|Bergen_NewJersey_UnitedStates.Male_Total_Population.missing|Bergen_NewJersey_UnitedStates.Female_Total_Population.data|Bergen_NewJersey_UnitedStates.Female_Total_Population.missing|Bergen_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.data|Bergen_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-10-18|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-10-19|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-10-20|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-10-21|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-10-22|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-10-23|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-10-24|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-10-25|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-10-26|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-10-27|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-10-28|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-10-29|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-10-30|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-10-31|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-01|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-02|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-03|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-04|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-05|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-06|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-07|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-08|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-09|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-10|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-11|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-12|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-13|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-14|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-15|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-16|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-17|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-18|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-19|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-20|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-21|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-22|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-23|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-24|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-25|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-26|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-27|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-28|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-29|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-11-30|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-12-01|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-12-02|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-12-03|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-12-04|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-12-05|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-12-06|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-12-07|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-12-08|161086.0|0|454688.0|0|482004.0|0|198355.0|0
0|2021-12-09|161086.0|0|454688.0|0|482004.0|0|198355.0|0
