|dates|Greene_Indiana_UnitedStates.JHU_ConfirmedCases.data|Greene_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Greene_Indiana_UnitedStates.NYT_ConfirmedCases.data|Greene_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Greene_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Greene_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Greene_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Greene_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4211.0|0|4220.0|0|96.0|0|0.0|100
0|2021-10-18|4220.0|0|4229.0|0|96.0|0|0.0|100
0|2021-10-19|4224.0|0|4233.0|0|96.0|0|0.0|100
0|2021-10-20|4235.0|0|4244.0|0|96.0|0|0.0|100
0|2021-10-21|4244.0|0|4253.0|0|96.0|0|0.0|100
0|2021-10-22|4251.0|0|4260.0|0|96.0|0|0.0|100
0|2021-10-23|4251.0|0|4260.0|0|96.0|0|0.0|100
0|2021-10-24|4251.0|0|4260.0|0|96.0|0|0.0|100
0|2021-10-25|4272.0|0|4281.0|0|96.0|0|0.0|100
0|2021-10-26|4284.0|0|4293.0|0|96.0|0|0.0|100
0|2021-10-27|4289.0|0|4299.0|0|96.0|0|0.0|100
0|2021-10-28|4302.0|0|4312.0|0|96.0|0|0.0|100
0|2021-10-29|4309.0|0|4319.0|0|96.0|0|0.0|100
0|2021-10-30|4309.0|0|4319.0|0|96.0|0|0.0|100
0|2021-10-31|4309.0|0|4319.0|0|96.0|0|0.0|100
0|2021-11-01|4325.0|0|4335.0|0|96.0|0|0.0|100
0|2021-11-02|4332.0|0|4342.0|0|96.0|0|0.0|100
0|2021-11-03|4337.0|0|4347.0|0|96.0|0|0.0|100
0|2021-11-04|4342.0|0|4352.0|0|96.0|0|0.0|100
0|2021-11-05|4354.0|0|4364.0|0|97.0|0|0.0|100
0|2021-11-06|4354.0|0|4364.0|0|97.0|0|0.0|100
0|2021-11-07|4354.0|0|4364.0|0|97.0|0|0.0|100
0|2021-11-08|4370.0|0|4380.0|0|97.0|0|0.0|100
0|2021-11-09|4383.0|0|4393.0|0|97.0|0|0.0|100
0|2021-11-10|4383.0|0|4404.0|0|97.0|0|0.0|100
0|2021-11-11|4421.0|0|4431.0|0|97.0|0|0.0|100
0|2021-11-12|4436.0|0|4446.0|0|97.0|0|0.0|100
0|2021-11-13|4436.0|0|4446.0|0|97.0|0|0.0|100
0|2021-11-14|4436.0|0|4446.0|0|97.0|0|0.0|100
0|2021-11-15|4467.0|0|4477.0|0|97.0|0|0.0|100
0|2021-11-16|4475.0|0|4485.0|0|97.0|0|0.0|100
0|2021-11-17|4492.0|0|4502.0|0|97.0|0|0.0|100
0|2021-11-18|4511.0|0|4521.0|0|97.0|0|0.0|100
0|2021-11-19|4529.0|0|4539.0|0|97.0|0|0.0|100
0|2021-11-20|4529.0|0|4539.0|0|97.0|0|0.0|100
0|2021-11-21|4529.0|0|4539.0|0|97.0|0|0.0|100
0|2021-11-22|4560.0|0|4570.0|0|98.0|0|0.0|100
0|2021-11-23|4573.0|0|4583.0|0|99.0|0|0.0|100
0|2021-11-24|4583.0|0|4593.0|0|99.0|0|0.0|100
0|2021-11-25|4583.0|0|4593.0|0|99.0|0|0.0|100
0|2021-11-26|4583.0|0|4593.0|0|99.0|0|0.0|100
0|2021-11-27|4583.0|0|4593.0|0|99.0|0|0.0|100
0|2021-11-28|4583.0|0|4593.0|0|99.0|0|0.0|100
0|2021-11-29|4617.0|0|4627.0|0|99.0|0|0.0|100
0|2021-11-30|4638.0|0|4648.0|0|99.0|0|0.0|100
0|2021-12-01|4661.0|0|4671.0|0|100.0|0|0.0|100
0|2021-12-02|4661.0|0|4690.0|0|100.0|0|0.0|100
0|2021-12-03|4701.0|0|4711.0|0|101.0|0|0.0|100
0|2021-12-04|4701.0|0|4711.0|0|101.0|0|0.0|100
0|2021-12-05|4701.0|0|4711.0|0|101.0|0|0.0|100
0|2021-12-06|4749.0|0|4759.0|0|101.0|0|0.0|100
0|2021-12-07|4772.0|0|4782.0|0|102.0|0|0.0|100
0|2021-12-08|4792.0|0|4802.0|0|102.0|0|0.0|100
