|dates|Ward_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|Ward_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|Ward_NorthDakota_UnitedStates.NYT_ConfirmedCases.data|Ward_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing|Ward_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Ward_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Ward_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Ward_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|12582.0|0|12582.0|0|212.0|0|0.0|100
0|2021-10-18|12601.0|0|12601.0|0|212.0|0|0.0|100
0|2021-10-19|12670.0|0|12670.0|0|212.0|0|0.0|100
0|2021-10-20|12737.0|0|12737.0|0|215.0|0|0.0|100
0|2021-10-21|12775.0|0|12775.0|0|215.0|0|0.0|100
0|2021-10-22|12830.0|0|12830.0|0|216.0|0|0.0|100
0|2021-10-23|12865.0|0|12865.0|0|217.0|0|0.0|100
0|2021-10-24|12889.0|0|12889.0|0|217.0|0|0.0|100
0|2021-10-25|12903.0|0|12903.0|0|217.0|0|0.0|100
0|2021-10-26|12952.0|0|12952.0|0|217.0|0|0.0|100
0|2021-10-27|13014.0|0|13014.0|0|218.0|0|0.0|100
0|2021-10-28|13063.0|0|13063.0|0|218.0|0|0.0|100
0|2021-10-29|13107.0|0|13107.0|0|218.0|0|0.0|100
0|2021-10-30|13165.0|0|13165.0|0|218.0|0|0.0|100
0|2021-10-31|13200.0|0|13200.0|0|218.0|0|0.0|100
0|2021-11-01|13217.0|0|13217.0|0|218.0|0|0.0|100
0|2021-11-02|13273.0|0|13273.0|0|219.0|0|0.0|100
0|2021-11-03|13342.0|0|13342.0|0|219.0|0|0.0|100
0|2021-11-04|13404.0|0|13404.0|0|219.0|0|0.0|100
0|2021-11-05|13459.0|0|13459.0|0|219.0|0|0.0|100
0|2021-11-06|13528.0|0|13528.0|0|219.0|0|0.0|100
0|2021-11-07|13549.0|0|13549.0|0|219.0|0|0.0|100
0|2021-11-08|13574.0|0|13574.0|0|219.0|0|0.0|100
0|2021-11-09|13628.0|0|13628.0|0|220.0|0|0.0|100
0|2021-11-10|13688.0|0|13688.0|0|220.0|0|0.0|100
0|2021-11-11|13732.0|0|13732.0|0|220.0|0|0.0|100
0|2021-11-12|13748.0|0|13748.0|0|220.0|0|0.0|100
0|2021-11-13|13788.0|0|13788.0|0|220.0|0|0.0|100
0|2021-11-14|13811.0|0|13811.0|0|220.0|0|0.0|100
0|2021-11-15|13828.0|0|13828.0|0|220.0|0|0.0|100
0|2021-11-16|13898.0|0|13898.0|0|221.0|0|0.0|100
0|2021-11-17|13957.0|0|13957.0|0|221.0|0|0.0|100
0|2021-11-18|14071.0|0|14071.0|0|223.0|0|0.0|100
0|2021-11-19|14113.0|0|14113.0|0|225.0|0|0.0|100
0|2021-11-20|14158.0|0|14158.0|0|225.0|0|0.0|100
0|2021-11-21|14169.0|0|14169.0|0|225.0|0|0.0|100
0|2021-11-22|14185.0|0|14185.0|0|225.0|0|0.0|100
0|2021-11-23|14218.0|0|14218.0|0|225.0|0|0.0|100
0|2021-11-24|14268.0|0|14268.0|0|225.0|0|0.0|100
0|2021-11-25|14320.0|0|14320.0|0|225.0|0|0.0|100
0|2021-11-26|14342.0|0|14342.0|0|225.0|0|0.0|100
0|2021-11-27|14371.0|0|14371.0|0|225.0|0|0.0|100
0|2021-11-28|14371.0|0|14401.0|0|225.0|0|0.0|100
0|2021-11-29|14408.0|0|14408.0|0|225.0|0|0.0|100
0|2021-11-30|14462.0|0|14462.0|0|228.0|0|0.0|100
0|2021-12-01|14499.0|0|14499.0|0|228.0|0|0.0|100
0|2021-12-02|14541.0|0|14541.0|0|229.0|0|0.0|100
0|2021-12-03|14579.0|0|14579.0|0|229.0|0|0.0|100
0|2021-12-04|14609.0|0|14609.0|0|229.0|0|0.0|100
0|2021-12-05|14620.0|0|14620.0|0|229.0|0|0.0|100
0|2021-12-06|14632.0|0|14632.0|0|229.0|0|0.0|100
0|2021-12-07|14655.0|0|14655.0|0|230.0|0|0.0|100
0|2021-12-08|14690.0|0|14690.0|0|230.0|0|0.0|100
0|2021-12-09|14718.0|0|14718.0|0|230.0|0|0.0|100
0|2021-12-10|14733.0|0|14733.0|0|230.0|0|0.0|100
0|2021-12-11|14762.0|0|14762.0|0|230.0|0|0.0|100
0|2021-12-12|14774.0|0|14774.0|0|230.0|0|0.0|100
0|2021-12-13|14782.0|0|14782.0|0|230.0|0|0.0|100
0|2021-12-14|14782.0|0|14807.0|0|230.0|0|0.0|100
