|dates|Ripley_Indiana_UnitedStates.JHU_ConfirmedCases.data|Ripley_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Ripley_Indiana_UnitedStates.NYT_ConfirmedCases.data|Ripley_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Ripley_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Ripley_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Ripley_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Ripley_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4924.0|0|4927.0|0|85.0|0|0.0|100
0|2021-10-18|4956.0|0|4959.0|0|85.0|0|0.0|100
0|2021-10-19|4968.0|0|4971.0|0|86.0|0|0.0|100
0|2021-10-20|4986.0|0|4989.0|0|86.0|0|0.0|100
0|2021-10-21|4998.0|0|5001.0|0|86.0|0|0.0|100
0|2021-10-22|5005.0|0|5008.0|0|86.0|0|0.0|100
0|2021-10-23|5005.0|0|5008.0|0|86.0|0|0.0|100
0|2021-10-24|5005.0|0|5008.0|0|86.0|0|0.0|100
0|2021-10-25|5019.0|0|5022.0|0|87.0|0|0.0|100
0|2021-10-26|5025.0|0|5028.0|0|87.0|0|0.0|100
0|2021-10-27|5039.0|0|5042.0|0|88.0|0|0.0|100
0|2021-10-28|5050.0|0|5053.0|0|90.0|0|0.0|100
0|2021-10-29|5059.0|0|5062.0|0|90.0|0|0.0|100
0|2021-10-30|5059.0|0|5062.0|0|90.0|0|0.0|100
0|2021-10-31|5059.0|0|5062.0|0|90.0|0|0.0|100
0|2021-11-01|5075.0|0|5078.0|0|90.0|0|0.0|100
0|2021-11-02|5080.0|0|5083.0|0|92.0|0|0.0|100
0|2021-11-03|5089.0|0|5092.0|0|92.0|0|0.0|100
0|2021-11-04|5096.0|0|5099.0|0|92.0|0|0.0|100
0|2021-11-05|5111.0|0|5114.0|0|92.0|0|0.0|100
0|2021-11-06|5111.0|0|5114.0|0|92.0|0|0.0|100
0|2021-11-07|5111.0|0|5114.0|0|92.0|0|0.0|100
0|2021-11-08|5150.0|0|5153.0|0|92.0|0|0.0|100
0|2021-11-09|5162.0|0|5165.0|0|92.0|0|0.0|100
0|2021-11-10|5162.0|0|5181.0|0|92.0|0|0.0|100
0|2021-11-11|5217.0|0|5220.0|0|92.0|0|0.0|100
0|2021-11-12|5231.0|0|5234.0|0|92.0|0|0.0|100
0|2021-11-13|5231.0|0|5234.0|0|92.0|0|0.0|100
0|2021-11-14|5231.0|0|5234.0|0|92.0|0|0.0|100
0|2021-11-15|5253.0|0|5256.0|0|92.0|0|0.0|100
0|2021-11-16|5277.0|0|5280.0|0|92.0|0|0.0|100
0|2021-11-17|5289.0|0|5292.0|0|92.0|0|0.0|100
0|2021-11-18|5313.0|0|5316.0|0|92.0|0|0.0|100
0|2021-11-19|5336.0|0|5339.0|0|92.0|0|0.0|100
0|2021-11-20|5336.0|0|5339.0|0|92.0|0|0.0|100
0|2021-11-21|5336.0|0|5339.0|0|92.0|0|0.0|100
0|2021-11-22|5377.0|0|5380.0|0|92.0|0|0.0|100
0|2021-11-23|5389.0|0|5392.0|0|92.0|0|0.0|100
0|2021-11-24|5408.0|0|5411.0|0|92.0|0|0.0|100
0|2021-11-25|5408.0|0|5411.0|0|92.0|0|0.0|100
0|2021-11-26|5408.0|0|5411.0|0|92.0|0|0.0|100
0|2021-11-27|5408.0|0|5411.0|0|92.0|0|0.0|100
0|2021-11-28|5408.0|0|5411.0|0|92.0|0|0.0|100
0|2021-11-29|5491.0|0|5494.0|0|92.0|0|0.0|100
