|dates|Waseca_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Waseca_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Waseca_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Waseca_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Waseca_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Waseca_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Waseca_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Waseca_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3226.0|0|3226.0|0|29.0|0|0.0|100
0|2021-10-18|3237.0|0|3237.0|0|30.0|0|0.0|100
0|2021-10-19|3261.0|0|3261.0|0|30.0|0|0.0|100
0|2021-10-20|3264.0|0|3264.0|0|31.0|0|0.0|100
0|2021-10-21|3272.0|0|3272.0|0|31.0|0|0.0|100
0|2021-10-22|3273.0|0|3273.0|0|31.0|0|0.0|100
0|2021-10-23|3273.0|0|3273.0|0|31.0|0|0.0|100
0|2021-10-24|3273.0|0|3273.0|0|31.0|0|0.0|100
0|2021-10-25|3286.0|0|3286.0|0|31.0|0|0.0|100
0|2021-10-26|3318.0|0|3318.0|0|31.0|0|0.0|100
0|2021-10-27|3322.0|0|3322.0|0|31.0|0|0.0|100
0|2021-10-28|3330.0|0|3330.0|0|31.0|0|0.0|100
0|2021-10-29|3341.0|0|3341.0|0|31.0|0|0.0|100
0|2021-10-30|3341.0|0|3341.0|0|31.0|0|0.0|100
0|2021-10-31|3341.0|0|3341.0|0|31.0|0|0.0|100
0|2021-11-01|3381.0|0|3381.0|0|31.0|0|0.0|100
0|2021-11-02|3402.0|0|3402.0|0|31.0|0|0.0|100
0|2021-11-03|3409.0|0|3409.0|0|31.0|0|0.0|100
0|2021-11-04|3410.0|0|3410.0|0|31.0|0|0.0|100
0|2021-11-05|3424.0|0|3424.0|0|31.0|0|0.0|100
0|2021-11-06|3424.0|0|3424.0|0|31.0|0|0.0|100
0|2021-11-07|3424.0|0|3424.0|0|31.0|0|0.0|100
0|2021-11-08|3430.0|0|3430.0|0|31.0|0|0.0|100
0|2021-11-09|3450.0|0|3450.0|0|31.0|0|0.0|100
0|2021-11-10|3464.0|0|3464.0|0|31.0|0|0.0|100
0|2021-11-11|3473.0|0|3473.0|0|31.0|0|0.0|100
0|2021-11-12|3493.0|0|3493.0|0|31.0|0|0.0|100
0|2021-11-13|3493.0|0|3493.0|0|31.0|0|0.0|100
0|2021-11-14|3493.0|0|3493.0|0|31.0|0|0.0|100
0|2021-11-15|3510.0|0|3510.0|0|31.0|0|0.0|100
0|2021-11-16|3530.0|0|3530.0|0|31.0|0|0.0|100
0|2021-11-17|3541.0|0|3541.0|0|31.0|0|0.0|100
0|2021-11-18|3551.0|0|3551.0|0|31.0|0|0.0|100
