|dates|Worth_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Worth_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Worth_Missouri_UnitedStates.Male_Total_Population.data|Worth_Missouri_UnitedStates.Male_Total_Population.missing|Worth_Missouri_UnitedStates.Female_Total_Population.data|Worth_Missouri_UnitedStates.Female_Total_Population.missing|Worth_Missouri_UnitedStates.MaleAndFemale_Under18_Population.data|Worth_Missouri_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-10-18|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-10-19|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-10-20|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-10-21|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-10-22|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-10-23|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-10-24|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-10-25|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-10-26|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-10-27|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-10-28|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-10-29|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-10-30|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-10-31|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-11-01|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-11-02|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-11-03|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-11-04|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-11-05|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-11-06|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-11-07|505.0|0|984.0|0|1056.0|0|415.0|0
0|2021-11-08|505.0|0|984.0|0|1056.0|0|415.0|0
