|dates|Kanabec_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Kanabec_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Kanabec_Minnesota_UnitedStates.Male_Total_Population.data|Kanabec_Minnesota_UnitedStates.Male_Total_Population.missing|Kanabec_Minnesota_UnitedStates.Female_Total_Population.data|Kanabec_Minnesota_UnitedStates.Female_Total_Population.missing|Kanabec_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.data|Kanabec_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-10-18|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-10-19|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-10-20|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-10-21|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-10-22|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-10-23|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-10-24|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-10-25|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-10-26|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-10-27|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-10-28|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-10-29|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-10-30|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-10-31|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-01|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-02|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-03|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-04|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-05|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-06|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-07|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-08|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-09|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-10|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-11|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-12|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-13|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-14|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-15|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-16|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-17|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-18|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-19|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-20|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-21|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-22|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-23|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-24|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-25|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-26|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-27|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-28|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-29|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-11-30|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-01|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-02|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-03|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-04|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-05|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-06|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-07|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-08|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-09|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-10|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-11|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-12|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-13|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-14|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-15|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-16|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-17|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-18|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-19|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-20|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-21|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-22|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-23|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-24|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-25|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-26|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-27|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-28|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-29|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-30|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2021-12-31|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2022-01-01|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2022-01-02|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2022-01-03|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2022-01-04|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2022-01-05|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2022-01-06|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2022-01-07|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2022-01-08|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2022-01-09|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2022-01-10|3324.0|0|8159.0|0|8048.0|0|3490.0|0
0|2022-01-11|3324.0|0|8159.0|0|8048.0|0|3490.0|0
