|dates|Parker_Texas_UnitedStates.JHU_ConfirmedCases.data|Parker_Texas_UnitedStates.JHU_ConfirmedCases.missing|Parker_Texas_UnitedStates.NYT_ConfirmedCases.data|Parker_Texas_UnitedStates.NYT_ConfirmedCases.missing|Parker_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Parker_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Parker_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Parker_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|23746.0|0|23746.0|0|293.0|0|0.0|100
0|2021-10-18|23746.0|0|23746.0|0|294.0|0|0.0|100
0|2021-10-19|23866.0|0|23866.0|0|297.0|0|0.0|100
0|2021-10-20|23924.0|0|23924.0|0|298.0|0|0.0|100
0|2021-10-21|24016.0|0|24016.0|0|303.0|0|0.0|100
0|2021-10-22|24046.0|0|24046.0|0|305.0|0|0.0|100
0|2021-10-23|24096.0|0|24096.0|0|309.0|0|0.0|100
0|2021-10-24|24096.0|0|24096.0|0|310.0|0|0.0|100
0|2021-10-25|24096.0|0|24096.0|0|311.0|0|0.0|100
0|2021-10-26|24185.0|0|24185.0|0|312.0|0|0.0|100
0|2021-10-27|24228.0|0|24228.0|0|315.0|0|0.0|100
0|2021-10-28|24267.0|0|24267.0|0|316.0|0|0.0|100
0|2021-10-29|24302.0|0|24302.0|0|318.0|0|0.0|100
0|2021-10-30|24342.0|0|24342.0|0|318.0|0|0.0|100
0|2021-10-31|24342.0|0|24342.0|0|318.0|0|0.0|100
0|2021-11-01|24342.0|0|24342.0|0|318.0|0|0.0|100
0|2021-11-02|24487.0|0|24487.0|0|318.0|0|0.0|100
0|2021-11-03|24506.0|0|24506.0|0|320.0|0|0.0|100
0|2021-11-04|24527.0|0|24527.0|0|321.0|0|0.0|100
0|2021-11-05|24546.0|0|24546.0|0|324.0|0|0.0|100
0|2021-11-06|24568.0|0|24568.0|0|326.0|0|0.0|100
0|2021-11-07|24568.0|0|24568.0|0|327.0|0|0.0|100
0|2021-11-08|24568.0|0|24568.0|0|327.0|0|0.0|100
0|2021-11-09|24603.0|0|24603.0|0|330.0|0|0.0|100
0|2021-11-10|24603.0|0|24603.0|0|330.0|0|0.0|100
0|2021-11-11|24653.0|0|24653.0|0|332.0|0|0.0|100
0|2021-11-12|24653.0|0|24653.0|0|336.0|0|0.0|100
0|2021-11-13|24685.0|0|24685.0|0|337.0|0|0.0|100
0|2021-11-14|24685.0|0|24685.0|0|337.0|0|0.0|100
0|2021-11-15|24685.0|0|24685.0|0|337.0|0|0.0|100
0|2021-11-16|24712.0|0|24712.0|0|337.0|0|0.0|100
0|2021-11-17|24725.0|0|24725.0|0|337.0|0|0.0|100
0|2021-11-18|24731.0|0|24731.0|0|337.0|0|0.0|100
0|2021-11-19|24745.0|0|24745.0|0|338.0|0|0.0|100
0|2021-11-20|24755.0|0|24755.0|0|341.0|0|0.0|100
0|2021-11-21|24755.0|0|24755.0|0|342.0|0|0.0|100
0|2021-11-22|24755.0|0|24755.0|0|342.0|0|0.0|100
0|2021-11-23|24785.0|0|24785.0|0|343.0|0|0.0|100
0|2021-11-24|24798.0|0|24798.0|0|345.0|0|0.0|100
0|2021-11-25|24798.0|0|24798.0|0|345.0|0|0.0|100
0|2021-11-26|24798.0|0|24798.0|0|345.0|0|0.0|100
0|2021-11-27|24798.0|0|24798.0|0|345.0|0|0.0|100
0|2021-11-28|24798.0|0|24798.0|0|345.0|0|0.0|100
0|2021-11-29|24809.0|0|24809.0|0|345.0|0|0.0|100
