|dates|DeKalb_Alabama_UnitedStates.JHU_ConfirmedCases.data|DeKalb_Alabama_UnitedStates.JHU_ConfirmedCases.missing|DeKalb_Alabama_UnitedStates.NYT_ConfirmedCases.data|DeKalb_Alabama_UnitedStates.NYT_ConfirmedCases.missing|DeKalb_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|DeKalb_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|DeKalb_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|DeKalb_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|12574.0|0|12574.0|0|259.0|0|0.0|100
0|2021-10-18|12575.0|0|12575.0|0|259.0|0|0.0|100
0|2021-10-19|12584.0|0|12584.0|0|260.0|0|0.0|100
0|2021-10-20|12598.0|0|12598.0|0|260.0|0|0.0|100
0|2021-10-21|12622.0|0|12622.0|0|260.0|0|0.0|100
0|2021-10-22|12637.0|0|12637.0|0|261.0|0|0.0|100
0|2021-10-23|12649.0|0|12649.0|0|261.0|0|0.0|100
0|2021-10-24|12662.0|0|12662.0|0|261.0|0|0.0|100
0|2021-10-25|12664.0|0|12664.0|0|261.0|0|0.0|100
0|2021-10-26|12670.0|0|12670.0|0|261.0|0|0.0|100
0|2021-10-27|12706.0|0|12706.0|0|261.0|0|0.0|100
0|2021-10-28|12722.0|0|12722.0|0|263.0|0|0.0|100
0|2021-10-29|12724.0|0|12724.0|0|265.0|0|0.0|100
0|2021-10-30|12723.0|0|12723.0|0|265.0|0|0.0|100
0|2021-10-31|12727.0|0|12727.0|0|265.0|0|0.0|100
0|2021-11-01|12729.0|0|12729.0|0|265.0|0|0.0|100
0|2021-11-02|12723.0|0|12723.0|0|265.0|0|0.0|100
0|2021-11-03|12730.0|0|12730.0|0|265.0|0|0.0|100
0|2021-11-04|12739.0|0|12739.0|0|265.0|0|0.0|100
0|2021-11-05|12747.0|0|12747.0|0|267.0|0|0.0|100
0|2021-11-06|12748.0|0|12748.0|0|267.0|0|0.0|100
0|2021-11-07|12752.0|0|12752.0|0|267.0|0|0.0|100
0|2021-11-08|12752.0|0|12752.0|0|267.0|0|0.0|100
0|2021-11-09|12761.0|0|12761.0|0|267.0|0|0.0|100
0|2021-11-10|12761.0|0|12775.0|0|267.0|0|0.0|100
0|2021-11-11|12784.0|0|12784.0|0|268.0|0|0.0|100
0|2021-11-12|12803.0|0|12803.0|0|268.0|0|0.0|100
0|2021-11-13|12801.0|0|12801.0|0|268.0|0|0.0|100
0|2021-11-14|12804.0|0|12804.0|0|268.0|0|0.0|100
0|2021-11-15|12808.0|0|12808.0|0|268.0|0|0.0|100
0|2021-11-16|12817.0|0|12817.0|0|268.0|0|0.0|100
0|2021-11-17|12835.0|0|12835.0|0|268.0|0|0.0|100
0|2021-11-18|12846.0|0|12846.0|0|268.0|0|0.0|100
0|2021-11-19|12858.0|0|12858.0|0|269.0|0|0.0|100
0|2021-11-20|12876.0|0|12876.0|0|269.0|0|0.0|100
0|2021-11-21|12878.0|0|12878.0|0|269.0|0|0.0|100
0|2021-11-22|12884.0|0|12884.0|0|269.0|0|0.0|100
