|dates|King_Texas_UnitedStates.JHU_ConfirmedCases.data|King_Texas_UnitedStates.JHU_ConfirmedCases.missing|King_Texas_UnitedStates.NYT_ConfirmedCases.data|King_Texas_UnitedStates.NYT_ConfirmedCases.missing|King_Texas_UnitedStates.JHU_ConfirmedDeaths.data|King_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|King_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|King_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|16.0|0|16.0|0|0.0|0|0.0|100
0|2021-10-18|16.0|0|16.0|0|0.0|0|0.0|100
0|2021-10-19|16.0|0|16.0|0|0.0|0|0.0|100
0|2021-10-20|16.0|0|16.0|0|0.0|0|0.0|100
0|2021-10-21|16.0|0|16.0|0|0.0|0|0.0|100
0|2021-10-22|16.0|0|16.0|0|0.0|0|0.0|100
0|2021-10-23|16.0|0|16.0|0|0.0|0|0.0|100
0|2021-10-24|16.0|0|16.0|0|0.0|0|0.0|100
0|2021-10-25|16.0|0|16.0|0|0.0|0|0.0|100
0|2021-10-26|16.0|0|16.0|0|0.0|0|0.0|100
0|2021-10-27|16.0|0|16.0|0|0.0|0|0.0|100
0|2021-10-28|16.0|0|16.0|0|0.0|0|0.0|100
0|2021-10-29|19.0|0|19.0|0|0.0|0|0.0|100
0|2021-10-30|19.0|0|19.0|0|0.0|0|0.0|100
0|2021-10-31|19.0|0|19.0|0|0.0|0|0.0|100
0|2021-11-01|19.0|0|19.0|0|0.0|0|0.0|100
0|2021-11-02|19.0|0|19.0|0|0.0|0|0.0|100
0|2021-11-03|20.0|0|20.0|0|0.0|0|0.0|100
0|2021-11-04|20.0|0|20.0|0|0.0|0|0.0|100
0|2021-11-05|20.0|0|20.0|0|0.0|0|0.0|100
0|2021-11-06|20.0|0|20.0|0|0.0|0|0.0|100
0|2021-11-07|20.0|0|20.0|0|0.0|0|0.0|100
0|2021-11-08|20.0|0|20.0|0|0.0|0|0.0|100
0|2021-11-09|20.0|0|20.0|0|0.0|0|0.0|100
0|2021-11-10|20.0|0|20.0|0|0.0|0|0.0|100
0|2021-11-11|20.0|0|20.0|0|0.0|0|0.0|100
