|dates|Caswell_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Caswell_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Caswell_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Caswell_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Caswell_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Caswell_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Caswell_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Caswell_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3138.0|0|3138.0|0|37.0|0|0.0|100
0|2021-10-18|3156.0|0|3156.0|0|37.0|0|0.0|100
0|2021-10-19|3160.0|0|3160.0|0|37.0|0|0.0|100
0|2021-10-20|3165.0|0|3165.0|0|37.0|0|0.0|100
0|2021-10-21|3166.0|0|3166.0|0|37.0|0|0.0|100
0|2021-10-22|3173.0|0|3173.0|0|37.0|0|0.0|100
0|2021-10-23|3173.0|0|3173.0|0|37.0|0|0.0|100
0|2021-10-24|3173.0|0|3173.0|0|37.0|0|0.0|100
0|2021-10-25|3183.0|0|3183.0|0|37.0|0|0.0|100
0|2021-10-26|3188.0|0|3188.0|0|37.0|0|0.0|100
0|2021-10-27|3192.0|0|3192.0|0|37.0|0|0.0|100
0|2021-10-28|3194.0|0|3194.0|0|37.0|0|0.0|100
0|2021-10-29|3195.0|0|3195.0|0|37.0|0|0.0|100
0|2021-10-30|3195.0|0|3195.0|0|37.0|0|0.0|100
0|2021-10-31|3195.0|0|3195.0|0|37.0|0|0.0|100
0|2021-11-01|3206.0|0|3206.0|0|37.0|0|0.0|100
0|2021-11-02|3206.0|0|3206.0|0|37.0|0|0.0|100
0|2021-11-03|3209.0|0|3209.0|0|37.0|0|0.0|100
0|2021-11-04|3218.0|0|3218.0|0|37.0|0|0.0|100
0|2021-11-05|3222.0|0|3222.0|0|37.0|0|0.0|100
0|2021-11-06|3222.0|0|3222.0|0|37.0|0|0.0|100
0|2021-11-07|3222.0|0|3222.0|0|37.0|0|0.0|100
0|2021-11-08|3227.0|0|3227.0|0|37.0|0|0.0|100
0|2021-11-09|3229.0|0|3229.0|0|37.0|0|0.0|100
0|2021-11-10|3231.0|0|3231.0|0|37.0|0|0.0|100
0|2021-11-11|3231.0|0|3231.0|0|37.0|0|0.0|100
0|2021-11-12|3243.0|0|3243.0|0|37.0|0|0.0|100
0|2021-11-13|3243.0|0|3243.0|0|37.0|0|0.0|100
0|2021-11-14|3243.0|0|3243.0|0|37.0|0|0.0|100
0|2021-11-15|3256.0|0|3256.0|0|37.0|0|0.0|100
0|2021-11-16|3254.0|0|3254.0|0|37.0|0|0.0|100
0|2021-11-17|3258.0|0|3258.0|0|37.0|0|0.0|100
0|2021-11-18|3263.0|0|3263.0|0|37.0|0|0.0|100
0|2021-11-19|3270.0|0|3270.0|0|37.0|0|0.0|100
0|2021-11-20|3270.0|0|3270.0|0|37.0|0|0.0|100
0|2021-11-21|3270.0|0|3270.0|0|37.0|0|0.0|100
0|2021-11-22|3277.0|0|3277.0|0|37.0|0|0.0|100
