|dates|Herkimer_NewYork_UnitedStates.JHU_ConfirmedCases.data|Herkimer_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Herkimer_NewYork_UnitedStates.NYT_ConfirmedCases.data|Herkimer_NewYork_UnitedStates.NYT_ConfirmedCases.missing|Herkimer_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Herkimer_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Herkimer_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Herkimer_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6671.0|0|6671.0|0|125.0|0|0.0|100
0|2021-10-18|6694.0|0|6694.0|0|126.0|0|0.0|100
0|2021-10-19|6741.0|0|6741.0|0|128.0|0|0.0|100
0|2021-10-20|6774.0|0|6774.0|0|128.0|0|0.0|100
0|2021-10-21|6806.0|0|6806.0|0|128.0|0|0.0|100
0|2021-10-22|6831.0|0|6831.0|0|128.0|0|0.0|100
0|2021-10-23|6861.0|0|6861.0|0|128.0|0|0.0|100
0|2021-10-24|6875.0|0|6875.0|0|128.0|0|0.0|100
0|2021-10-25|6890.0|0|6890.0|0|129.0|0|0.0|100
0|2021-10-26|6913.0|0|6913.0|0|129.0|0|0.0|100
0|2021-10-27|6967.0|0|6967.0|0|129.0|0|0.0|100
0|2021-10-28|6994.0|0|6994.0|0|129.0|0|0.0|100
0|2021-10-29|7028.0|0|7028.0|0|129.0|0|0.0|100
0|2021-10-30|7055.0|0|7055.0|0|131.0|0|0.0|100
0|2021-10-31|7077.0|0|7077.0|0|131.0|0|0.0|100
0|2021-11-01|7102.0|0|7102.0|0|131.0|0|0.0|100
0|2021-11-02|7117.0|0|7117.0|0|131.0|0|0.0|100
0|2021-11-03|7160.0|0|7160.0|0|131.0|0|0.0|100
0|2021-11-04|7210.0|0|7210.0|0|131.0|0|0.0|100
0|2021-11-05|7247.0|0|7247.0|0|132.0|0|0.0|100
0|2021-11-06|7275.0|0|7275.0|0|133.0|0|0.0|100
0|2021-11-07|7329.0|0|7329.0|0|133.0|0|0.0|100
