|dates|SanJoaquin_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|SanJoaquin_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|SanJoaquin_California_UnitedStates.Male_Total_Population.data|SanJoaquin_California_UnitedStates.Male_Total_Population.missing|SanJoaquin_California_UnitedStates.Female_Total_Population.data|SanJoaquin_California_UnitedStates.Female_Total_Population.missing|SanJoaquin_California_UnitedStates.MaleAndFemale_Under18_Population.data|SanJoaquin_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-10-18|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-10-19|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-10-20|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-10-21|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-10-22|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-10-23|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-10-24|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-10-25|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-10-26|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-10-27|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-10-28|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-10-29|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-10-30|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-10-31|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-01|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-02|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-03|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-04|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-05|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-06|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-07|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-08|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-09|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-10|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-11|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-12|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-13|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-14|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-15|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-16|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-17|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-18|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-19|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-20|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-21|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-22|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-23|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-24|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-25|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-26|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-27|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-28|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-29|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-11-30|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-12-01|95916.0|0|375136.0|0|377524.0|0|204316.0|0
0|2021-12-02|95916.0|0|375136.0|0|377524.0|0|204316.0|0
