|dates|Napa_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Napa_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Napa_California_UnitedStates.Male_Total_Population.data|Napa_California_UnitedStates.Male_Total_Population.missing|Napa_California_UnitedStates.Female_Total_Population.data|Napa_California_UnitedStates.Female_Total_Population.missing|Napa_California_UnitedStates.MaleAndFemale_Under18_Population.data|Napa_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-10-18|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-10-19|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-10-20|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-10-21|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-10-22|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-10-23|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-10-24|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-10-25|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-10-26|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-10-27|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-10-28|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-10-29|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-10-30|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-10-31|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-01|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-02|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-03|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-04|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-05|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-06|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-07|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-08|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-09|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-10|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-11|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-12|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-13|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-14|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-15|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-16|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-17|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-18|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-19|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-20|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-21|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-22|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-23|26665.0|0|69392.0|0|70025.0|0|28800.0|0
0|2021-11-24|26665.0|0|69392.0|0|70025.0|0|28800.0|0
