|dates|Sheridan_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sheridan_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sheridan_Montana_UnitedStates.Male_Total_Population.data|Sheridan_Montana_UnitedStates.Male_Total_Population.missing|Sheridan_Montana_UnitedStates.Female_Total_Population.data|Sheridan_Montana_UnitedStates.Female_Total_Population.missing|Sheridan_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|Sheridan_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-10-18|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-10-19|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-10-20|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-10-21|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-10-22|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-10-23|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-10-24|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-10-25|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-10-26|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-10-27|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-10-28|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-10-29|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-10-30|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-10-31|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-01|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-02|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-03|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-04|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-05|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-06|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-07|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-08|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-09|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-10|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-11|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-12|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-13|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-14|774.0|0|1735.0|0|1689.0|0|698.0|0
0|2021-11-15|774.0|0|1735.0|0|1689.0|0|698.0|0
