|dates|Logan_Illinois_UnitedStates.JHU_ConfirmedCases.data|Logan_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Logan_Illinois_UnitedStates.NYT_ConfirmedCases.data|Logan_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Logan_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Logan_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Logan_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Logan_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4925.0|0|4925.0|0|74.0|0|0.0|100
0|2021-10-18|4942.0|0|4942.0|0|74.0|0|0.0|100
0|2021-10-19|4947.0|0|4947.0|0|74.0|0|0.0|100
0|2021-10-20|4950.0|0|4950.0|0|74.0|0|0.0|100
0|2021-10-21|4953.0|0|4953.0|0|74.0|0|0.0|100
0|2021-10-22|4956.0|0|4956.0|0|75.0|0|0.0|100
0|2021-10-23|4956.0|0|4956.0|0|75.0|0|0.0|100
0|2021-10-24|4956.0|0|4956.0|0|75.0|0|0.0|100
0|2021-10-25|4969.0|0|4969.0|0|75.0|0|0.0|100
0|2021-10-26|4973.0|0|4973.0|0|75.0|0|0.0|100
0|2021-10-27|4977.0|0|4977.0|0|76.0|0|0.0|100
0|2021-10-28|4979.0|0|4979.0|0|76.0|0|0.0|100
0|2021-10-29|4982.0|0|4982.0|0|76.0|0|0.0|100
0|2021-10-30|4982.0|0|4982.0|0|76.0|0|0.0|100
0|2021-10-31|4982.0|0|4982.0|0|76.0|0|0.0|100
0|2021-11-01|4990.0|0|4990.0|0|76.0|0|0.0|100
0|2021-11-02|4994.0|0|4994.0|0|76.0|0|0.0|100
0|2021-11-03|4996.0|0|4996.0|0|76.0|0|0.0|100
0|2021-11-04|5005.0|0|5005.0|0|76.0|0|0.0|100
0|2021-11-05|5015.0|0|5015.0|0|76.0|0|0.0|100
0|2021-11-06|5015.0|0|5015.0|0|76.0|0|0.0|100
0|2021-11-07|5015.0|0|5015.0|0|76.0|0|0.0|100
0|2021-11-08|5029.0|0|5029.0|0|76.0|0|0.0|100
0|2021-11-09|5038.0|0|5038.0|0|76.0|0|0.0|100
0|2021-11-10|5038.0|0|5047.0|0|76.0|0|0.0|100
0|2021-11-11|5047.0|0|5047.0|0|76.0|0|0.0|100
0|2021-11-12|5061.0|0|5061.0|0|76.0|0|0.0|100
0|2021-11-13|5061.0|0|5061.0|0|76.0|0|0.0|100
0|2021-11-14|5061.0|0|5061.0|0|76.0|0|0.0|100
0|2021-11-15|5084.0|0|5084.0|0|76.0|0|0.0|100
0|2021-11-16|5097.0|0|5097.0|0|76.0|0|0.0|100
0|2021-11-17|5106.0|0|5106.0|0|76.0|0|0.0|100
