|dates|Washoe_Nevada_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Washoe_Nevada_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Washoe_Nevada_UnitedStates.NYT_ConfirmedDeaths.data|Washoe_Nevada_UnitedStates.NYT_ConfirmedDeaths.missing|Washoe_Nevada_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Washoe_Nevada_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Washoe_Nevada_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Washoe_Nevada_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|873.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|880.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|883.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|884.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|888.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|890.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|890.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|890.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|894.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|899.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|901.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|901.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|901.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|901.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|901.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|901.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|904.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|904.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|906.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|911.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|911.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|911.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|919.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|925.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|933.0|0|0.0|100|0.0|100
0|2021-11-11|0.0|100|933.0|0|0.0|100|0.0|100
0|2021-11-12|0.0|100|937.0|0|0.0|100|0.0|100
0|2021-11-13|0.0|100|937.0|0|0.0|100|0.0|100
0|2021-11-14|0.0|100|937.0|0|0.0|100|0.0|100
0|2021-11-15|0.0|100|941.0|0|0.0|100|0.0|100
0|2021-11-16|0.0|100|951.0|0|0.0|100|0.0|100
0|2021-11-17|0.0|100|952.0|0|0.0|100|0.0|100
0|2021-11-18|0.0|100|955.0|0|0.0|100|0.0|100
0|2021-11-19|0.0|100|961.0|0|0.0|100|0.0|100
0|2021-11-20|0.0|100|961.0|0|0.0|100|0.0|100
0|2021-11-21|0.0|100|961.0|0|0.0|100|0.0|100
0|2021-11-22|0.0|100|962.0|0|0.0|100|0.0|100
0|2021-11-23|0.0|100|966.0|0|0.0|100|0.0|100
0|2021-11-24|0.0|100|966.0|0|0.0|100|0.0|100
0|2021-11-25|0.0|100|966.0|0|0.0|100|0.0|100
0|2021-11-26|0.0|100|966.0|0|0.0|100|0.0|100
0|2021-11-27|0.0|100|966.0|0|0.0|100|0.0|100
0|2021-11-28|0.0|100|966.0|0|0.0|100|0.0|100
0|2021-11-29|0.0|100|967.0|0|0.0|100|0.0|100
0|2021-11-30|0.0|100|972.0|0|0.0|100|0.0|100
0|2021-12-01|0.0|100|972.0|0|0.0|100|0.0|100
0|2021-12-02|0.0|100|974.0|0|0.0|100|0.0|100
0|2021-12-03|0.0|100|977.0|0|0.0|100|0.0|100
0|2021-12-04|0.0|100|977.0|0|0.0|100|0.0|100
0|2021-12-05|0.0|100|977.0|0|0.0|100|0.0|100
0|2021-12-06|0.0|100|982.0|0|0.0|100|0.0|100
0|2021-12-07|0.0|100|982.0|0|0.0|100|0.0|100
0|2021-12-08|0.0|100|988.0|0|0.0|100|0.0|100
0|2021-12-09|0.0|100|989.0|0|0.0|100|0.0|100
0|2021-12-10|0.0|100|996.0|0|0.0|100|0.0|100
0|2021-12-11|0.0|100|996.0|0|0.0|100|0.0|100
0|2021-12-12|0.0|100|996.0|0|0.0|100|0.0|100
0|2021-12-13|0.0|100|997.0|0|0.0|100|0.0|100
0|2021-12-14|0.0|100|1002.0|0|0.0|100|0.0|100
0|2021-12-15|0.0|100|1002.0|0|0.0|100|0.0|100
0|2021-12-16|0.0|100|1003.0|0|0.0|100|0.0|100
0|2021-12-17|0.0|100|1003.0|0|0.0|100|0.0|100
0|2021-12-18|0.0|100|1003.0|0|0.0|100|0.0|100
0|2021-12-19|0.0|100|1003.0|0|0.0|100|0.0|100
0|2021-12-20|0.0|100|1006.0|0|0.0|100|0.0|100
0|2021-12-21|0.0|100|1010.0|0|0.0|100|0.0|100
0|2021-12-22|0.0|100|1011.0|0|0.0|100|0.0|100
0|2021-12-23|0.0|100|1013.0|0|0.0|100|0.0|100
0|2021-12-24|0.0|100|1013.0|0|0.0|100|0.0|100
0|2021-12-25|0.0|100|1013.0|0|0.0|100|0.0|100
