|dates|Putnam_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Putnam_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Putnam_Illinois_UnitedStates.Male_Total_Population.data|Putnam_Illinois_UnitedStates.Male_Total_Population.missing|Putnam_Illinois_UnitedStates.Female_Total_Population.data|Putnam_Illinois_UnitedStates.Female_Total_Population.missing|Putnam_Illinois_UnitedStates.MaleAndFemale_Under18_Population.data|Putnam_Illinois_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-10-18|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-10-19|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-10-20|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-10-21|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-10-22|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-10-23|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-10-24|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-10-25|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-10-26|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-10-27|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-10-28|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-10-29|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-10-30|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-10-31|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-01|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-02|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-03|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-04|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-05|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-06|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-07|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-08|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-09|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-10|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-11|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-12|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-13|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-14|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-15|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-16|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-17|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-18|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-19|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-20|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-21|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-22|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-23|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-24|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-25|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-26|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-27|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-28|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-29|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-11-30|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-01|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-02|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-03|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-04|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-05|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-06|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-07|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-08|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-09|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-10|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-11|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-12|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-13|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-14|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-15|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-16|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-17|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-18|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-19|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-20|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-21|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-22|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-23|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-24|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-25|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-26|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-27|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-28|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-29|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-30|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2021-12-31|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2022-01-01|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2022-01-02|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2022-01-03|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2022-01-04|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2022-01-05|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2022-01-06|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2022-01-07|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2022-01-08|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2022-01-09|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2022-01-10|1298.0|0|2923.0|0|2817.0|0|1151.0|0
0|2022-01-11|1298.0|0|2923.0|0|2817.0|0|1151.0|0
