|dates|Logan_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Logan_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Logan_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Logan_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Logan_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Logan_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Logan_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Logan_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3591.0|0|3591.0|0|42.0|0|0.0|100
0|2021-10-18|3592.0|0|3592.0|0|42.0|0|0.0|100
0|2021-10-19|3599.0|0|3599.0|0|43.0|0|0.0|100
0|2021-10-20|3599.0|0|3599.0|0|43.0|0|0.0|100
0|2021-10-21|3603.0|0|3603.0|0|43.0|0|0.0|100
0|2021-10-22|3605.0|0|3605.0|0|44.0|0|0.0|100
0|2021-10-23|3611.0|0|3611.0|0|44.0|0|0.0|100
0|2021-10-24|3614.0|0|3614.0|0|45.0|0|0.0|100
0|2021-10-25|3617.0|0|3617.0|0|45.0|0|0.0|100
0|2021-10-26|3617.0|0|3617.0|0|45.0|0|0.0|100
0|2021-10-27|3620.0|0|3620.0|0|46.0|0|0.0|100
0|2021-10-28|3621.0|0|3621.0|0|46.0|0|0.0|100
0|2021-10-29|3624.0|0|3624.0|0|46.0|0|0.0|100
0|2021-10-30|3629.0|0|3629.0|0|46.0|0|0.0|100
0|2021-10-31|3632.0|0|3632.0|0|46.0|0|0.0|100
0|2021-11-01|3633.0|0|3633.0|0|46.0|0|0.0|100
0|2021-11-02|3640.0|0|3640.0|0|48.0|0|0.0|100
0|2021-11-03|3643.0|0|3643.0|0|48.0|0|0.0|100
0|2021-11-04|3646.0|0|3646.0|0|48.0|0|0.0|100
0|2021-11-05|3653.0|0|3653.0|0|48.0|0|0.0|100
0|2021-11-06|3656.0|0|3656.0|0|49.0|0|0.0|100
0|2021-11-07|3657.0|0|3657.0|0|49.0|0|0.0|100
0|2021-11-08|3657.0|0|3659.0|0|49.0|0|0.0|100
0|2021-11-09|3666.0|0|3666.0|0|49.0|0|0.0|100
0|2021-11-10|3666.0|0|3670.0|0|49.0|0|0.0|100
0|2021-11-11|3674.0|0|3674.0|0|49.0|0|0.0|100
0|2021-11-12|3675.0|0|3675.0|0|50.0|0|0.0|100
0|2021-11-13|3682.0|0|3682.0|0|50.0|0|0.0|100
0|2021-11-14|3683.0|0|3683.0|0|50.0|0|0.0|100
0|2021-11-15|3684.0|0|3684.0|0|50.0|0|0.0|100
0|2021-11-16|3695.0|0|3695.0|0|51.0|0|0.0|100
0|2021-11-17|3700.0|0|3700.0|0|50.0|0|0.0|100
0|2021-11-18|3706.0|0|3706.0|0|50.0|0|0.0|100
0|2021-11-19|3709.0|0|3709.0|0|50.0|0|0.0|100
0|2021-11-20|3714.0|0|3714.0|0|50.0|0|0.0|100
0|2021-11-21|3715.0|0|3715.0|0|50.0|0|0.0|100
0|2021-11-22|3715.0|0|3715.0|0|51.0|0|0.0|100
0|2021-11-23|3721.0|0|3721.0|0|51.0|0|0.0|100
0|2021-11-24|3721.0|0|3721.0|0|51.0|0|0.0|100
0|2021-11-25|3724.0|0|3724.0|0|51.0|0|0.0|100
0|2021-11-26|3726.0|0|3726.0|0|51.0|0|0.0|100
0|2021-11-27|3727.0|0|3727.0|0|51.0|0|0.0|100
0|2021-11-28|3728.0|0|3728.0|0|51.0|0|0.0|100
0|2021-11-29|3730.0|0|3730.0|0|51.0|0|0.0|100
0|2021-11-30|3730.0|0|3731.0|0|51.0|0|0.0|100
0|2021-12-01|3735.0|0|3735.0|0|52.0|0|0.0|100
0|2021-12-02|3737.0|0|3737.0|0|52.0|0|0.0|100
0|2021-12-03|3742.0|0|3742.0|0|52.0|0|0.0|100
0|2021-12-04|3745.0|0|3745.0|0|52.0|0|0.0|100
0|2021-12-05|3745.0|0|3745.0|0|52.0|0|0.0|100
0|2021-12-06|3747.0|0|3747.0|0|52.0|0|0.0|100
0|2021-12-07|3750.0|0|3750.0|0|52.0|0|0.0|100
0|2021-12-08|3752.0|0|3752.0|0|53.0|0|0.0|100
0|2021-12-09|3757.0|0|3757.0|0|53.0|0|0.0|100
0|2021-12-10|3761.0|0|3761.0|0|53.0|0|0.0|100
0|2021-12-11|3764.0|0|3764.0|0|53.0|0|0.0|100
0|2021-12-12|3765.0|0|3765.0|0|53.0|0|0.0|100
0|2021-12-13|3766.0|0|3766.0|0|53.0|0|0.0|100
0|2021-12-14|3766.0|0|3769.0|0|53.0|0|0.0|100
0|2021-12-15|3775.0|0|3775.0|0|53.0|0|0.0|100
0|2021-12-16|3777.0|0|3777.0|0|53.0|0|0.0|100
0|2021-12-17|3791.0|0|3791.0|0|53.0|0|0.0|100
0|2021-12-18|3795.0|0|3795.0|0|53.0|0|0.0|100
0|2021-12-19|3799.0|0|3799.0|0|53.0|0|0.0|100
0|2021-12-20|3802.0|0|3802.0|0|53.0|0|0.0|100
0|2021-12-21|3804.0|0|3804.0|0|53.0|0|0.0|100
0|2021-12-22|3807.0|0|3807.0|0|53.0|0|0.0|100
0|2021-12-23|3812.0|0|3812.0|0|53.0|0|0.0|100
0|2021-12-24|3816.0|0|3816.0|0|53.0|0|0.0|100
0|2021-12-25|3818.0|0|3818.0|0|53.0|0|0.0|100
0|2021-12-26|3820.0|0|3820.0|0|53.0|0|0.0|100
0|2021-12-27|3826.0|0|3826.0|0|53.0|0|0.0|100
0|2021-12-28|3838.0|0|3838.0|0|54.0|0|0.0|100
0|2021-12-29|3845.0|0|3845.0|0|54.0|0|0.0|100
0|2021-12-30|3864.0|0|3864.0|0|55.0|0|0.0|100
0|2021-12-31|3866.0|0|3866.0|0|55.0|0|0.0|100
0|2022-01-01|3876.0|0|3876.0|0|55.0|0|0.0|100
0|2022-01-02|3877.0|0|3877.0|0|55.0|0|0.0|100
0|2022-01-03|3881.0|0|3881.0|0|56.0|0|0.0|100
0|2022-01-04|3893.0|0|3893.0|0|56.0|0|0.0|100
0|2022-01-05|3911.0|0|3911.0|0|57.0|0|0.0|100
0|2022-01-06|3927.0|0|3927.0|0|57.0|0|0.0|100
0|2022-01-07|3941.0|0|3941.0|0|57.0|0|0.0|100
0|2022-01-08|3965.0|0|3965.0|0|57.0|0|0.0|100
0|2022-01-09|3965.0|0|3965.0|0|57.0|0|0.0|100
0|2022-01-10|3996.0|0|3996.0|0|57.0|0|0.0|100
0|2022-01-11|4032.0|0|4032.0|0|57.0|0|0.0|100
0|2022-01-12|4054.0|0|4054.0|0|57.0|0|0.0|100
0|2022-01-13|4054.0|0|4112.0|0|57.0|0|0.0|100
0|2022-01-14|4197.0|0|4197.0|0|56.0|0|0.0|100
0|2022-01-15|4228.0|0|4228.0|0|56.0|0|0.0|100
0|2022-01-16|4269.0|0|4269.0|0|56.0|0|0.0|100
0|2022-01-17|4278.0|0|0.0|100|56.0|0|0.0|100
