|dates|Ray_Missouri_UnitedStates.JHU_ConfirmedCases.data|Ray_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Ray_Missouri_UnitedStates.NYT_ConfirmedCases.data|Ray_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Ray_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Ray_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Ray_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Ray_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2909.0|0|2909.0|0|50.0|0|0.0|100
0|2021-10-18|2909.0|0|2909.0|0|50.0|0|0.0|100
0|2021-10-19|2914.0|0|2914.0|0|50.0|0|0.0|100
0|2021-10-20|2917.0|0|2917.0|0|50.0|0|0.0|100
0|2021-10-21|2923.0|0|2923.0|0|50.0|0|0.0|100
0|2021-10-22|2925.0|0|2925.0|0|50.0|0|0.0|100
0|2021-10-23|2930.0|0|2930.0|0|50.0|0|0.0|100
0|2021-10-24|2930.0|0|2930.0|0|50.0|0|0.0|100
0|2021-10-25|2943.0|0|2943.0|0|50.0|0|0.0|100
0|2021-10-26|2944.0|0|2944.0|0|50.0|0|0.0|100
0|2021-10-27|2957.0|0|2957.0|0|50.0|0|0.0|100
0|2021-10-28|2966.0|0|2966.0|0|50.0|0|0.0|100
0|2021-10-29|2973.0|0|2973.0|0|50.0|0|0.0|100
0|2021-10-30|2979.0|0|2979.0|0|50.0|0|0.0|100
0|2021-10-31|2983.0|0|2983.0|0|50.0|0|0.0|100
0|2021-11-01|2984.0|0|2984.0|0|50.0|0|0.0|100
0|2021-11-02|2984.0|0|2984.0|0|50.0|0|0.0|100
0|2021-11-03|2995.0|0|2995.0|0|50.0|0|0.0|100
0|2021-11-04|2999.0|0|2999.0|0|50.0|0|0.0|100
0|2021-11-05|3006.0|0|3006.0|0|50.0|0|0.0|100
0|2021-11-06|3013.0|0|3013.0|0|50.0|0|0.0|100
0|2021-11-07|3014.0|0|3014.0|0|50.0|0|0.0|100
0|2021-11-08|3016.0|0|3016.0|0|50.0|0|0.0|100
0|2021-11-09|3024.0|0|3024.0|0|51.0|0|0.0|100
0|2021-11-10|3035.0|0|3035.0|0|51.0|0|0.0|100
0|2021-11-11|3035.0|0|3035.0|0|51.0|0|0.0|100
0|2021-11-12|3046.0|0|3046.0|0|51.0|0|0.0|100
0|2021-11-13|3053.0|0|3053.0|0|52.0|0|0.0|100
0|2021-11-14|3063.0|0|3063.0|0|52.0|0|0.0|100
0|2021-11-15|3064.0|0|3064.0|0|52.0|0|0.0|100
0|2021-11-16|3072.0|0|3072.0|0|52.0|0|0.0|100
0|2021-11-17|3081.0|0|3081.0|0|52.0|0|0.0|100
0|2021-11-18|3128.0|0|3128.0|0|52.0|0|0.0|100
0|2021-11-19|3136.0|0|3136.0|0|52.0|0|0.0|100
0|2021-11-20|3149.0|0|3149.0|0|52.0|0|0.0|100
