|dates|Wasatch_Utah_UnitedStates.JHU_ConfirmedCases.data|Wasatch_Utah_UnitedStates.JHU_ConfirmedCases.missing|Wasatch_Utah_UnitedStates.NYT_ConfirmedCases.data|Wasatch_Utah_UnitedStates.NYT_ConfirmedCases.missing|Wasatch_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Wasatch_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Wasatch_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Wasatch_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5868.0|0|5868.0|0|28.0|0|0.0|100
0|2021-10-18|5900.0|0|5900.0|0|28.0|0|0.0|100
0|2021-10-19|5915.0|0|5915.0|0|28.0|0|0.0|100
0|2021-10-20|5932.0|0|5932.0|0|28.0|0|0.0|100
0|2021-10-21|5941.0|0|5941.0|0|28.0|0|0.0|100
0|2021-10-22|5956.0|0|5956.0|0|28.0|0|0.0|100
0|2021-10-23|5956.0|0|5956.0|0|28.0|0|0.0|100
0|2021-10-24|5956.0|0|5956.0|0|28.0|0|0.0|100
0|2021-10-25|5990.0|0|5990.0|0|28.0|0|0.0|100
0|2021-10-26|6011.0|0|6011.0|0|28.0|0|0.0|100
0|2021-10-27|6018.0|0|6018.0|0|28.0|0|0.0|100
0|2021-10-28|6034.0|0|6034.0|0|28.0|0|0.0|100
0|2021-10-29|6045.0|0|6045.0|0|28.0|0|0.0|100
0|2021-10-30|6045.0|0|6045.0|0|28.0|0|0.0|100
0|2021-10-31|6045.0|0|6045.0|0|28.0|0|0.0|100
0|2021-11-01|6075.0|0|6075.0|0|28.0|0|0.0|100
0|2021-11-02|6107.0|0|6107.0|0|28.0|0|0.0|100
0|2021-11-03|6132.0|0|6132.0|0|28.0|0|0.0|100
0|2021-11-04|6154.0|0|6154.0|0|28.0|0|0.0|100
0|2021-11-05|6180.0|0|6180.0|0|28.0|0|0.0|100
0|2021-11-06|6180.0|0|6180.0|0|28.0|0|0.0|100
0|2021-11-07|6180.0|0|6180.0|0|28.0|0|0.0|100
