|dates|Lafourche_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Lafourche_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Lafourche_Louisiana_UnitedStates.NYT_ConfirmedCases.data|Lafourche_Louisiana_UnitedStates.NYT_ConfirmedCases.missing|Lafourche_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Lafourche_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Lafourche_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Lafourche_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|17754.0|0|17754.0|0|306.0|0|0.0|100
0|2021-10-18|17779.0|0|17779.0|0|306.0|0|0.0|100
0|2021-10-19|17784.0|0|17784.0|0|308.0|0|0.0|100
0|2021-10-20|17791.0|0|17791.0|0|308.0|0|0.0|100
0|2021-10-21|17810.0|0|17810.0|0|309.0|0|0.0|100
0|2021-10-22|17821.0|0|17821.0|0|309.0|0|0.0|100
0|2021-10-23|17821.0|0|17821.0|0|309.0|0|0.0|100
0|2021-10-24|17821.0|0|17821.0|0|309.0|0|0.0|100
0|2021-10-25|17838.0|0|17838.0|0|309.0|0|0.0|100
0|2021-10-26|17843.0|0|17843.0|0|310.0|0|0.0|100
0|2021-10-27|17871.0|0|17871.0|0|310.0|0|0.0|100
0|2021-10-28|17884.0|0|17884.0|0|310.0|0|0.0|100
0|2021-10-29|17887.0|0|17887.0|0|310.0|0|0.0|100
0|2021-10-30|17887.0|0|17887.0|0|310.0|0|0.0|100
0|2021-10-31|17887.0|0|17887.0|0|310.0|0|0.0|100
0|2021-11-01|17927.0|0|17927.0|0|312.0|0|0.0|100
0|2021-11-02|17935.0|0|17935.0|0|312.0|0|0.0|100
0|2021-11-03|17944.0|0|17944.0|0|313.0|0|0.0|100
0|2021-11-04|17979.0|0|17979.0|0|313.0|0|0.0|100
0|2021-11-05|17987.0|0|17987.0|0|313.0|0|0.0|100
0|2021-11-06|17987.0|0|17987.0|0|313.0|0|0.0|100
0|2021-11-07|17987.0|0|17987.0|0|313.0|0|0.0|100
0|2021-11-08|18009.0|0|18009.0|0|313.0|0|0.0|100
