|dates|Washington_Indiana_UnitedStates.JHU_ConfirmedCases.data|Washington_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Washington_Indiana_UnitedStates.NYT_ConfirmedCases.data|Washington_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Washington_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3520.0|0|3521.0|0|49.0|0|0.0|100
0|2021-10-18|3532.0|0|3533.0|0|49.0|0|0.0|100
0|2021-10-19|3540.0|0|3541.0|0|49.0|0|0.0|100
0|2021-10-20|3561.0|0|3562.0|0|50.0|0|0.0|100
0|2021-10-21|3576.0|0|3577.0|0|51.0|0|0.0|100
0|2021-10-22|3591.0|0|3592.0|0|51.0|0|0.0|100
0|2021-10-23|3591.0|0|3592.0|0|51.0|0|0.0|100
0|2021-10-24|3591.0|0|3592.0|0|51.0|0|0.0|100
0|2021-10-25|3604.0|0|3605.0|0|51.0|0|0.0|100
0|2021-10-26|3605.0|0|3606.0|0|51.0|0|0.0|100
0|2021-10-27|3616.0|0|3617.0|0|51.0|0|0.0|100
0|2021-10-28|3624.0|0|3625.0|0|51.0|0|0.0|100
0|2021-10-29|3629.0|0|3630.0|0|52.0|0|0.0|100
0|2021-10-30|3629.0|0|3630.0|0|52.0|0|0.0|100
0|2021-10-31|3629.0|0|3630.0|0|52.0|0|0.0|100
0|2021-11-01|3637.0|0|3638.0|0|52.0|0|0.0|100
0|2021-11-02|3642.0|0|3643.0|0|54.0|0|0.0|100
0|2021-11-03|3643.0|0|3644.0|0|54.0|0|0.0|100
0|2021-11-04|3648.0|0|3649.0|0|54.0|0|0.0|100
0|2021-11-05|3654.0|0|3655.0|0|54.0|0|0.0|100
0|2021-11-06|3654.0|0|3655.0|0|54.0|0|0.0|100
0|2021-11-07|3654.0|0|3655.0|0|54.0|0|0.0|100
0|2021-11-08|3658.0|0|3659.0|0|54.0|0|0.0|100
0|2021-11-09|3664.0|0|3665.0|0|54.0|0|0.0|100
0|2021-11-10|3664.0|0|3674.0|0|54.0|0|0.0|100
0|2021-11-11|3691.0|0|3692.0|0|54.0|0|0.0|100
0|2021-11-12|3693.0|0|3694.0|0|54.0|0|0.0|100
0|2021-11-13|3693.0|0|3694.0|0|54.0|0|0.0|100
0|2021-11-14|3693.0|0|3694.0|0|54.0|0|0.0|100
0|2021-11-15|3707.0|0|3708.0|0|54.0|0|0.0|100
0|2021-11-16|3718.0|0|3719.0|0|54.0|0|0.0|100
0|2021-11-17|3726.0|0|3727.0|0|54.0|0|0.0|100
0|2021-11-18|3741.0|0|3742.0|0|54.0|0|0.0|100
0|2021-11-19|3753.0|0|3754.0|0|54.0|0|0.0|100
0|2021-11-20|3753.0|0|3754.0|0|54.0|0|0.0|100
0|2021-11-21|3753.0|0|3754.0|0|54.0|0|0.0|100
0|2021-11-22|3776.0|0|3777.0|0|54.0|0|0.0|100
