|dates|Kendall_Texas_UnitedStates.JHU_ConfirmedCases.data|Kendall_Texas_UnitedStates.JHU_ConfirmedCases.missing|Kendall_Texas_UnitedStates.NYT_ConfirmedCases.data|Kendall_Texas_UnitedStates.NYT_ConfirmedCases.missing|Kendall_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Kendall_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Kendall_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Kendall_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5033.0|0|5033.0|0|95.0|0|0.0|100
0|2021-10-18|5041.0|0|5041.0|0|95.0|0|0.0|100
0|2021-10-19|5044.0|0|5044.0|0|95.0|0|0.0|100
0|2021-10-20|5064.0|0|5064.0|0|95.0|0|0.0|100
0|2021-10-21|5071.0|0|5071.0|0|96.0|0|0.0|100
0|2021-10-22|5076.0|0|5076.0|0|96.0|0|0.0|100
0|2021-10-23|5076.0|0|5076.0|0|97.0|0|0.0|100
0|2021-10-24|5076.0|0|5076.0|0|97.0|0|0.0|100
0|2021-10-25|5083.0|0|5083.0|0|97.0|0|0.0|100
0|2021-10-26|5086.0|0|5086.0|0|98.0|0|0.0|100
0|2021-10-27|5086.0|0|5086.0|0|99.0|0|0.0|100
0|2021-10-28|5100.0|0|5100.0|0|99.0|0|0.0|100
0|2021-10-29|5101.0|0|5101.0|0|99.0|0|0.0|100
0|2021-10-30|5101.0|0|5101.0|0|100.0|0|0.0|100
0|2021-10-31|5101.0|0|5101.0|0|100.0|0|0.0|100
0|2021-11-01|5101.0|0|5101.0|0|100.0|0|0.0|100
0|2021-11-02|5101.0|0|5101.0|0|101.0|0|0.0|100
0|2021-11-03|5101.0|0|5101.0|0|101.0|0|0.0|100
0|2021-11-04|5101.0|0|5101.0|0|101.0|0|0.0|100
0|2021-11-05|5120.0|0|5120.0|0|101.0|0|0.0|100
0|2021-11-06|5120.0|0|5120.0|0|101.0|0|0.0|100
0|2021-11-07|5120.0|0|5120.0|0|101.0|0|0.0|100
0|2021-11-08|5129.0|0|5129.0|0|101.0|0|0.0|100
