|dates|Davis_Utah_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Davis_Utah_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Davis_Utah_UnitedStates.Male_Total_Population.data|Davis_Utah_UnitedStates.Male_Total_Population.missing|Davis_Utah_UnitedStates.Female_Total_Population.data|Davis_Utah_UnitedStates.Female_Total_Population.missing|Davis_Utah_UnitedStates.MaleAndFemale_Under18_Population.data|Davis_Utah_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-10-18|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-10-19|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-10-20|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-10-21|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-10-22|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-10-23|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-10-24|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-10-25|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-10-26|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-10-27|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-10-28|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-10-29|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-10-30|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-10-31|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-01|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-02|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-03|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-04|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-05|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-06|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-07|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-08|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-09|35317.0|0|177609.0|0|174104.0|0|112970.0|0
0|2021-11-10|35317.0|0|177609.0|0|174104.0|0|112970.0|0
