|dates|Erie_NewYork_UnitedStates.JHU_ConfirmedCases.data|Erie_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Erie_NewYork_UnitedStates.NYT_ConfirmedCases.data|Erie_NewYork_UnitedStates.NYT_ConfirmedCases.missing|Erie_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Erie_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Erie_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Erie_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|105477.0|0|105477.0|0|1938.0|0|0.0|100
0|2021-10-18|105661.0|0|105661.0|0|1940.0|0|0.0|100
0|2021-10-19|105791.0|0|105791.0|0|1944.0|0|0.0|100
0|2021-10-20|106139.0|0|106139.0|0|1945.0|0|0.0|100
0|2021-10-21|106417.0|0|106417.0|0|1949.0|0|0.0|100
0|2021-10-22|106578.0|0|106578.0|0|1950.0|0|0.0|100
0|2021-10-23|106959.0|0|106959.0|0|1953.0|0|0.0|100
0|2021-10-24|107130.0|0|107130.0|0|1956.0|0|0.0|100
0|2021-10-25|107358.0|0|107358.0|0|1959.0|0|0.0|100
0|2021-10-26|107549.0|0|107549.0|0|1960.0|0|0.0|100
0|2021-10-27|107938.0|0|107938.0|0|1962.0|0|0.0|100
0|2021-10-28|108224.0|0|108224.0|0|1964.0|0|0.0|100
0|2021-10-29|108734.0|0|108734.0|0|1964.0|0|0.0|100
0|2021-10-30|109071.0|0|109071.0|0|1968.0|0|0.0|100
0|2021-10-31|109322.0|0|109322.0|0|1970.0|0|0.0|100
0|2021-11-01|109567.0|0|109567.0|0|1971.0|0|0.0|100
0|2021-11-02|109851.0|0|109851.0|0|1972.0|0|0.0|100
0|2021-11-03|110225.0|0|110225.0|0|1975.0|0|0.0|100
0|2021-11-04|110558.0|0|110558.0|0|1976.0|0|0.0|100
0|2021-11-05|111012.0|0|111012.0|0|1976.0|0|0.0|100
0|2021-11-06|111452.0|0|111452.0|0|1980.0|0|0.0|100
0|2021-11-07|111900.0|0|111900.0|0|1983.0|0|0.0|100
0|2021-11-08|112244.0|0|112244.0|0|1985.0|0|0.0|100
0|2021-11-09|112610.0|0|112610.0|0|1989.0|0|0.0|100
0|2021-11-10|113079.0|0|113079.0|0|1992.0|0|0.0|100
0|2021-11-11|113599.0|0|113599.0|0|1996.0|0|0.0|100
0|2021-11-12|114223.0|0|114223.0|0|1998.0|0|0.0|100
0|2021-11-13|114732.0|0|114732.0|0|2000.0|0|0.0|100
0|2021-11-14|115291.0|0|115291.0|0|2002.0|0|0.0|100
0|2021-11-15|115744.0|0|115744.0|0|2005.0|0|0.0|100
0|2021-11-16|116226.0|0|116226.0|0|2006.0|0|0.0|100
0|2021-11-17|116780.0|0|116780.0|0|2009.0|0|0.0|100
0|2021-11-18|117550.0|0|117550.0|0|2013.0|0|0.0|100
0|2021-11-19|118219.0|0|118219.0|0|2017.0|0|0.0|100
0|2021-11-20|118893.0|0|118893.0|0|2020.0|0|0.0|100
0|2021-11-21|119565.0|0|119565.0|0|2021.0|0|0.0|100
0|2021-11-22|120085.0|0|120085.0|0|2022.0|0|0.0|100
0|2021-11-23|120684.0|0|120684.0|0|2024.0|0|0.0|100
0|2021-11-24|121435.0|0|121435.0|0|2026.0|0|0.0|100
0|2021-11-25|122293.0|0|122293.0|0|2028.0|0|0.0|100
0|2021-11-26|122887.0|0|122887.0|0|2028.0|0|0.0|100
0|2021-11-27|122887.0|0|123297.0|0|2028.0|0|0.0|100
0|2021-11-28|123801.0|0|123801.0|0|2040.0|0|0.0|100
0|2021-11-29|124141.0|0|124141.0|0|2046.0|0|0.0|100
0|2021-11-30|124803.0|0|124803.0|0|2050.0|0|0.0|100
0|2021-12-01|125685.0|0|125685.0|0|2060.0|0|0.0|100
0|2021-12-02|126611.0|0|126611.0|0|2064.0|0|0.0|100
0|2021-12-03|127410.0|0|127410.0|0|2074.0|0|0.0|100
0|2021-12-04|128371.0|0|128371.0|0|2079.0|0|0.0|100
0|2021-12-05|129064.0|0|129064.0|0|2084.0|0|0.0|100
0|2021-12-06|129728.0|0|129728.0|0|2092.0|0|0.0|100
0|2021-12-07|130221.0|0|130221.0|0|2100.0|0|0.0|100
0|2021-12-08|130859.0|0|130859.0|0|2108.0|0|0.0|100
0|2021-12-09|131586.0|0|131586.0|0|2113.0|0|0.0|100
0|2021-12-10|132352.0|0|132352.0|0|2120.0|0|0.0|100
0|2021-12-11|132934.0|0|132934.0|0|2131.0|0|0.0|100
0|2021-12-12|133442.0|0|133442.0|0|2139.0|0|0.0|100
0|2021-12-13|133831.0|0|133831.0|0|2143.0|0|0.0|100
0|2021-12-14|133831.0|0|134255.0|0|2143.0|0|0.0|100
0|2021-12-15|134688.0|0|134688.0|0|2158.0|0|0.0|100
0|2021-12-16|135342.0|0|135342.0|0|2165.0|0|0.0|100
0|2021-12-17|135926.0|0|135926.0|0|2170.0|0|0.0|100
0|2021-12-18|136422.0|0|136422.0|0|2177.0|0|0.0|100
