|dates|SilverBow_Montana_UnitedStates.JHU_ConfirmedCases.data|SilverBow_Montana_UnitedStates.JHU_ConfirmedCases.missing|SilverBow_Montana_UnitedStates.NYT_ConfirmedCases.data|SilverBow_Montana_UnitedStates.NYT_ConfirmedCases.missing|SilverBow_Montana_UnitedStates.JHU_ConfirmedDeaths.data|SilverBow_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|SilverBow_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|SilverBow_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5490.0|0|5490.0|0|98.0|0|0.0|100
0|2021-10-18|5523.0|0|5523.0|0|98.0|0|0.0|100
0|2021-10-19|5534.0|0|5534.0|0|98.0|0|0.0|100
0|2021-10-20|5577.0|0|5577.0|0|98.0|0|0.0|100
0|2021-10-21|5619.0|0|5619.0|0|98.0|0|0.0|100
0|2021-10-22|5624.0|0|5624.0|0|98.0|0|0.0|100
0|2021-10-23|5624.0|0|5624.0|0|98.0|0|0.0|100
0|2021-10-24|5624.0|0|5624.0|0|98.0|0|0.0|100
0|2021-10-25|5691.0|0|5691.0|0|98.0|0|0.0|100
0|2021-10-26|5706.0|0|5706.0|0|103.0|0|0.0|100
0|2021-10-27|5743.0|0|5743.0|0|103.0|0|0.0|100
0|2021-10-28|5783.0|0|5783.0|0|103.0|0|0.0|100
0|2021-10-29|5800.0|0|5800.0|0|103.0|0|0.0|100
0|2021-10-30|5800.0|0|5800.0|0|103.0|0|0.0|100
0|2021-10-31|5800.0|0|5800.0|0|103.0|0|0.0|100
0|2021-11-01|5817.0|0|5817.0|0|103.0|0|0.0|100
0|2021-11-02|5850.0|0|5850.0|0|103.0|0|0.0|100
0|2021-11-03|5902.0|0|5902.0|0|103.0|0|0.0|100
0|2021-11-04|5928.0|0|5928.0|0|103.0|0|0.0|100
0|2021-11-05|5933.0|0|5933.0|0|103.0|0|0.0|100
0|2021-11-06|5933.0|0|5933.0|0|103.0|0|0.0|100
0|2021-11-07|5933.0|0|5933.0|0|103.0|0|0.0|100
0|2021-11-08|5945.0|0|5945.0|0|103.0|0|0.0|100
0|2021-11-09|5969.0|0|5969.0|0|104.0|0|0.0|100
0|2021-11-10|5969.0|0|5987.0|0|104.0|0|0.0|100
0|2021-11-11|5987.0|0|5987.0|0|104.0|0|0.0|100
0|2021-11-12|6009.0|0|6009.0|0|104.0|0|0.0|100
0|2021-11-13|6009.0|0|6009.0|0|104.0|0|0.0|100
0|2021-11-14|6009.0|0|6009.0|0|104.0|0|0.0|100
0|2021-11-15|6029.0|0|6029.0|0|104.0|0|0.0|100
0|2021-11-16|6053.0|0|6053.0|0|105.0|0|0.0|100
