|dates|MilleLacs_Minnesota_UnitedStates.JHU_ConfirmedCases.data|MilleLacs_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|MilleLacs_Minnesota_UnitedStates.NYT_ConfirmedCases.data|MilleLacs_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|MilleLacs_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|MilleLacs_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|MilleLacs_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|MilleLacs_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4035.0|0|4035.0|0|65.0|0|0.0|100
0|2021-10-18|4067.0|0|4067.0|0|65.0|0|0.0|100
0|2021-10-19|4112.0|0|4112.0|0|65.0|0|0.0|100
0|2021-10-20|4126.0|0|4126.0|0|66.0|0|0.0|100
0|2021-10-21|4153.0|0|4153.0|0|67.0|0|0.0|100
0|2021-10-22|4169.0|0|4169.0|0|67.0|0|0.0|100
0|2021-10-23|4169.0|0|4169.0|0|67.0|0|0.0|100
0|2021-10-24|4169.0|0|4169.0|0|67.0|0|0.0|100
0|2021-10-25|4195.0|0|4195.0|0|67.0|0|0.0|100
0|2021-10-26|4249.0|0|4249.0|0|67.0|0|0.0|100
0|2021-10-27|4259.0|0|4259.0|0|67.0|0|0.0|100
0|2021-10-28|4279.0|0|4279.0|0|67.0|0|0.0|100
0|2021-10-29|4310.0|0|4310.0|0|67.0|0|0.0|100
0|2021-10-30|4310.0|0|4310.0|0|67.0|0|0.0|100
0|2021-10-31|4310.0|0|4310.0|0|67.0|0|0.0|100
0|2021-11-01|4378.0|0|4378.0|0|67.0|0|0.0|100
0|2021-11-02|4448.0|0|4448.0|0|67.0|0|0.0|100
0|2021-11-03|4477.0|0|4477.0|0|68.0|0|0.0|100
0|2021-11-04|4496.0|0|4496.0|0|68.0|0|0.0|100
0|2021-11-05|4535.0|0|4535.0|0|68.0|0|0.0|100
0|2021-11-06|4535.0|0|4535.0|0|68.0|0|0.0|100
0|2021-11-07|4535.0|0|4535.0|0|68.0|0|0.0|100
0|2021-11-08|4564.0|0|4564.0|0|68.0|0|0.0|100
0|2021-11-09|4633.0|0|4633.0|0|68.0|0|0.0|100
0|2021-11-10|4633.0|0|4683.0|0|68.0|0|0.0|100
0|2021-11-11|4716.0|0|4716.0|0|68.0|0|0.0|100
0|2021-11-12|4767.0|0|4767.0|0|69.0|0|0.0|100
0|2021-11-13|4767.0|0|4767.0|0|69.0|0|0.0|100
0|2021-11-14|4767.0|0|4767.0|0|69.0|0|0.0|100
0|2021-11-15|4797.0|0|4797.0|0|69.0|0|0.0|100
0|2021-11-16|4879.0|0|4879.0|0|70.0|0|0.0|100
0|2021-11-17|4901.0|0|4901.0|0|69.0|0|0.0|100
0|2021-11-18|4924.0|0|4924.0|0|69.0|0|0.0|100
0|2021-11-19|4977.0|0|4977.0|0|69.0|0|0.0|100
0|2021-11-20|4977.0|0|4977.0|0|69.0|0|0.0|100
0|2021-11-21|4977.0|0|4977.0|0|69.0|0|0.0|100
0|2021-11-22|5016.0|0|5016.0|0|71.0|0|0.0|100
0|2021-11-23|5111.0|0|5111.0|0|71.0|0|0.0|100
0|2021-11-24|5132.0|0|5132.0|0|72.0|0|0.0|100
0|2021-11-25|5132.0|0|5132.0|0|72.0|0|0.0|100
0|2021-11-26|5165.0|0|5165.0|0|73.0|0|0.0|100
0|2021-11-27|5165.0|0|5165.0|0|73.0|0|0.0|100
0|2021-11-28|5165.0|0|5165.0|0|73.0|0|0.0|100
0|2021-11-29|5203.0|0|5203.0|0|74.0|0|0.0|100
0|2021-11-30|5294.0|0|5294.0|0|74.0|0|0.0|100
0|2021-12-01|5324.0|0|5324.0|0|79.0|0|0.0|100
0|2021-12-02|5324.0|0|5351.0|0|79.0|0|0.0|100
0|2021-12-03|5394.0|0|5394.0|0|79.0|0|0.0|100
0|2021-12-04|5394.0|0|5394.0|0|79.0|0|0.0|100
0|2021-12-05|5394.0|0|5394.0|0|79.0|0|0.0|100
0|2021-12-06|5413.0|0|5413.0|0|80.0|0|0.0|100
0|2021-12-07|5487.0|0|5487.0|0|81.0|0|0.0|100
0|2021-12-08|5512.0|0|5512.0|0|83.0|0|0.0|100
0|2021-12-09|5531.0|0|5531.0|0|84.0|0|0.0|100
0|2021-12-10|5554.0|0|5554.0|0|84.0|0|0.0|100
0|2021-12-11|5554.0|0|5554.0|0|84.0|0|0.0|100
0|2021-12-12|5554.0|0|5554.0|0|84.0|0|0.0|100
0|2021-12-13|5574.0|0|5574.0|0|84.0|0|0.0|100
0|2021-12-14|5574.0|0|5629.0|0|84.0|0|0.0|100
0|2021-12-15|5642.0|0|5642.0|0|85.0|0|0.0|100
0|2021-12-16|5654.0|0|5654.0|0|85.0|0|0.0|100
0|2021-12-17|5672.0|0|5672.0|0|86.0|0|0.0|100
0|2021-12-18|5672.0|0|5672.0|0|86.0|0|0.0|100
0|2021-12-19|5672.0|0|5672.0|0|86.0|0|0.0|100
0|2021-12-20|5687.0|0|5687.0|0|86.0|0|0.0|100
0|2021-12-21|5717.0|0|5717.0|0|88.0|0|0.0|100
0|2021-12-22|5722.0|0|5722.0|0|89.0|0|0.0|100
0|2021-12-23|5732.0|0|5732.0|0|90.0|0|0.0|100
0|2021-12-24|5732.0|0|5732.0|0|90.0|0|0.0|100
0|2021-12-25|5732.0|0|5732.0|0|90.0|0|0.0|100
