|dates|Morris_Kansas_UnitedStates.JHU_ConfirmedCases.data|Morris_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Morris_Kansas_UnitedStates.NYT_ConfirmedCases.data|Morris_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Morris_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Morris_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Morris_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Morris_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|755.0|0|755.0|0|23.0|0|0.0|100
0|2021-10-18|756.0|0|756.0|0|23.0|0|0.0|100
0|2021-10-19|756.0|0|756.0|0|23.0|0|0.0|100
0|2021-10-20|766.0|0|766.0|0|23.0|0|0.0|100
0|2021-10-21|766.0|0|766.0|0|23.0|0|0.0|100
0|2021-10-22|766.0|0|766.0|0|23.0|0|0.0|100
0|2021-10-23|766.0|0|766.0|0|23.0|0|0.0|100
0|2021-10-24|766.0|0|766.0|0|23.0|0|0.0|100
0|2021-10-25|767.0|0|767.0|0|23.0|0|0.0|100
0|2021-10-26|767.0|0|767.0|0|23.0|0|0.0|100
0|2021-10-27|773.0|0|773.0|0|23.0|0|0.0|100
0|2021-10-28|773.0|0|773.0|0|23.0|0|0.0|100
0|2021-10-29|778.0|0|778.0|0|23.0|0|0.0|100
0|2021-10-30|778.0|0|778.0|0|23.0|0|0.0|100
0|2021-10-31|778.0|0|778.0|0|23.0|0|0.0|100
0|2021-11-01|779.0|0|779.0|0|23.0|0|0.0|100
0|2021-11-02|779.0|0|779.0|0|23.0|0|0.0|100
0|2021-11-03|784.0|0|784.0|0|23.0|0|0.0|100
0|2021-11-04|784.0|0|784.0|0|23.0|0|0.0|100
0|2021-11-05|789.0|0|789.0|0|23.0|0|0.0|100
0|2021-11-06|789.0|0|789.0|0|23.0|0|0.0|100
0|2021-11-07|789.0|0|789.0|0|23.0|0|0.0|100
0|2021-11-08|792.0|0|792.0|0|23.0|0|0.0|100
0|2021-11-09|792.0|0|792.0|0|23.0|0|0.0|100
0|2021-11-10|792.0|0|796.0|0|23.0|0|0.0|100
0|2021-11-11|796.0|0|796.0|0|23.0|0|0.0|100
0|2021-11-12|802.0|0|802.0|0|23.0|0|0.0|100
0|2021-11-13|802.0|0|802.0|0|23.0|0|0.0|100
0|2021-11-14|802.0|0|802.0|0|23.0|0|0.0|100
0|2021-11-15|802.0|0|802.0|0|22.0|0|0.0|100
0|2021-11-16|802.0|0|802.0|0|22.0|0|0.0|100
0|2021-11-17|804.0|0|804.0|0|22.0|0|0.0|100
0|2021-11-18|804.0|0|804.0|0|22.0|0|0.0|100
0|2021-11-19|813.0|0|813.0|0|22.0|0|0.0|100
0|2021-11-20|813.0|0|813.0|0|22.0|0|0.0|100
0|2021-11-21|813.0|0|813.0|0|22.0|0|0.0|100
0|2021-11-22|818.0|0|818.0|0|22.0|0|0.0|100
0|2021-11-23|818.0|0|818.0|0|22.0|0|0.0|100
0|2021-11-24|818.0|0|825.0|0|22.0|0|0.0|100
0|2021-11-25|825.0|0|825.0|0|22.0|0|0.0|100
0|2021-11-26|825.0|0|825.0|0|22.0|0|0.0|100
0|2021-11-27|825.0|0|825.0|0|22.0|0|0.0|100
0|2021-11-28|825.0|0|825.0|0|22.0|0|0.0|100
0|2021-11-29|833.0|0|833.0|0|22.0|0|0.0|100
0|2021-11-30|833.0|0|833.0|0|22.0|0|0.0|100
0|2021-12-01|859.0|0|859.0|0|22.0|0|0.0|100
0|2021-12-02|859.0|0|859.0|0|22.0|0|0.0|100
0|2021-12-03|859.0|0|871.0|0|22.0|0|0.0|100
0|2021-12-04|871.0|0|871.0|0|22.0|0|0.0|100
0|2021-12-05|871.0|0|871.0|0|22.0|0|0.0|100
0|2021-12-06|886.0|0|886.0|0|22.0|0|0.0|100
0|2021-12-07|886.0|0|886.0|0|22.0|0|0.0|100
0|2021-12-08|905.0|0|905.0|0|22.0|0|0.0|100
0|2021-12-09|905.0|0|905.0|0|22.0|0|0.0|100
0|2021-12-10|915.0|0|915.0|0|22.0|0|0.0|100
0|2021-12-11|915.0|0|915.0|0|22.0|0|0.0|100
0|2021-12-12|915.0|0|915.0|0|22.0|0|0.0|100
0|2021-12-13|926.0|0|926.0|0|22.0|0|0.0|100
0|2021-12-14|926.0|0|926.0|0|22.0|0|0.0|100
0|2021-12-15|942.0|0|942.0|0|22.0|0|0.0|100
0|2021-12-16|942.0|0|942.0|0|22.0|0|0.0|100
0|2021-12-17|950.0|0|950.0|0|22.0|0|0.0|100
0|2021-12-18|950.0|0|950.0|0|22.0|0|0.0|100
0|2021-12-19|950.0|0|950.0|0|22.0|0|0.0|100
0|2021-12-20|955.0|0|955.0|0|22.0|0|0.0|100
0|2021-12-21|955.0|0|955.0|0|22.0|0|0.0|100
0|2021-12-22|961.0|0|961.0|0|22.0|0|0.0|100
0|2021-12-23|961.0|0|961.0|0|22.0|0|0.0|100
0|2021-12-24|961.0|0|961.0|0|22.0|0|0.0|100
0|2021-12-25|961.0|0|961.0|0|22.0|0|0.0|100
0|2021-12-26|961.0|0|961.0|0|22.0|0|0.0|100
0|2021-12-27|973.0|0|973.0|0|22.0|0|0.0|100
0|2021-12-28|973.0|0|973.0|0|22.0|0|0.0|100
0|2021-12-29|979.0|0|979.0|0|22.0|0|0.0|100
0|2021-12-30|979.0|0|979.0|0|22.0|0|0.0|100
0|2021-12-31|979.0|0|979.0|0|22.0|0|0.0|100
0|2022-01-01|979.0|0|979.0|0|22.0|0|0.0|100
0|2022-01-02|979.0|0|979.0|0|22.0|0|0.0|100
0|2022-01-03|1006.0|0|1006.0|0|22.0|0|0.0|100
0|2022-01-04|1006.0|0|1006.0|0|22.0|0|0.0|100
0|2022-01-05|1034.0|0|1034.0|0|22.0|0|0.0|100
0|2022-01-06|1034.0|0|1034.0|0|22.0|0|0.0|100
0|2022-01-07|1047.0|0|1047.0|0|23.0|0|0.0|100
0|2022-01-08|1047.0|0|1047.0|0|23.0|0|0.0|100
0|2022-01-09|1047.0|0|1047.0|0|23.0|0|0.0|100
0|2022-01-10|1069.0|0|1069.0|0|23.0|0|0.0|100
0|2022-01-11|1069.0|0|1069.0|0|23.0|0|0.0|100
0|2022-01-12|1069.0|0|1096.0|0|23.0|0|0.0|100
0|2022-01-13|1069.0|0|1122.0|0|23.0|0|0.0|100
0|2022-01-14|1178.0|0|1178.0|0|23.0|0|0.0|100
0|2022-01-15|1178.0|0|1178.0|0|23.0|0|0.0|100
0|2022-01-16|1178.0|0|1178.0|0|23.0|0|0.0|100
0|2022-01-17|1178.0|0|0.0|100|23.0|0|0.0|100
