|dates|Traverse_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Traverse_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Traverse_Minnesota_UnitedStates.Male_Total_Population.data|Traverse_Minnesota_UnitedStates.Male_Total_Population.missing|Traverse_Minnesota_UnitedStates.Female_Total_Population.data|Traverse_Minnesota_UnitedStates.Female_Total_Population.missing|Traverse_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.data|Traverse_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-10-18|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-10-19|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-10-20|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-10-21|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-10-22|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-10-23|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-10-24|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-10-25|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-10-26|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-10-27|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-10-28|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-10-29|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-10-30|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-10-31|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-01|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-02|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-03|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-04|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-05|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-06|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-07|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-08|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-09|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-10|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-11|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-12|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-13|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-14|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-15|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-16|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-17|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-18|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-19|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-20|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-21|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-22|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-23|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-24|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-25|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-26|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-27|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-28|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-29|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-11-30|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-01|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-02|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-03|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-04|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-05|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-06|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-07|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-08|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-09|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-10|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-11|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-12|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-13|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-14|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-15|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-16|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-17|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-18|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-19|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-20|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-21|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-22|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-23|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-24|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-25|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-26|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-27|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-28|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-29|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-30|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2021-12-31|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2022-01-01|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2022-01-02|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2022-01-03|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2022-01-04|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2022-01-05|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2022-01-06|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2022-01-07|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2022-01-08|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2022-01-09|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2022-01-10|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2022-01-11|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2022-01-12|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2022-01-13|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2022-01-14|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2022-01-15|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2022-01-16|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2022-01-17|832.0|0|1659.0|0|1649.0|0|693.0|0
