|dates|Hardin_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Hardin_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Hardin_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Hardin_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Hardin_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Hardin_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Hardin_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Hardin_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|17643.0|0|17643.0|0|252.0|0|0.0|100
0|2021-10-18|17713.0|0|17713.0|0|264.0|0|0.0|100
0|2021-10-19|17743.0|0|17743.0|0|264.0|0|0.0|100
0|2021-10-20|17790.0|0|17790.0|0|264.0|0|0.0|100
0|2021-10-21|17820.0|0|17820.0|0|267.0|0|0.0|100
0|2021-10-22|17870.0|0|17870.0|0|275.0|0|0.0|100
0|2021-10-23|17870.0|0|17870.0|0|275.0|0|0.0|100
0|2021-10-24|17870.0|0|17870.0|0|275.0|0|0.0|100
0|2021-10-25|17935.0|0|17935.0|0|279.0|0|0.0|100
0|2021-10-26|17942.0|0|17942.0|0|280.0|0|0.0|100
0|2021-10-27|17992.0|0|17992.0|0|281.0|0|0.0|100
0|2021-10-28|18027.0|0|18027.0|0|282.0|0|0.0|100
0|2021-10-29|18055.0|0|18055.0|0|283.0|0|0.0|100
0|2021-10-30|18055.0|0|18055.0|0|283.0|0|0.0|100
0|2021-10-31|18055.0|0|18055.0|0|283.0|0|0.0|100
0|2021-11-01|18110.0|0|18110.0|0|284.0|0|0.0|100
0|2021-11-02|18136.0|0|18136.0|0|284.0|0|0.0|100
0|2021-11-03|18159.0|0|18159.0|0|286.0|0|0.0|100
0|2021-11-04|18196.0|0|18196.0|0|286.0|0|0.0|100
0|2021-11-05|18220.0|0|18220.0|0|287.0|0|0.0|100
0|2021-11-06|18220.0|0|18220.0|0|287.0|0|0.0|100
0|2021-11-07|18220.0|0|18220.0|0|287.0|0|0.0|100
0|2021-11-08|18266.0|0|18266.0|0|291.0|0|0.0|100
0|2021-11-09|18303.0|0|18303.0|0|294.0|0|0.0|100
0|2021-11-10|18303.0|0|18351.0|0|294.0|0|0.0|100
0|2021-11-11|18351.0|0|18351.0|0|294.0|0|0.0|100
0|2021-11-12|18426.0|0|18426.0|0|296.0|0|0.0|100
0|2021-11-13|18426.0|0|18426.0|0|296.0|0|0.0|100
0|2021-11-14|18426.0|0|18426.0|0|296.0|0|0.0|100
0|2021-11-15|18497.0|0|18497.0|0|296.0|0|0.0|100
0|2021-11-16|18549.0|0|18549.0|0|297.0|0|0.0|100
0|2021-11-17|18595.0|0|18595.0|0|297.0|0|0.0|100
0|2021-11-18|18648.0|0|18648.0|0|297.0|0|0.0|100
0|2021-11-19|18670.0|0|18670.0|0|299.0|0|0.0|100
0|2021-11-20|18670.0|0|18670.0|0|299.0|0|0.0|100
0|2021-11-21|18670.0|0|18670.0|0|299.0|0|0.0|100
0|2021-11-22|18765.0|0|18765.0|0|300.0|0|0.0|100
0|2021-11-23|18806.0|0|18806.0|0|302.0|0|0.0|100
0|2021-11-24|18864.0|0|18864.0|0|303.0|0|0.0|100
0|2021-11-25|18864.0|0|18864.0|0|303.0|0|0.0|100
0|2021-11-26|18864.0|0|18864.0|0|303.0|0|0.0|100
0|2021-11-27|18864.0|0|18864.0|0|303.0|0|0.0|100
0|2021-11-28|18864.0|0|18864.0|0|303.0|0|0.0|100
0|2021-11-29|19031.0|0|19031.0|0|308.0|0|0.0|100
0|2021-11-30|19104.0|0|19104.0|0|309.0|0|0.0|100
0|2021-12-01|19208.0|0|19208.0|0|311.0|0|0.0|100
0|2021-12-02|19208.0|0|19280.0|0|311.0|0|0.0|100
0|2021-12-03|19356.0|0|19356.0|0|319.0|0|0.0|100
0|2021-12-04|19356.0|0|19356.0|0|319.0|0|0.0|100
0|2021-12-05|19356.0|0|19356.0|0|319.0|0|0.0|100
0|2021-12-06|19511.0|0|19511.0|0|322.0|0|0.0|100
0|2021-12-07|19584.0|0|19584.0|0|323.0|0|0.0|100
0|2021-12-08|19695.0|0|19695.0|0|323.0|0|0.0|100
0|2021-12-09|19769.0|0|19769.0|0|325.0|0|0.0|100
0|2021-12-10|19842.0|0|19842.0|0|325.0|0|0.0|100
0|2021-12-11|19842.0|0|19842.0|0|325.0|0|0.0|100
0|2021-12-12|19842.0|0|19842.0|0|325.0|0|0.0|100
0|2021-12-13|19960.0|0|19960.0|0|331.0|0|0.0|100
0|2021-12-14|19960.0|0|20019.0|0|331.0|0|0.0|100
0|2021-12-15|20100.0|0|20100.0|0|331.0|0|0.0|100
0|2021-12-16|20177.0|0|20177.0|0|332.0|0|0.0|100
0|2021-12-17|20232.0|0|20232.0|0|332.0|0|0.0|100
0|2021-12-18|20232.0|0|20232.0|0|332.0|0|0.0|100
0|2021-12-19|20232.0|0|20232.0|0|332.0|0|0.0|100
0|2021-12-20|20347.0|0|20347.0|0|337.0|0|0.0|100
0|2021-12-21|20405.0|0|20405.0|0|337.0|0|0.0|100
0|2021-12-22|20469.0|0|20469.0|0|338.0|0|0.0|100
0|2021-12-23|20469.0|0|20469.0|0|338.0|0|0.0|100
0|2021-12-24|20469.0|0|20469.0|0|338.0|0|0.0|100
