|dates|Deuel_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Deuel_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Deuel_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Deuel_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Deuel_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Deuel_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Deuel_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Deuel_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|642.0|0|642.0|0|11.0|0|0.0|100
0|2021-10-18|642.0|0|644.0|0|11.0|0|0.0|100
0|2021-10-19|642.0|0|646.0|0|11.0|0|0.0|100
0|2021-10-20|650.0|0|650.0|0|11.0|0|0.0|100
0|2021-10-21|653.0|0|653.0|0|11.0|0|0.0|100
0|2021-10-22|654.0|0|654.0|0|11.0|0|0.0|100
0|2021-10-23|654.0|0|654.0|0|11.0|0|0.0|100
0|2021-10-24|654.0|0|654.0|0|11.0|0|0.0|100
0|2021-10-25|655.0|0|655.0|0|11.0|0|0.0|100
0|2021-10-26|659.0|0|659.0|0|11.0|0|0.0|100
0|2021-10-27|662.0|0|662.0|0|11.0|0|0.0|100
0|2021-10-28|663.0|0|663.0|0|11.0|0|0.0|100
0|2021-10-29|666.0|0|666.0|0|11.0|0|0.0|100
0|2021-10-30|666.0|0|666.0|0|11.0|0|0.0|100
0|2021-10-31|666.0|0|666.0|0|11.0|0|0.0|100
0|2021-11-01|667.0|0|667.0|0|11.0|0|0.0|100
0|2021-11-02|672.0|0|672.0|0|11.0|0|0.0|100
0|2021-11-03|675.0|0|675.0|0|11.0|0|0.0|100
0|2021-11-04|679.0|0|679.0|0|11.0|0|0.0|100
0|2021-11-05|680.0|0|680.0|0|11.0|0|0.0|100
0|2021-11-06|680.0|0|680.0|0|11.0|0|0.0|100
0|2021-11-07|680.0|0|680.0|0|11.0|0|0.0|100
0|2021-11-08|682.0|0|682.0|0|11.0|0|0.0|100
0|2021-11-09|692.0|0|692.0|0|11.0|0|0.0|100
0|2021-11-10|697.0|0|697.0|0|11.0|0|0.0|100
0|2021-11-11|697.0|0|697.0|0|11.0|0|0.0|100
0|2021-11-12|702.0|0|702.0|0|11.0|0|0.0|100
0|2021-11-13|702.0|0|702.0|0|11.0|0|0.0|100
0|2021-11-14|702.0|0|702.0|0|11.0|0|0.0|100
0|2021-11-15|704.0|0|704.0|0|11.0|0|0.0|100
