|dates|Sullivan_NewYork_UnitedStates.JHU_ConfirmedCases.data|Sullivan_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Sullivan_NewYork_UnitedStates.NYT_ConfirmedCases.data|Sullivan_NewYork_UnitedStates.NYT_ConfirmedCases.missing|Sullivan_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Sullivan_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Sullivan_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Sullivan_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8394.0|0|8394.0|0|83.0|0|0.0|100
0|2021-10-18|8420.0|0|8420.0|0|83.0|0|0.0|100
0|2021-10-19|8431.0|0|8431.0|0|83.0|0|0.0|100
0|2021-10-20|8447.0|0|8447.0|0|83.0|0|0.0|100
0|2021-10-21|8473.0|0|8473.0|0|83.0|0|0.0|100
0|2021-10-22|8498.0|0|8498.0|0|83.0|0|0.0|100
0|2021-10-23|8511.0|0|8511.0|0|83.0|0|0.0|100
0|2021-10-24|8526.0|0|8526.0|0|83.0|0|0.0|100
0|2021-10-25|8541.0|0|8541.0|0|83.0|0|0.0|100
0|2021-10-26|8557.0|0|8557.0|0|83.0|0|0.0|100
0|2021-10-27|8577.0|0|8577.0|0|83.0|0|0.0|100
0|2021-10-28|8608.0|0|8608.0|0|83.0|0|0.0|100
0|2021-10-29|8634.0|0|8634.0|0|83.0|0|0.0|100
0|2021-10-30|8649.0|0|8649.0|0|83.0|0|0.0|100
0|2021-10-31|8671.0|0|8671.0|0|83.0|0|0.0|100
0|2021-11-01|8684.0|0|8684.0|0|83.0|0|0.0|100
0|2021-11-02|8692.0|0|8692.0|0|83.0|0|0.0|100
0|2021-11-03|8720.0|0|8720.0|0|84.0|0|0.0|100
0|2021-11-04|8745.0|0|8745.0|0|85.0|0|0.0|100
0|2021-11-05|8764.0|0|8764.0|0|85.0|0|0.0|100
0|2021-11-06|8781.0|0|8781.0|0|85.0|0|0.0|100
0|2021-11-07|8802.0|0|8802.0|0|85.0|0|0.0|100
0|2021-11-08|8820.0|0|8820.0|0|85.0|0|0.0|100
0|2021-11-09|8833.0|0|8833.0|0|85.0|0|0.0|100
0|2021-11-10|8859.0|0|8859.0|0|85.0|0|0.0|100
0|2021-11-11|8894.0|0|8894.0|0|86.0|0|0.0|100
0|2021-11-12|8942.0|0|8942.0|0|86.0|0|0.0|100
0|2021-11-13|8986.0|0|8986.0|0|87.0|0|0.0|100
0|2021-11-14|9016.0|0|9016.0|0|87.0|0|0.0|100
0|2021-11-15|9027.0|0|9027.0|0|87.0|0|0.0|100
0|2021-11-16|9056.0|0|9056.0|0|87.0|0|0.0|100
0|2021-11-17|9093.0|0|9093.0|0|87.0|0|0.0|100
0|2021-11-18|9135.0|0|9135.0|0|87.0|0|0.0|100
0|2021-11-19|9174.0|0|9174.0|0|88.0|0|0.0|100
0|2021-11-20|9208.0|0|9208.0|0|88.0|0|0.0|100
0|2021-11-21|9239.0|0|9239.0|0|88.0|0|0.0|100
0|2021-11-22|9249.0|0|9249.0|0|89.0|0|0.0|100
0|2021-11-23|9277.0|0|9277.0|0|89.0|0|0.0|100
0|2021-11-24|9324.0|0|9324.0|0|90.0|0|0.0|100
0|2021-11-25|9393.0|0|9393.0|0|90.0|0|0.0|100
0|2021-11-26|9443.0|0|9443.0|0|90.0|0|0.0|100
0|2021-11-27|9464.0|0|9464.0|0|90.0|0|0.0|100
0|2021-11-28|9500.0|0|9500.0|0|90.0|0|0.0|100
0|2021-11-29|9541.0|0|9541.0|0|90.0|0|0.0|100
0|2021-11-30|9588.0|0|9588.0|0|90.0|0|0.0|100
0|2021-12-01|9663.0|0|9663.0|0|90.0|0|0.0|100
0|2021-12-02|9756.0|0|9756.0|0|90.0|0|0.0|100
0|2021-12-03|9830.0|0|9830.0|0|90.0|0|0.0|100
0|2021-12-04|9903.0|0|9903.0|0|90.0|0|0.0|100
0|2021-12-05|9959.0|0|9959.0|0|90.0|0|0.0|100
0|2021-12-06|9984.0|0|9984.0|0|90.0|0|0.0|100
0|2021-12-07|10012.0|0|10012.0|0|90.0|0|0.0|100
0|2021-12-08|10084.0|0|10084.0|0|90.0|0|0.0|100
0|2021-12-09|10150.0|0|10150.0|0|90.0|0|0.0|100
0|2021-12-10|10212.0|0|10212.0|0|90.0|0|0.0|100
0|2021-12-11|10276.0|0|10276.0|0|90.0|0|0.0|100
0|2021-12-12|10321.0|0|10321.0|0|91.0|0|0.0|100
0|2021-12-13|10355.0|0|10355.0|0|92.0|0|0.0|100
