|dates|Unassigned_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Unassigned_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Unassigned_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Unassigned_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Unassigned_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Unassigned_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Unassigned_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Unassigned_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|21571.0|0|8230.0|0|117.0|0|0.0|100
0|2021-10-18|21525.0|0|8255.0|0|117.0|0|0.0|100
0|2021-10-19|21619.0|0|8482.0|0|120.0|0|0.0|100
0|2021-10-20|21659.0|0|8480.0|0|120.0|0|0.0|100
0|2021-10-21|21632.0|0|8607.0|0|121.0|0|0.0|100
0|2021-10-22|21660.0|0|8499.0|0|121.0|0|0.0|100
0|2021-10-23|21660.0|0|8395.0|0|121.0|0|0.0|100
0|2021-10-24|21660.0|0|8298.0|0|121.0|0|0.0|100
0|2021-10-25|21660.0|0|7746.0|0|121.0|0|0.0|100
0|2021-10-26|21707.0|0|8520.0|0|120.0|0|0.0|100
0|2021-10-27|21711.0|0|8473.0|0|120.0|0|0.0|100
0|2021-10-28|21745.0|0|8666.0|0|120.0|0|0.0|100
0|2021-10-29|21738.0|0|8512.0|0|121.0|0|0.0|100
0|2021-10-30|21738.0|0|8426.0|0|121.0|0|0.0|100
0|2021-10-31|21738.0|0|8339.0|0|121.0|0|0.0|100
0|2021-11-01|21738.0|0|7884.0|0|121.0|0|0.0|100
0|2021-11-02|21792.0|0|8604.0|0|122.0|0|0.0|100
0|2021-11-03|21805.0|0|8556.0|0|122.0|0|0.0|100
0|2021-11-04|21784.0|0|8674.0|0|122.0|0|0.0|100
0|2021-11-05|21798.0|0|8579.0|0|123.0|0|0.0|100
0|2021-11-06|21798.0|0|8510.0|0|123.0|0|0.0|100
0|2021-11-07|21798.0|0|8403.0|0|123.0|0|0.0|100
0|2021-11-08|21798.0|0|8022.0|0|123.0|0|0.0|100
0|2021-11-09|21856.0|0|8713.0|0|125.0|0|0.0|100
0|2021-11-10|21856.0|0|8914.0|0|125.0|0|0.0|100
0|2021-11-11|21935.0|0|8652.0|0|127.0|0|0.0|100
0|2021-11-12|21934.0|0|8682.0|0|128.0|0|0.0|100
0|2021-11-13|21934.0|0|8682.0|0|128.0|0|0.0|100
0|2021-11-14|21934.0|0|8549.0|0|128.0|0|0.0|100
0|2021-11-15|21929.0|0|8760.0|0|128.0|0|0.0|100
0|2021-11-16|21998.0|0|8914.0|0|129.0|0|0.0|100
0|2021-11-17|22008.0|0|8910.0|0|129.0|0|0.0|100
0|2021-11-18|22035.0|0|9132.0|0|129.0|0|0.0|100
0|2021-11-19|22043.0|0|8969.0|0|128.0|0|0.0|100
0|2021-11-20|22043.0|0|8805.0|0|128.0|0|0.0|100
0|2021-11-21|22043.0|0|8680.0|0|128.0|0|0.0|100
0|2021-11-22|22012.0|0|8763.0|0|128.0|0|0.0|100
0|2021-11-23|22060.0|0|8985.0|0|130.0|0|0.0|100
0|2021-11-24|22931.0|0|9711.0|0|131.0|0|0.0|100
0|2021-11-25|22931.0|0|9580.0|0|131.0|0|0.0|100
0|2021-11-26|22931.0|0|9454.0|0|131.0|0|0.0|100
0|2021-11-27|22931.0|0|9454.0|0|131.0|0|0.0|100
0|2021-11-28|22931.0|0|9454.0|0|131.0|0|0.0|100
0|2021-11-29|22046.0|0|9061.0|0|130.0|0|0.0|100
0|2021-11-30|22171.0|0|9105.0|0|130.0|0|0.0|100
0|2021-12-01|22191.0|0|9178.0|0|133.0|0|0.0|100
0|2021-12-02|22231.0|0|9460.0|0|134.0|0|0.0|100
0|2021-12-03|22297.0|0|9070.0|0|135.0|0|0.0|100
0|2021-12-04|22297.0|0|9070.0|0|135.0|0|0.0|100
0|2021-12-05|22297.0|0|8888.0|0|135.0|0|0.0|100
0|2021-12-06|22345.0|0|9134.0|0|137.0|0|0.0|100
0|2021-12-07|22460.0|0|9389.0|0|143.0|0|0.0|100
0|2021-12-08|22529.0|0|9490.0|0|143.0|0|0.0|100
0|2021-12-09|22529.0|0|9097.0|0|143.0|0|0.0|100
0|2021-12-10|22711.0|0|9551.0|0|144.0|0|0.0|100
0|2021-12-11|22711.0|0|9341.0|0|144.0|0|0.0|100
0|2021-12-12|22711.0|0|9170.0|0|144.0|0|0.0|100
0|2021-12-13|22757.0|0|9453.0|0|144.0|0|0.0|100
0|2021-12-14|22757.0|0|9658.0|0|144.0|0|0.0|100
0|2021-12-15|22651.0|0|9717.0|0|145.0|0|0.0|100
0|2021-12-16|22646.0|0|9897.0|0|146.0|0|0.0|100
0|2021-12-17|22710.0|0|10132.0|0|147.0|0|0.0|100
0|2021-12-18|22710.0|0|9781.0|0|147.0|0|0.0|100
0|2021-12-19|22710.0|0|9438.0|0|147.0|0|0.0|100
0|2021-12-20|22720.0|0|10736.0|0|147.0|0|0.0|100
0|2021-12-21|22862.0|0|11147.0|0|148.0|0|0.0|100
0|2021-12-22|22862.0|0|10498.0|0|148.0|0|0.0|100
0|2021-12-23|23048.0|0|12401.0|0|185.0|0|0.0|100
0|2021-12-24|23048.0|0|11113.0|0|185.0|0|0.0|100
0|2021-12-25|23048.0|0|11113.0|0|185.0|0|0.0|100
0|2021-12-26|23048.0|0|11113.0|0|185.0|0|0.0|100
0|2021-12-27|23126.0|0|14888.0|0|179.0|0|0.0|100
0|2021-12-28|23472.0|0|15795.0|0|180.0|0|0.0|100
0|2021-12-29|23729.0|0|11722.0|0|180.0|0|0.0|100
0|2021-12-30|24067.0|0|13715.0|0|180.0|0|0.0|100
0|2021-12-31|24067.0|0|8387.0|0|180.0|0|0.0|100
0|2022-01-01|24067.0|0|5625.0|0|180.0|0|0.0|100
0|2022-01-02|24067.0|0|2031.0|0|180.0|0|0.0|100
0|2022-01-03|24500.0|0|11659.0|0|180.0|0|0.0|100
0|2022-01-04|24924.0|0|12532.0|0|181.0|0|0.0|100
0|2022-01-05|24924.0|0|10072.0|0|181.0|0|0.0|100
0|2022-01-06|24924.0|0|14052.0|0|181.0|0|0.0|100
0|2022-01-07|24924.0|0|30454.0|0|181.0|0|0.0|100
