|dates|Polk_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Polk_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Polk_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Polk_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Polk_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Polk_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Polk_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Polk_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2969.0|0|2969.0|0|109.0|0|0.0|100
0|2021-10-18|2970.0|0|2970.0|0|109.0|0|0.0|100
0|2021-10-19|2972.0|0|2972.0|0|109.0|0|0.0|100
0|2021-10-20|2975.0|0|2975.0|0|109.0|0|0.0|100
0|2021-10-21|2978.0|0|2978.0|0|109.0|0|0.0|100
0|2021-10-22|2978.0|0|2978.0|0|109.0|0|0.0|100
0|2021-10-23|2978.0|0|2978.0|0|109.0|0|0.0|100
0|2021-10-24|2978.0|0|2978.0|0|109.0|0|0.0|100
0|2021-10-25|2978.0|0|2978.0|0|109.0|0|0.0|100
0|2021-10-26|2979.0|0|2979.0|0|109.0|0|0.0|100
0|2021-10-27|2979.0|0|2979.0|0|109.0|0|0.0|100
0|2021-10-28|2980.0|0|2980.0|0|110.0|0|0.0|100
0|2021-10-29|2982.0|0|2982.0|0|110.0|0|0.0|100
0|2021-10-30|2985.0|0|2985.0|0|110.0|0|0.0|100
0|2021-10-31|2985.0|0|2985.0|0|110.0|0|0.0|100
0|2021-11-01|2985.0|0|2985.0|0|110.0|0|0.0|100
0|2021-11-02|2988.0|0|2988.0|0|110.0|0|0.0|100
0|2021-11-03|2989.0|0|2989.0|0|110.0|0|0.0|100
0|2021-11-04|2992.0|0|2992.0|0|111.0|0|0.0|100
0|2021-11-05|2993.0|0|2993.0|0|112.0|0|0.0|100
0|2021-11-06|2993.0|0|2993.0|0|112.0|0|0.0|100
0|2021-11-07|2995.0|0|2995.0|0|112.0|0|0.0|100
0|2021-11-08|2995.0|0|2995.0|0|112.0|0|0.0|100
0|2021-11-09|2996.0|0|2996.0|0|112.0|0|0.0|100
0|2021-11-10|2996.0|0|2997.0|0|112.0|0|0.0|100
0|2021-11-11|2997.0|0|2997.0|0|112.0|0|0.0|100
0|2021-11-12|2998.0|0|2998.0|0|112.0|0|0.0|100
0|2021-11-13|2999.0|0|2999.0|0|112.0|0|0.0|100
0|2021-11-14|2999.0|0|2999.0|0|112.0|0|0.0|100
