|dates|Kaufman_Texas_UnitedStates.BLS_EmployedPopulation.data|Kaufman_Texas_UnitedStates.BLS_EmployedPopulation.missing|Kaufman_Texas_UnitedStates.BLS_UnemployedPopulation.data|Kaufman_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Kaufman_Texas_UnitedStates.BLS_UnemploymentRate.data|Kaufman_Texas_UnitedStates.BLS_UnemploymentRate.missing|Kaufman_Texas_UnitedStates.BLS_LaborForcePopulation.data|Kaufman_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-10-18|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-10-19|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-10-20|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-10-21|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-10-22|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-10-23|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-10-24|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-10-25|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-10-26|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-10-27|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-10-28|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-10-29|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-10-30|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-10-31|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-01|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-02|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-03|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-04|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-05|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-06|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-07|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-08|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-09|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-10|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-11|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-12|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-13|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-14|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-15|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-16|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-17|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-18|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-19|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-20|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-21|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-22|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-23|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-24|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-25|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-26|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-27|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-28|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-29|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-11-30|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-01|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-02|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-03|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-04|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-05|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-06|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-07|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-08|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-09|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-10|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-11|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-12|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-13|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-14|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-15|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-16|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-17|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-18|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-19|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-20|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-21|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-22|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-23|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-24|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-25|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-26|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-27|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-28|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-29|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-30|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2021-12-31|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
0|2022-01-01|64907.0|0|3556.0|0|5.1940464192337465|0|68463.0|0
