|dates|Mississippi_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Mississippi_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Mississippi_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Mississippi_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Mississippi_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Mississippi_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Mississippi_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Mississippi_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8240.0|0|8240.0|0|137.0|0|0.0|100
0|2021-10-18|8241.0|0|8241.0|0|137.0|0|0.0|100
0|2021-10-19|8250.0|0|8250.0|0|137.0|0|0.0|100
0|2021-10-20|8269.0|0|8269.0|0|137.0|0|0.0|100
0|2021-10-21|8275.0|0|8275.0|0|137.0|0|0.0|100
0|2021-10-22|8278.0|0|8278.0|0|138.0|0|0.0|100
0|2021-10-23|8281.0|0|8281.0|0|138.0|0|0.0|100
0|2021-10-24|8285.0|0|8285.0|0|138.0|0|0.0|100
0|2021-10-25|8291.0|0|8291.0|0|138.0|0|0.0|100
0|2021-10-26|8294.0|0|8294.0|0|138.0|0|0.0|100
0|2021-10-27|8307.0|0|8307.0|0|138.0|0|0.0|100
0|2021-10-28|8311.0|0|8311.0|0|138.0|0|0.0|100
0|2021-10-29|8315.0|0|8315.0|0|138.0|0|0.0|100
0|2021-10-30|8321.0|0|8321.0|0|138.0|0|0.0|100
0|2021-10-31|8322.0|0|8322.0|0|138.0|0|0.0|100
0|2021-11-01|8324.0|0|8324.0|0|139.0|0|0.0|100
0|2021-11-02|8333.0|0|8333.0|0|139.0|0|0.0|100
0|2021-11-03|8345.0|0|8345.0|0|140.0|0|0.0|100
0|2021-11-04|8356.0|0|8356.0|0|140.0|0|0.0|100
0|2021-11-05|8372.0|0|8372.0|0|140.0|0|0.0|100
0|2021-11-06|8383.0|0|8383.0|0|141.0|0|0.0|100
0|2021-11-07|8387.0|0|8387.0|0|141.0|0|0.0|100
0|2021-11-08|8387.0|0|8392.0|0|141.0|0|0.0|100
0|2021-11-09|8402.0|0|8402.0|0|143.0|0|0.0|100
0|2021-11-10|8420.0|0|8420.0|0|143.0|0|0.0|100
0|2021-11-11|8437.0|0|8437.0|0|144.0|0|0.0|100
0|2021-11-12|8448.0|0|8448.0|0|144.0|0|0.0|100
0|2021-11-13|8468.0|0|8468.0|0|144.0|0|0.0|100
0|2021-11-14|8475.0|0|8475.0|0|144.0|0|0.0|100
0|2021-11-15|8484.0|0|8484.0|0|144.0|0|0.0|100
0|2021-11-16|8495.0|0|8495.0|0|145.0|0|0.0|100
0|2021-11-17|8527.0|0|8527.0|0|145.0|0|0.0|100
0|2021-11-18|8538.0|0|8538.0|0|145.0|0|0.0|100
0|2021-11-19|8553.0|0|8553.0|0|147.0|0|0.0|100
0|2021-11-20|8568.0|0|8568.0|0|147.0|0|0.0|100
0|2021-11-21|8576.0|0|8576.0|0|147.0|0|0.0|100
0|2021-11-22|8585.0|0|8585.0|0|148.0|0|0.0|100
0|2021-11-23|8596.0|0|8596.0|0|148.0|0|0.0|100
0|2021-11-24|8603.0|0|8603.0|0|148.0|0|0.0|100
