|dates|Refugio_Texas_UnitedStates.JHU_ConfirmedCases.data|Refugio_Texas_UnitedStates.JHU_ConfirmedCases.missing|Refugio_Texas_UnitedStates.NYT_ConfirmedCases.data|Refugio_Texas_UnitedStates.NYT_ConfirmedCases.missing|Refugio_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Refugio_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Refugio_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Refugio_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1192.0|0|1192.0|0|31.0|0|0.0|100
0|2021-10-18|1192.0|0|1192.0|0|31.0|0|0.0|100
0|2021-10-19|1192.0|0|1192.0|0|31.0|0|0.0|100
0|2021-10-20|1198.0|0|1198.0|0|31.0|0|0.0|100
0|2021-10-21|1198.0|0|1198.0|0|31.0|0|0.0|100
0|2021-10-22|1198.0|0|1198.0|0|31.0|0|0.0|100
0|2021-10-23|1198.0|0|1198.0|0|31.0|0|0.0|100
0|2021-10-24|1198.0|0|1198.0|0|31.0|0|0.0|100
0|2021-10-25|1198.0|0|1198.0|0|31.0|0|0.0|100
0|2021-10-26|1198.0|0|1198.0|0|31.0|0|0.0|100
0|2021-10-27|1198.0|0|1198.0|0|31.0|0|0.0|100
0|2021-10-28|1198.0|0|1198.0|0|31.0|0|0.0|100
0|2021-10-29|1198.0|0|1198.0|0|31.0|0|0.0|100
0|2021-10-30|1199.0|0|1199.0|0|31.0|0|0.0|100
0|2021-10-31|1199.0|0|1199.0|0|31.0|0|0.0|100
0|2021-11-01|1199.0|0|1199.0|0|31.0|0|0.0|100
0|2021-11-02|1199.0|0|1199.0|0|31.0|0|0.0|100
0|2021-11-03|1199.0|0|1199.0|0|31.0|0|0.0|100
0|2021-11-04|1199.0|0|1199.0|0|31.0|0|0.0|100
0|2021-11-05|1199.0|0|1199.0|0|31.0|0|0.0|100
0|2021-11-06|1199.0|0|1199.0|0|31.0|0|0.0|100
0|2021-11-07|1199.0|0|1199.0|0|31.0|0|0.0|100
0|2021-11-08|1199.0|0|1199.0|0|31.0|0|0.0|100
0|2021-11-09|1200.0|0|1200.0|0|31.0|0|0.0|100
0|2021-11-10|1200.0|0|1200.0|0|31.0|0|0.0|100
0|2021-11-11|1200.0|0|1200.0|0|31.0|0|0.0|100
0|2021-11-12|1201.0|0|1201.0|0|31.0|0|0.0|100
0|2021-11-13|1201.0|0|1201.0|0|31.0|0|0.0|100
0|2021-11-14|1201.0|0|1201.0|0|31.0|0|0.0|100
0|2021-11-15|1201.0|0|1201.0|0|31.0|0|0.0|100
0|2021-11-16|1201.0|0|1201.0|0|31.0|0|0.0|100
0|2021-11-17|1205.0|0|1205.0|0|31.0|0|0.0|100
0|2021-11-18|1205.0|0|1205.0|0|31.0|0|0.0|100
0|2021-11-19|1201.0|0|1201.0|0|31.0|0|0.0|100
0|2021-11-20|1201.0|0|1201.0|0|31.0|0|0.0|100
0|2021-11-21|1201.0|0|1201.0|0|31.0|0|0.0|100
0|2021-11-22|1201.0|0|1201.0|0|31.0|0|0.0|100
0|2021-11-23|1201.0|0|1201.0|0|31.0|0|0.0|100
0|2021-11-24|1201.0|0|1201.0|0|31.0|0|0.0|100
0|2021-11-25|1201.0|0|1201.0|0|31.0|0|0.0|100
0|2021-11-26|1201.0|0|1201.0|0|31.0|0|0.0|100
0|2021-11-27|1201.0|0|1201.0|0|31.0|0|0.0|100
0|2021-11-28|1201.0|0|1201.0|0|31.0|0|0.0|100
0|2021-11-29|1201.0|0|1201.0|0|31.0|0|0.0|100
0|2021-11-30|1201.0|0|1201.0|0|31.0|0|0.0|100
0|2021-12-01|1202.0|0|1202.0|0|31.0|0|0.0|100
0|2021-12-02|1203.0|0|1203.0|0|31.0|0|0.0|100
0|2021-12-03|1203.0|0|1203.0|0|31.0|0|0.0|100
0|2021-12-04|1203.0|0|1203.0|0|31.0|0|0.0|100
0|2021-12-05|1203.0|0|1203.0|0|31.0|0|0.0|100
0|2021-12-06|1203.0|0|1203.0|0|31.0|0|0.0|100
0|2021-12-07|1203.0|0|1203.0|0|31.0|0|0.0|100
0|2021-12-08|1203.0|0|1203.0|0|31.0|0|0.0|100
0|2021-12-09|1203.0|0|1203.0|0|31.0|0|0.0|100
0|2021-12-10|1205.0|0|1205.0|0|31.0|0|0.0|100
0|2021-12-11|1205.0|0|1205.0|0|31.0|0|0.0|100
0|2021-12-12|1205.0|0|1205.0|0|31.0|0|0.0|100
0|2021-12-13|1205.0|0|1205.0|0|31.0|0|0.0|100
0|2021-12-14|1205.0|0|1205.0|0|31.0|0|0.0|100
0|2021-12-15|1206.0|0|1206.0|0|31.0|0|0.0|100
0|2021-12-16|1206.0|0|1206.0|0|31.0|0|0.0|100
0|2021-12-17|1206.0|0|1206.0|0|31.0|0|0.0|100
0|2021-12-18|1207.0|0|1207.0|0|31.0|0|0.0|100
