|dates|Hancock_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Hancock_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Hancock_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Hancock_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Hancock_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Hancock_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Hancock_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Hancock_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1188.0|0|1188.0|0|20.0|0|0.0|100
0|2021-10-18|1194.0|0|1194.0|0|20.0|0|0.0|100
0|2021-10-19|1197.0|0|1197.0|0|20.0|0|0.0|100
0|2021-10-20|1201.0|0|1201.0|0|20.0|0|0.0|100
0|2021-10-21|1201.0|0|1201.0|0|20.0|0|0.0|100
0|2021-10-22|1204.0|0|1204.0|0|20.0|0|0.0|100
0|2021-10-23|1204.0|0|1204.0|0|20.0|0|0.0|100
0|2021-10-24|1204.0|0|1204.0|0|20.0|0|0.0|100
0|2021-10-25|1204.0|0|1204.0|0|20.0|0|0.0|100
0|2021-10-26|1210.0|0|1210.0|0|20.0|0|0.0|100
0|2021-10-27|1210.0|0|1210.0|0|20.0|0|0.0|100
0|2021-10-28|1213.0|0|1213.0|0|20.0|0|0.0|100
0|2021-10-29|1214.0|0|1214.0|0|20.0|0|0.0|100
0|2021-10-30|1214.0|0|1214.0|0|20.0|0|0.0|100
0|2021-10-31|1214.0|0|1214.0|0|20.0|0|0.0|100
0|2021-11-01|1214.0|0|1214.0|0|20.0|0|0.0|100
0|2021-11-02|1217.0|0|1217.0|0|20.0|0|0.0|100
0|2021-11-03|1217.0|0|1217.0|0|20.0|0|0.0|100
0|2021-11-04|1217.0|0|1217.0|0|20.0|0|0.0|100
0|2021-11-05|1222.0|0|1222.0|0|20.0|0|0.0|100
0|2021-11-06|1222.0|0|1222.0|0|20.0|0|0.0|100
0|2021-11-07|1222.0|0|1222.0|0|20.0|0|0.0|100
0|2021-11-08|1222.0|0|1222.0|0|20.0|0|0.0|100
0|2021-11-09|1229.0|0|1229.0|0|20.0|0|0.0|100
0|2021-11-10|1229.0|0|1232.0|0|20.0|0|0.0|100
0|2021-11-11|1232.0|0|1232.0|0|20.0|0|0.0|100
