|dates|NewHanover_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|NewHanover_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|NewHanover_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|NewHanover_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|NewHanover_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|NewHanover_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|NewHanover_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|NewHanover_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|28341.0|0|28341.0|0|281.0|0|0.0|100
0|2021-10-18|28426.0|0|28426.0|0|281.0|0|0.0|100
0|2021-10-19|28443.0|0|28443.0|0|281.0|0|0.0|100
0|2021-10-20|28479.0|0|28479.0|0|282.0|0|0.0|100
0|2021-10-21|28505.0|0|28505.0|0|282.0|0|0.0|100
0|2021-10-22|28532.0|0|28532.0|0|284.0|0|0.0|100
0|2021-10-23|28532.0|0|28532.0|0|284.0|0|0.0|100
0|2021-10-24|28532.0|0|28532.0|0|284.0|0|0.0|100
0|2021-10-25|28608.0|0|28608.0|0|286.0|0|0.0|100
0|2021-10-26|28618.0|0|28618.0|0|287.0|0|0.0|100
0|2021-10-27|28654.0|0|28654.0|0|287.0|0|0.0|100
0|2021-10-28|28679.0|0|28679.0|0|289.0|0|0.0|100
0|2021-10-29|28699.0|0|28699.0|0|289.0|0|0.0|100
0|2021-10-30|28699.0|0|28699.0|0|289.0|0|0.0|100
0|2021-10-31|28699.0|0|28699.0|0|289.0|0|0.0|100
0|2021-11-01|28747.0|0|28747.0|0|289.0|0|0.0|100
0|2021-11-02|28752.0|0|28752.0|0|289.0|0|0.0|100
0|2021-11-03|28775.0|0|28775.0|0|289.0|0|0.0|100
0|2021-11-04|28797.0|0|28797.0|0|289.0|0|0.0|100
0|2021-11-05|28822.0|0|28822.0|0|290.0|0|0.0|100
